date,open_price,high_price,low_price,close_price,volume,dividend,split
2014-12-12,30.16,35.25,30.0,33.99,8348556,0.0,1.0
2014-12-15,33.07,33.48,30.36,30.52,993426,0.0,1.0
2014-12-16,30.19,31.73,30.03,31.1,285501,0.0,1.0
2014-12-17,30.87,31.66,30.25,31.22,262175,0.0,1.0
2014-12-18,31.27,32.7,30.0,30.42,284338,0.0,1.0
2014-12-19,30.6,31.84,30.47,31.47,184924,0.0,1.0
2014-12-22,31.74,32.0,30.77,31.25,80744,0.0,1.0
2014-12-23,31.75,32.44,31.29,32.1,175007,0.0,1.0
2014-12-24,32.15,34.0,32.15,33.76,86716,0.0,1.0
2014-12-26,34.0,34.0,33.02,33.52,99970,0.0,1.0
2014-12-29,33.75,37.0,33.51,35.92,303644,0.0,1.0
2014-12-30,35.92,36.99,34.53,35.18,109874,0.0,1.0
2014-12-31,35.71,36.07,34.67,34.84,63968,0.0,1.0
2015-01-02,35.8,36.47,34.98,36.47,104508,0.0,1.0
2015-01-05,37.01,37.5,34.17,37.25,246244,0.0,1.0
2015-01-06,37.0,37.0,34.57,35.6,694788,0.0,1.0
2015-01-07,35.6,36.95,35.29,35.84,156564,0.0,1.0
2015-01-08,36.32,36.66,33.5,35.42,374697,0.0,1.0
2015-01-09,35.26,35.35,33.01,33.86,152817,0.0,1.0
2015-01-12,34.31,34.81,31.52,34.34,232460,0.0,1.0
2015-01-13,34.94,35.21,32.17,32.8,133091,0.0,1.0
2015-01-14,32.85,32.85,31.01,31.25,186634,0.0,1.0
2015-01-15,31.24,32.09,30.53,31.27,260321,0.0,1.0
2015-01-16,30.94,32.2,30.33,31.9,314163,0.0,1.0
2015-01-20,32.39,32.52,30.94,31.02,146687,0.0,1.0
2015-01-21,31.3,32.0,30.37,31.88,201726,0.0,1.0
2015-01-22,31.73,31.9,30.81,31.11,141975,0.0,1.0
2015-01-23,31.25,33.08,30.54,32.8,247864,0.0,1.0
2015-01-26,32.8,32.99,32.07,32.34,86391,0.0,1.0
2015-01-27,32.39,32.4,31.11,32.07,69883,0.0,1.0
2015-01-28,31.82,32.37,30.75,31.04,108889,0.0,1.0
2015-01-29,31.12,32.02,30.2,31.71,149372,0.0,1.0
2015-01-30,31.24,31.85,30.65,31.06,37064,0.0,1.0
2015-02-02,31.6,31.9,29.66,30.33,101650,0.0,1.0
2015-02-03,30.3,31.59,30.18,31.49,63325,0.0,1.0
2015-02-04,31.32,31.83,31.17,31.33,29788,0.0,1.0
2015-02-05,31.2,32.96,31.2,32.84,94037,0.0,1.0
2015-02-06,33.0,34.33,33.0,33.85,133783,0.0,1.0
2015-02-09,34.19,34.99,33.4,34.94,96050,0.0,1.0
2015-02-10,34.68,35.33,34.12,34.87,97756,0.0,1.0
2015-02-11,35.49,35.5,34.17,35.1,111463,0.0,1.0
2015-02-12,35.08,35.98,34.9,35.85,130688,0.0,1.0
2015-02-13,37.0,38.65,33.03,33.75,389484,0.0,1.0
2015-02-17,34.2,35.3,33.23,35.05,316747,0.0,1.0
2015-02-18,34.8,35.43,34.8,35.22,115927,0.0,1.0
