date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-06-02,18.25,18.25,18.25,18.25,1260,0.4062,1.0
2017-06-05,18.25,18.25,18.25,18.25,0,0.0,1.0
2017-06-06,18.25,18.25,18.25,18.25,0,0.0,1.0
2017-06-07,18.25,18.25,18.25,18.25,0,0.0,1.0
2017-06-08,18.25,18.25,18.25,18.25,0,0.0,1.0
2017-06-09,17.72,17.72,17.72,17.72,680,0.0,1.0
2017-06-12,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-13,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-14,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-15,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-16,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-19,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-20,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-21,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-22,17.72,17.72,17.72,17.72,0,0.0,1.0
2017-06-23,17.52,17.52,17.52,17.52,100,0.0,1.0
2017-06-26,17.52,17.52,17.52,17.52,0,0.0,1.0
2017-06-27,17.3,17.3,17.3,17.3,1128010,0.0,1.0
2017-06-28,18.14,18.14,17.16,18.14,50837,0.0,1.0
2017-06-29,18.35,18.35,18.35,18.35,662,0.0,1.0
2017-06-30,17.91,18.2,17.91,18.2,7543,0.0,1.0
2017-07-05,18.45,18.45,18.45,18.45,7706,0.0,1.0
2017-07-06,18.68,18.95,18.68,18.95,554,0.0,1.0
2017-07-07,18.46,19.05,18.46,19.05,1174,0.0,1.0
2017-07-10,18.94,19.1,18.57,18.57,250717,0.0,1.0
2017-07-11,18.86,19.25,18.86,19.25,182584,0.0,1.0
2017-07-12,19.25,19.84,19.05,19.84,161539,0.0,1.0
2017-07-13,19.5,19.5,19.48,19.5,2345,0.0,1.0
2017-07-14,19.4,19.6,19.4,19.6,812,0.0,1.0
2017-07-17,19.6,19.6,19.05,19.58,3902,0.0,1.0
2017-07-18,18.97,19.5,18.97,19.5,2384,0.0,1.0
2017-07-19,19.6,20.27,19.6,20.16,1268,0.0,1.0
2017-07-20,20.0,20.15,19.59,20.15,251415,0.0,1.0
2017-07-21,20.17,20.2,20.05,20.15,2505,0.0,1.0
2017-07-24,20.0,20.35,20.0,20.35,2086,0.0,1.0
2017-07-25,20.17,20.24,20.17,20.23,19265,0.0,1.0
2017-07-26,20.1,20.43,20.1,20.43,236596,0.0,1.0
2017-07-27,20.15,20.21,20.12,20.18,117370,0.0,1.0
2017-07-28,20.1,20.21,20.1,20.2,4096,0.0,1.0
2017-07-31,20.21,20.39,20.17,20.18,278977,0.0,1.0
2017-08-01,20.25,20.36,20.14,20.14,3035,0.0,1.0
2017-08-02,20.32,20.51,20.32,20.44,95291,0.0,1.0
2017-08-03,20.46,20.77,20.41,20.74,257176,0.0,1.0
2017-08-04,20.7,20.7,20.38,20.48,338690,0.0,1.0
2017-08-07,20.6,20.69,20.56,20.67,51970,0.0,1.0
2017-08-08,20.65,20.68,20.56,20.63,192932,0.0,1.0
2017-08-09,20.22,20.56,20.22,20.54,238353,0.0,1.0
2017-08-10,20.53,20.53,20.31,20.49,64373,0.0,1.0
2017-08-11,20.21,20.29,20.05,20.12,24720,0.0,1.0
2017-08-14,20.41,20.43,20.3,20.41,8562,0.0,1.0
2017-08-15,20.39,20.43,20.33,20.43,4950,0.0,1.0
2017-08-16,20.57,20.68,20.44,20.68,4118,0.0,1.0
2017-08-17,20.4,20.58,20.32,20.43,25923,0.0,1.0
2017-08-18,20.18,20.43,20.15,20.38,8585,0.0,1.0
2017-08-21,19.89,20.31,19.89,20.29,7797,0.0,1.0
2017-08-22,20.33,20.45,20.12,20.45,7942,0.0,1.0
2017-08-23,20.18,20.51,20.18,20.51,12319,0.0,1.0
2017-08-24,20.33,20.5,20.3,20.3,6526,0.0,1.0
2017-08-25,20.98,21.3,20.33,21.0,12730,0.0,1.0
2017-08-28,20.44,21.25,20.31,21.22,4005,0.0,1.0
2017-08-29,20.21,20.21,19.95,20.13,6425,0.2781,1.0
2017-08-30,19.91,19.96,19.87,19.93,9896,0.0,1.0
2017-08-31,19.83,19.92,19.77,19.89,6803,0.0,1.0
2017-09-01,19.83,20.03,19.83,19.87,8228,0.0,1.0
2017-09-05,19.72,19.73,19.45,19.45,5081,0.0,1.0
2017-09-06,19.48,19.55,19.46,19.55,9125,0.0,1.0
2017-09-07,19.66,19.72,19.6,19.68,19305,0.0,1.0
2017-09-08,19.6,19.72,19.57,19.59,6722,0.0,1.0
2017-09-11,19.72,20.03,19.64,19.85,6779,0.0,1.0
2017-09-12,20.1,20.27,20.1,20.2,3811,0.0,1.0
2017-09-13,20.18,20.18,19.98,19.98,8223,0.0,1.0
2017-09-14,19.94,20.05,19.93,20.04,11230,0.0,1.0
2017-09-15,19.95,20.09,19.94,19.94,7396,0.0,1.0
2017-09-18,20.27,20.33,20.19,20.22,10158,0.0,1.0
2017-09-19,20.27,20.5,20.27,20.5,5179,0.0,1.0
2017-09-20,20.34,20.34,20.18,20.19,9003,0.0,1.0
2017-09-21,20.62,20.69,20.54,20.61,25209,0.0,1.0
2017-09-22,20.74,20.74,20.68,20.73,5489,0.0,1.0
2017-09-25,20.5,20.55,20.28,20.46,10698,0.0,1.0
2017-09-26,20.3,20.3,20.21,20.22,17057,0.0,1.0
2017-09-27,20.59,20.74,20.55,20.74,42720,0.0,1.0
2017-09-28,20.83,20.85,20.72,20.78,8199,0.0,1.0
2017-09-29,20.81,20.92,20.81,20.86,9773,0.0,1.0
2017-10-02,20.76,20.82,20.74,20.82,3723,0.0,1.0
2017-10-03,21.0,21.06,20.95,21.03,16922,0.0,1.0
2017-10-04,20.85,20.93,20.82,20.82,7519,0.0,1.0
2017-10-05,20.68,20.75,20.68,20.75,5676,0.0,1.0
2017-10-06,20.73,20.88,20.73,20.88,9709,0.0,1.0
2017-10-09,20.88,20.94,20.88,20.94,8644,0.0,1.0
2017-10-10,20.96,21.05,20.92,21.03,11014,0.0,1.0
2017-10-11,21.03,21.15,21.01,21.15,12601,0.0,1.0
2017-10-12,21.27,21.27,21.16,21.17,11027,0.0,1.0
2017-10-13,21.24,21.24,21.15,21.22,4993,0.0,1.0
2017-10-16,21.14,21.19,21.07,21.07,7275,0.0,1.0
2017-10-17,21.15,21.25,21.14,21.25,7868,0.0,1.0
2017-10-18,21.26,21.45,21.26,21.45,7944,0.0,1.0
2017-10-19,21.5,21.6,21.5,21.6,5919,0.0,1.0
2017-10-20,21.6,21.6,21.51,21.55,7130,0.0,1.0
2017-10-23,21.43,21.46,21.25,21.33,10480,0.0,1.0
2017-10-24,21.33,21.34,21.28,21.34,3751,0.0,1.0
2017-10-25,21.07,21.15,21.01,21.01,12069,0.0,1.0
2017-10-26,21.34,21.39,21.29,21.29,7594,0.0,1.0
2017-10-27,21.01,21.01,20.94,20.99,6017,0.0,1.0
2017-10-30,20.98,21.04,20.93,20.93,5661,0.0,1.0
2017-10-31,20.99,20.99,20.92,20.99,8882,0.0,1.0
2017-11-01,20.93,20.93,20.81,20.88,7147,0.0,1.0
2017-11-02,20.84,21.02,20.84,21.02,9996,0.0,1.0
2017-11-03,20.62,20.64,20.54,20.64,9471,0.0,1.0
2017-11-06,20.6,20.67,20.56,20.64,5654,0.0,1.0
2017-11-07,20.51,20.55,20.4,20.51,7912,0.0,1.0
2017-11-08,20.46,20.55,20.38,20.48,10926,0.0,1.0
2017-11-09,20.41,20.59,20.4,20.59,3727,0.0,1.0
2017-11-10,20.65,20.68,20.62,20.64,3652,0.0,1.0
2017-11-13,20.5,20.6,20.5,20.55,7162,0.0,1.0
2017-11-14,20.53,20.66,20.51,20.58,6311,0.0,1.0
2017-11-15,20.68,20.77,20.68,20.7,6781,0.0,1.0
2017-11-16,20.98,21.11,20.96,21.07,10549,0.0,1.0
2017-11-17,20.98,21.14,20.97,21.01,28539,0.0,1.0
2017-11-20,20.68,20.78,20.59,20.78,18974,0.0,1.0
2017-11-21,20.79,20.83,20.7,20.83,8615,0.0,1.0
2017-11-22,20.84,20.89,20.69,20.82,88945,0.0,1.0
2017-11-24,21.06,21.2,21.06,21.19,9803,0.0,1.0
2017-11-27,20.89,20.97,20.86,20.92,10055,0.0,1.0
2017-11-28,20.93,21.1,20.93,20.99,35277,0.0,1.0
2017-11-29,21.32,21.35,21.21,21.28,11083,0.0,1.0
2017-11-30,21.63,21.98,21.63,21.92,507986,0.0,1.0
2017-12-01,21.86,21.96,21.67,21.79,314893,0.0,1.0
2017-12-04,22.08,22.08,21.9,22.0,108718,0.0,1.0
2017-12-05,21.94,21.99,21.85,21.91,19862,0.0,1.0
2017-12-06,21.83,21.84,21.7,21.83,32760,0.0,1.0
2017-12-07,21.84,21.97,21.78,21.8,14570,0.0,1.0
2017-12-08,21.85,21.93,21.83,21.91,82313,0.0,1.0
2017-12-11,21.92,22.08,21.92,21.95,241612,0.0,1.0
2017-12-12,21.85,21.99,21.8,21.99,124969,0.0,1.0
2017-12-13,21.97,22.04,21.88,21.93,14945,0.0,1.0
2017-12-14,22.14,22.15,21.98,22.04,17295,0.0,1.0
2017-12-15,21.91,22.03,21.88,21.95,27063,0.0,1.0
2017-12-18,22.21,22.22,22.06,22.09,47036,0.0,1.0
2017-12-19,22.02,22.13,21.96,22.06,44081,0.0,1.0
2017-12-20,21.86,21.88,21.75,21.8,9949,0.0,1.0
2017-12-21,21.6,21.84,21.6,21.74,120301,0.0,1.0
2017-12-22,21.5,21.71,21.46,21.71,28639,0.0,1.0
2017-12-26,21.77,21.77,21.56,21.7,19590,0.0,1.0
2017-12-27,21.51,21.65,21.5,21.58,21392,0.0,1.0
2017-12-28,21.64,21.76,21.59,21.72,24855,0.0,1.0
2017-12-29,21.6,21.76,21.57,21.63,22414,0.0,1.0
2018-01-02,21.68,21.83,21.67,21.68,14465,0.0,1.0
2018-01-03,21.71,21.9,21.71,21.84,36347,0.0,1.0
2018-01-04,21.88,21.93,21.74,21.9,51044,0.0,1.0
2018-01-05,22.05,22.15,22.03,22.15,12494,0.0,1.0
