date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,112.9,114.4,111.8,112.8,3619900,0.0,1.0
1999-11-02,111.7,115.0,111.5,112.0,2545800,0.0,1.0
1999-11-03,112.8,114.8,112.0,114.3,2490400,0.0,1.0
1999-11-04,114.9,116.6,113.9,115.6,2527600,0.0,1.0
1999-11-05,117.0,117.5,115.8,115.9,1755500,0.0,1.0
1999-11-08,115.2,118.2,115.1,116.5,1926800,0.0,1.0
1999-11-09,116.6,117.4,113.0,113.5,2110100,0.0,1.0
1999-11-10,112.4,118.6,112.4,117.6,2889500,0.0,1.0
1999-11-11,117.8,119.4,117.3,118.0,1951200,0.0,1.0
1999-11-12,117.5,123.8,115.1,122.3,3962300,0.0,1.0
1999-11-15,121.0,122.4,118.8,120.2,2246000,0.0,1.0
1999-11-16,119.9,127.0,119.3,125.4,3237700,0.0,1.0
1999-11-17,126.8,130.5,126.5,127.2,3387300,0.0,1.0
1999-11-18,133.3,140.0,133.3,137.0,3886200,0.0,1.0
1999-11-19,132.3,134.3,129.5,133.5,4611800,0.0,1.0
1999-11-22,130.0,132.8,130.0,130.8,2182900,0.0,1.0
1999-11-23,136.0,139.6,134.9,136.5,4869100,0.0,1.0
1999-11-24,137.8,140.3,135.5,139.3,3199700,0.0,1.0
1999-11-26,144.9,147.1,144.5,146.8,1935000,0.0,1.0
1999-11-29,150.0,151.6,148.6,150.5,4027700,0.0,1.0
1999-11-30,144.1,145.4,135.9,138.0,6086000,0.0,1.0
1999-12-01,138.0,143.0,138.0,141.8,4074100,0.0,1.0
1999-12-02,143.5,145.4,140.8,144.6,2606500,0.0,1.0
1999-12-03,153.5,161.0,152.9,161.0,5709300,0.0,1.0
1999-12-06,165.5,179.1,165.5,176.4,8775900,0.0,1.0
1999-12-07,173.5,175.1,170.1,173.0,5639800,0.0,1.0
1999-12-08,166.5,177.0,166.5,174.8,5662500,0.0,1.0
1999-12-09,170.0,172.8,168.3,171.3,5489600,0.0,1.0
1999-12-10,167.5,169.0,164.9,168.0,4275800,0.0,1.0
1999-12-13,161.9,168.5,161.9,167.1,3088900,0.0,1.0
1999-12-14,163.0,165.4,155.9,160.0,4979900,0.0,1.0
1999-12-15,151.0,158.2,150.0,155.0,5304100,0.0,1.0
1999-12-16,159.5,164.0,156.1,164.0,3470700,0.0,1.0
1999-12-17,167.75,170.88,165.0,168.5,3366800,0.0,1.0
1999-12-20,172.0,174.3,170.1,171.7,2592400,0.0,1.0
1999-12-21,170.0,174.9,169.5,169.5,2057700,0.0,1.0
1999-12-22,172.0,173.9,164.9,165.0,2510300,0.0,1.0
1999-12-23,170.1,175.3,169.0,174.0,2129700,0.0,1.0
1999-12-27,174.3,175.2,169.4,170.9,1843800,0.0,1.0
1999-12-28,170.6,171.0,165.9,167.3,1506300,0.0,1.0
1999-12-29,170.5,187.0,169.4,183.0,2501900,0.0,1.0
1999-12-30,182.0,184.0,178.8,180.0,2218900,0.0,1.0
1999-12-31,180.0,196.0,180.0,191.1,1855900,0.0,1.0
2000-01-03,192.5,193.0,182.0,187.0,5297000,0.0,1.0
2000-01-04,177.0,180.6,172.8,173.0,5071100,0.0,1.0
2000-01-05,168.2,174.5,160.8,171.1,6540400,0.0,1.0
