date,open_price,high_price,low_price,close_price,volume,dividend,split
2012-11-30,110.0,110.0,110.0,110.0,3519,0.0,1.0
2012-12-03,110.0,110.0,110.0,110.0,0,0.0,1.0
2012-12-04,112.5,112.5,112.5,112.5,1476,0.0,1.0
2012-12-05,112.5,112.5,112.5,112.5,0,0.0,1.0
2012-12-06,112.5,112.5,112.5,112.5,3056,0.0,1.0
2012-12-07,112.5,112.5,112.5,112.5,362,0.0,1.0
2012-12-10,112.5,112.5,112.5,112.5,0,0.0,1.0
2012-12-11,112.5,112.5,112.5,112.5,0,0.0,1.0
2012-12-12,112.5,112.5,112.5,112.5,4725,0.0,1.0
2012-12-13,112.5,112.5,112.5,112.5,0,0.0,1.0
2012-12-14,112.5,112.5,112.5,112.5,0,0.0,1.0
2012-12-17,112.5,112.5,112.5,112.5,0,0.0,1.0
2012-12-18,112.5,112.5,112.5,112.5,0,0.0,1.0
2012-12-19,120.0,120.0,120.0,120.0,114,0.0,1.0
2012-12-20,120.0,120.0,120.0,120.0,0,0.0,1.0
2012-12-21,120.0,120.0,120.0,120.0,0,0.0,1.0
2012-12-24,120.0,120.0,120.0,120.0,0,0.0,1.0
2012-12-26,120.0,120.0,120.0,120.0,0,0.0,1.0
2012-12-27,120.0,120.0,120.0,120.0,0,0.0,1.0
2012-12-28,120.0,120.0,120.0,120.0,0,0.0,1.0
2012-12-31,120.0,120.0,120.0,120.0,0,0.0,1.0
2013-01-02,120.0,120.0,120.0,120.0,0,0.0,1.0
2013-01-03,120.0,120.0,120.0,120.0,0,0.0,1.0
2013-01-04,120.0,120.0,120.0,120.0,0,0.0,1.0
2013-01-07,120.0,123.0,120.0,123.0,563,0.0,1.0
2013-01-08,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-09,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-10,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-11,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-14,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-15,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-16,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-17,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-18,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-22,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-23,123.0,123.0,123.0,123.0,0,0.0,1.0
2013-01-24,119.0,119.0,119.0,119.0,119,0.0,1.0
2013-01-25,119.0,119.0,119.0,119.0,0,0.0,1.0
2013-01-28,119.0,119.0,119.0,119.0,0,0.0,1.0
2013-01-29,119.0,119.0,119.0,119.0,0,0.0,1.0
2013-01-30,118.0,118.0,118.0,118.0,1500,0.0,1.0
2013-01-31,118.0,118.0,118.0,118.0,0,0.0,1.0
2013-02-01,118.0,118.0,118.0,118.0,0,0.0,1.0
2013-02-04,118.0,118.0,118.0,118.0,260,0.0,1.0
2013-02-05,118.0,118.0,118.0,118.0,0,0.0,1.0
2013-02-06,118.0,118.0,118.0,118.0,0,0.0,1.0
2013-02-07,118.0,118.0,118.0,118.0,0,0.0,1.0
2013-02-08,118.0,118.0,118.0,118.0,0,0.0,1.0
2013-02-11,122.0,122.0,122.0,122.0,280,0.0,1.0
2013-02-12,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-13,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-14,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-15,122.0,122.0,122.0,122.0,278,0.0,1.0
2013-02-19,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-20,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-21,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-22,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-25,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-26,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-27,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-02-28,122.0,122.0,122.0,122.0,0,0.0,1.0
2013-03-01,112.0,112.0,112.0,112.0,104,0.0,1.0
