date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-16,18.05,18.05,18.05,18.05,21643,0.0,1.0
2007-07-17,18.05,18.05,18.05,18.05,0,0.0,1.0
2007-07-18,18.05,18.05,18.05,18.05,0,0.0,1.0
2007-07-19,17.5,17.5,17.5,17.5,123,0.0,1.0
2007-07-20,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-07-23,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-07-24,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-07-25,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-07-26,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-07-27,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-07-30,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-07-31,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-08-01,17.5,17.5,17.5,17.5,0,0.0,1.0
2007-08-02,18.3,18.3,18.3,18.3,100,0.0,1.0
2007-08-03,18.3,18.3,18.3,18.3,159,0.0,1.0
2007-08-06,18.3,18.3,18.3,18.3,0,0.0,1.0
2007-08-07,18.3,18.3,18.3,18.3,0,0.0,1.0
2007-08-08,17.9,17.9,17.9,17.9,100,0.0,1.0
2007-08-09,17.9,17.9,17.9,17.9,0,0.0,1.0
2007-08-10,17.9,17.9,17.9,17.9,0,0.0,1.0
2007-08-13,17.9,17.9,17.9,17.9,0,0.0,1.0
2007-08-14,17.9,17.9,17.9,17.9,0,0.0,1.0
2007-08-15,17.9,17.9,17.9,17.9,0,0.0,1.0
2007-08-16,17.9,17.9,17.9,17.9,0,0.0,1.0
2007-08-17,16.5,16.5,16.5,16.5,1400,0.0,1.0
2007-08-20,16.5,16.5,16.5,16.5,0,0.0,1.0
2007-08-21,16.5,16.5,16.5,16.5,0,0.0,1.0
2007-08-22,16.5,16.5,16.5,16.5,0,0.0,1.0
2007-08-23,16.5,16.5,16.5,16.5,0,0.0,1.0
2007-08-24,16.5,16.5,16.5,16.5,0,0.0,1.0
2007-08-27,16.5,16.5,16.5,16.5,0,0.0,1.0
2007-08-28,17.35,17.35,17.35,17.35,100,0.0,1.0
2007-08-29,17.0,17.0,17.0,17.0,400,0.0,1.0
2007-08-30,17.0,17.0,17.0,17.0,0,0.0,1.0
2007-08-31,17.0,17.0,17.0,17.0,0,0.0,1.0
2007-09-04,17.0,17.0,17.0,17.0,0,0.0,1.0
2007-09-05,16.6,16.6,16.6,16.6,600,0.0,1.0
2007-09-06,16.6,16.6,16.6,16.6,0,0.0,1.0
2007-09-07,16.4,16.4,16.4,16.4,100,0.0,1.0
2007-09-10,15.8,15.8,15.8,15.8,239,0.0,1.0
2007-09-11,16.15,16.15,16.15,16.15,700,0.0,1.0
2007-09-12,16.15,16.15,16.15,16.15,0,0.0,1.0
2007-09-13,16.25,16.25,16.25,16.25,800,0.0,1.0
2007-09-14,16.25,16.25,16.25,16.25,0,0.0,1.0
2007-09-17,16.25,16.25,16.25,16.25,0,0.0,1.0
2007-09-18,16.25,16.25,16.25,16.25,0,0.0,1.0
2007-09-19,16.25,16.25,16.25,16.25,0,0.0,1.0
2007-09-20,16.25,16.25,16.25,16.25,0,0.0,1.0
2007-09-21,16.25,16.25,16.25,16.25,0,0.0,1.0
2007-09-24,16.25,16.25,16.25,16.25,0,0.0,1.0
2007-09-25,15.5,15.5,15.5,15.5,159,0.0,1.0
2007-09-26,15.5,15.5,15.5,15.5,0,0.0,1.0
2007-09-27,15.5,15.5,15.5,15.5,0,0.0,1.0
2007-09-28,15.5,15.5,15.5,15.5,0,0.0,1.0
2007-10-01,15.5,15.5,15.5,15.5,0,0.0,1.0
2007-10-02,17.1,17.1,17.1,17.1,167,0.0,1.0
2007-10-03,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-04,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-05,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-08,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-09,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-10,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-11,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-12,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-15,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-16,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-17,17.1,17.1,17.1,17.1,0,0.0,1.0
2007-10-18,16.9,17.05,16.9,16.9,1200,0.0,1.0
2007-10-19,16.9,17.05,16.9,16.9,0,0.0,1.0
2007-10-22,16.9,17.05,16.9,16.9,0,0.0,1.0
2007-10-23,16.9,17.05,16.9,16.9,0,0.0,1.0
2007-10-24,16.9,17.05,16.9,16.9,0,0.0,1.0
2007-10-25,15.85,15.85,15.85,15.85,617,0.0,1.0
2007-10-26,15.85,15.85,15.85,15.85,0,0.0,1.0
2007-10-29,15.85,15.85,15.85,15.85,0,0.0,1.0
2007-10-30,15.85,15.85,15.85,15.85,0,0.0,1.0
2007-10-31,15.85,15.85,15.85,15.85,0,0.0,1.0
2007-11-01,15.85,15.85,15.85,15.85,0,0.0,1.0
2007-11-02,17.15,17.6,17.15,17.15,206,0.0,1.0
2007-11-05,17.15,17.6,17.15,17.15,0,0.0,1.0
2007-11-06,17.15,17.6,17.15,17.15,0,0.0,1.0
2007-11-07,17.15,17.6,17.15,17.15,0,0.0,1.0
2007-11-08,17.15,17.6,17.15,17.15,0,0.0,1.0
2007-11-09,17.15,17.6,17.15,17.15,0,0.0,1.0
2007-11-12,17.15,17.6,17.15,17.15,0,0.0,1.0
2007-11-14,17.15,17.6,17.15,17.15,0,0.0,1.0
2007-11-15,16.6,16.6,16.6,16.6,124,0.0,1.0
2007-11-16,16.6,16.6,16.6,16.6,124,0.0,1.0
2007-11-19,16.6,16.6,16.6,16.6,124,0.0,1.0
2007-11-21,16.79,16.81,16.79,16.79,50000,0.0,1.0
2007-11-23,16.79,16.81,16.79,16.79,50000,0.0,1.0
2007-11-26,17.2,17.2,17.2,17.2,788,0.0,1.0
