date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-08-03,15.35,15.65,15.2,15.45,310303,0.0,1.0
2009-08-04,14.8,14.8,14.5,14.54,421751,0.0,1.0
2009-08-05,14.25,14.4,14.21,14.29,518255,0.0,1.0
2009-08-06,14.6,14.73,14.55,14.62,503604,0.0,1.0
2009-08-07,14.31,14.67,14.31,14.56,260810,0.0,1.0
2009-08-10,14.6,14.78,14.6,14.7,202938,0.0,1.0
2009-08-11,14.9,15.1,14.81,14.82,531655,0.0,1.0
2009-08-12,14.81,15.09,14.77,15.08,174534,0.0,1.0
2009-08-13,15.1,15.2,15.01,15.14,235915,0.0,1.0
2009-08-14,15.2,15.2,14.99,15.05,612777,0.0,1.0
2009-08-17,14.65,14.74,14.62,14.63,200745,0.0,1.0
2009-08-18,14.55,14.84,14.55,14.75,622991,0.0,1.0
2009-08-19,14.85,15.1,14.8,15.05,112696,0.0,1.0
2009-08-20,15.0,15.23,15.0,15.2,352634,0.0,1.0
2009-08-21,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-08-24,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-08-25,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-08-26,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-08-27,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-08-28,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-08-31,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-09-01,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-09-02,15.0,15.23,15.0,15.2,0,0.0,1.0
2009-09-03,13.55,13.64,13.4,13.46,122768,0.0,1.0
2009-09-04,13.45,13.75,13.45,13.69,135586,0.0,1.0
2009-09-08,13.65,13.75,13.63,13.7,146768,0.0,1.0
2009-09-09,13.44,13.7,13.44,13.61,226213,0.0,1.0
2009-09-10,13.61,13.9,13.6,13.9,63775,0.0,1.0
2009-09-11,13.65,13.65,13.44,13.52,151668,0.0,1.0
2009-09-14,13.1,13.2,13.03,13.19,295253,0.0,1.0
2009-09-15,12.85,12.85,12.67,12.76,178841,0.0,1.0
2009-09-16,13.0,13.13,12.95,13.13,235625,0.0,1.0
2009-09-17,13.3,13.56,13.3,13.33,270726,0.0,1.0
2009-09-18,13.6,13.84,13.6,13.75,51679,0.0,1.0
2009-09-21,13.6,13.75,13.5,13.7,88563,0.0,1.0
2009-09-22,13.74,13.9,13.74,13.76,44287,0.0,1.0
2009-09-23,13.8,13.8,13.65,13.7,284834,0.0,1.0
2009-09-24,13.6,14.0,13.22,13.32,542271,0.0,1.0
2009-09-25,13.4,13.54,13.32,13.35,563652,0.0,1.0
2009-09-28,13.03,13.3,13.03,13.24,243233,0.0,1.0
2009-09-29,13.3,13.39,13.2,13.25,69286,0.0,1.0
2009-09-30,13.4,13.55,13.26,13.33,398400,0.0,1.0
2009-10-01,13.25,13.35,12.91,12.99,448500,0.0,1.0
2009-10-02,12.97,13.11,12.96,13.04,557469,0.0,1.0
2009-10-05,13.04,13.4,13.04,13.3,195192,0.0,1.0
2009-10-06,13.65,14.0,13.62,13.91,141329,0.0,1.0
2009-10-07,14.35,14.68,14.35,14.68,144894,0.0,1.0
2009-10-08,14.56,14.79,14.56,14.61,241823,0.0,1.0
2009-10-09,14.9,15.19,14.89,15.15,370998,0.0,1.0
2009-10-12,15.19,15.34,15.15,15.2,355569,0.0,1.0
2009-10-13,15.15,15.4,15.15,15.21,160980,0.0,1.0
2009-10-14,15.05,15.1,14.95,15.01,143724,0.0,1.0
2009-10-15,14.85,15.13,14.85,15.07,121674,0.0,1.0
2009-10-16,14.6,14.77,14.6,14.65,34399,0.0,1.0
2009-10-19,14.8,15.09,14.8,15.06,188412,0.0,1.0
2009-10-20,14.9,15.05,14.65,14.79,126514,0.0,1.0
2009-10-21,14.74,14.76,14.55,14.55,54822,0.0,1.0
2009-10-22,14.35,14.59,14.3,14.59,109376,0.0,1.0
2009-10-23,14.35,14.4,14.2,14.23,113485,0.0,1.0
