date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,1.62,1.66,1.56,1.66,52600,0.0,1.0
1999-11-02,1.62,1.94,1.62,1.94,86500,0.0,1.0
1999-11-03,1.88,2.34,1.88,2.31,114100,0.0,1.0
1999-11-04,2.34,2.44,2.06,2.12,115000,0.0,1.0
1999-11-05,2.31,2.38,2.0,2.06,54300,0.0,1.0
1999-11-08,2.12,2.19,1.94,2.12,80300,0.0,1.0
1999-11-09,2.06,2.38,1.94,1.94,88200,0.0,1.0
1999-11-10,3.41,5.56,3.38,4.12,6690700,0.0,1.0
1999-11-11,5.06,9.94,4.5,8.59,21935000,0.0,1.0
1999-11-12,9.62,15.38,9.12,9.5,25528900,0.0,1.0
1999-11-15,11.63,12.47,9.5,9.94,6985100,0.0,1.0
1999-11-16,9.69,9.81,6.34,6.94,7854900,0.0,1.0
1999-11-17,6.81,6.94,5.81,6.28,3451100,0.0,1.0
1999-11-18,6.03,6.25,5.0,5.75,1830800,0.0,1.0
1999-11-19,5.75,7.25,5.38,6.81,3112800,0.0,1.0
1999-11-22,6.88,7.19,6.25,6.5,954600,0.0,1.0
1999-11-23,6.38,6.5,5.75,6.0,629800,0.0,1.0
1999-11-24,6.0,6.25,5.5,5.69,702900,0.0,1.0
1999-11-26,5.69,5.88,5.25,5.34,420100,0.0,1.0
1999-11-29,5.38,6.75,5.06,6.44,1630000,0.0,1.0
1999-11-30,6.48,7.0,5.97,6.25,682500,0.0,1.0
1999-12-01,6.44,6.56,5.81,6.0,430800,0.0,1.0
1999-12-02,6.05,6.22,5.75,5.78,371000,0.0,1.0
1999-12-03,5.88,6.0,5.38,5.62,451700,0.0,1.0
1999-12-06,5.75,5.75,5.06,5.12,527300,0.0,1.0
1999-12-07,5.22,5.5,5.12,5.19,308700,0.0,1.0
1999-12-08,5.22,6.38,5.12,6.38,1304000,0.0,1.0
1999-12-09,6.5,6.5,5.62,5.62,589700,0.0,1.0
1999-12-10,5.81,6.0,5.56,5.75,255600,0.0,1.0
1999-12-13,5.94,6.0,5.75,5.97,294600,0.0,1.0
1999-12-14,5.91,5.97,5.56,5.69,287800,0.0,1.0
1999-12-15,5.5,5.88,5.38,5.62,465100,0.0,1.0
1999-12-16,5.52,5.53,5.25,5.28,346100,0.0,1.0
1999-12-17,5.34,5.59,5.12,5.38,524600,0.0,1.0
1999-12-20,5.19,5.69,4.75,5.0,669500,0.0,1.0
1999-12-21,4.88,4.91,4.5,4.69,534600,0.0,1.0
1999-12-22,4.25,4.56,3.94,4.25,692300,0.0,1.0
1999-12-23,4.22,4.44,4.16,4.25,394600,0.0,1.0
1999-12-27,4.62,4.62,4.06,4.12,340800,0.0,1.0
1999-12-28,4.03,4.25,4.0,4.06,578600,0.0,1.0
1999-12-29,4.06,4.19,3.94,4.0,315100,0.0,1.0
1999-12-30,4.0,4.06,3.75,3.84,526200,0.0,1.0
1999-12-31,3.72,4.38,3.5,4.0,552300,0.0,1.0
2000-01-03,4.44,4.75,4.44,4.75,390100,0.0,1.0
2000-01-04,4.78,5.38,4.69,5.19,528300,0.0,1.0
2000-01-05,5.44,5.5,4.88,5.06,292800,0.0,1.0
