date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,11.12,11.12,10.75,10.88,62700,0.0,1.0
1999-11-02,10.94,10.94,10.75,10.75,65500,0.0,1.0
1999-11-03,10.75,10.81,10.56,10.62,43500,0.0,1.0
1999-11-04,10.75,10.81,10.5,10.56,82900,0.0,1.0
1999-11-05,10.5,10.75,10.5,10.69,44600,0.0,1.0
1999-11-08,11.0,11.0,10.81,10.88,63800,0.0,1.0
1999-11-09,11.38,11.5,11.0,11.06,50800,0.0,1.0
1999-11-10,11.12,11.12,10.94,10.94,21000,0.0,1.0
1999-11-11,10.94,11.25,10.88,11.06,32200,0.0,1.0
1999-11-12,11.19,11.5,11.19,11.38,26200,0.0,1.0
1999-11-15,11.38,12.12,11.31,11.94,42100,0.0,1.0
1999-11-16,11.81,12.25,11.69,12.0,24300,0.0,1.0
1999-11-17,11.88,12.12,11.75,12.12,14700,0.0,1.0
1999-11-18,12.12,13.31,12.12,13.06,66800,0.0,1.0
1999-11-19,12.94,13.0,12.75,12.88,33300,0.0,1.0
1999-11-22,13.38,13.38,12.62,12.69,44100,0.0,1.0
1999-11-23,12.62,12.62,12.25,12.25,34500,0.0,1.0
1999-11-24,12.25,12.31,11.88,11.88,14500,0.0,1.0
1999-11-26,11.88,11.88,11.69,11.88,15800,0.0,1.0
1999-11-29,11.75,11.81,11.5,11.75,9400,0.0,1.0
1999-11-30,11.5,11.5,11.12,11.19,28100,0.0,1.0
1999-12-01,11.12,11.38,11.12,11.25,19600,0.0,1.0
1999-12-02,11.31,11.88,11.31,11.75,22500,0.0,1.0
1999-12-03,11.62,11.88,11.62,11.69,23700,0.0,1.0
1999-12-06,11.12,11.5,10.88,11.38,64700,0.0,1.0
1999-12-07,11.5,11.56,11.25,11.38,19700,0.0,1.0
1999-12-08,11.31,11.69,10.75,11.0,37600,0.0,1.0
1999-12-09,11.0,11.5,11.0,11.25,25500,0.0,1.0
1999-12-10,11.25,13.5,11.19,13.5,84500,0.0,1.0
1999-12-13,11.0,11.44,10.56,10.69,359900,0.0,1.0
1999-12-14,10.62,10.62,10.0,10.25,118800,0.0,1.0
1999-12-15,10.12,10.19,9.56,10.12,99900,0.0,1.0
1999-12-16,9.5,9.75,9.38,9.75,98800,0.0,1.0
1999-12-17,9.75,9.75,9.38,9.44,160900,0.0,1.0
1999-12-20,9.5,9.5,8.94,9.19,109700,0.0,1.0
1999-12-21,9.19,9.31,8.56,8.62,382100,0.0,1.0
1999-12-22,8.75,8.75,8.5,8.5,96700,0.0,1.0
1999-12-23,8.62,8.81,8.5,8.69,53700,0.0,1.0
1999-12-27,9.0,9.06,8.62,8.88,90300,0.0,1.0
1999-12-28,8.88,9.0,8.69,8.81,45500,0.0,1.0
1999-12-29,8.75,8.81,8.5,8.62,30300,0.0,1.0
1999-12-30,8.56,8.62,8.5,8.56,55700,0.0,1.0
1999-12-31,8.69,9.06,8.69,9.06,51000,0.0,1.0
2000-01-03,9.19,9.25,9.0,9.12,62600,0.0,1.0
2000-01-04,9.19,9.25,9.0,9.06,17800,0.0,1.0
2000-01-05,9.06,9.06,8.88,8.94,19700,0.0,1.0
2000-01-06,8.94,8.94,8.75,8.81,12600,0.0,1.0
2000-01-07,8.94,9.0,8.75,8.88,33300,0.0,1.0
2000-01-10,8.44,8.88,8.44,8.88,57700,0.0,1.0
2000-01-11,8.94,9.31,8.88,9.25,71200,0.0,1.0
2000-01-12,9.31,9.38,9.25,9.31,74100,0.0,1.0
2000-01-13,9.31,9.5,9.19,9.19,65700,0.0,1.0
2000-01-14,9.31,9.31,9.19,9.25,48300,0.0,1.0
2000-01-18,9.12,9.25,9.06,9.25,38300,0.0,1.0
2000-01-19,9.12,9.25,9.12,9.19,70800,0.0,1.0
2000-01-20,9.19,9.25,9.06,9.25,34800,0.0,1.0
2000-01-21,9.38,9.38,9.12,9.19,52300,0.0,1.0
2000-01-24,9.12,9.25,9.06,9.12,39800,0.0,1.0
2000-01-25,9.12,9.12,8.62,8.62,37500,0.0,1.0
2000-01-26,8.62,8.88,8.25,8.25,131700,0.0,1.0
2000-01-27,8.25,8.5,8.25,8.5,22100,0.0,1.0
2000-01-28,8.5,8.5,8.31,8.31,84200,0.0,1.0
2000-01-31,8.38,8.44,8.25,8.38,27500,0.0,1.0
2000-02-01,8.5,8.5,8.31,8.44,22900,0.0,1.0
2000-02-02,8.38,8.38,8.12,8.12,39300,0.0,1.0
2000-02-03,8.19,8.25,8.0,8.25,27800,0.0,1.0
2000-02-04,8.25,8.25,8.12,8.25,16000,0.0,1.0
2000-02-07,8.25,8.25,8.0,8.19,30600,0.0,1.0
2000-02-08,8.06,8.06,7.88,8.06,166700,0.0,1.0
2000-02-09,8.19,9.25,8.06,8.69,72700,0.0,1.0
2000-02-10,9.25,10.12,9.25,9.94,103100,0.0,1.0
2000-02-11,9.81,9.88,9.62,9.75,40300,0.0,1.0
2000-02-14,10.38,10.38,9.5,9.5,95900,0.0,1.0
2000-02-15,9.5,10.0,9.5,9.94,69100,0.0,1.0
2000-02-16,10.06,10.06,9.69,9.69,37100,0.0,1.0
2000-02-17,9.81,10.25,9.75,10.12,60000,0.0,1.0
2000-02-18,10.25,10.38,9.88,10.0,34800,0.0,1.0
2000-02-22,10.25,10.25,9.88,9.88,64400,0.0,1.0
2000-02-23,10.12,10.12,9.69,9.75,33400,0.0,1.0
2000-02-24,9.75,9.75,9.5,9.62,39700,0.0,1.0
2000-02-25,9.88,9.88,9.62,9.62,24400,0.0,1.0
2000-02-28,9.62,9.62,9.0,9.12,62700,0.0,1.0
2000-02-29,8.81,9.19,8.75,8.94,58400,0.0,1.0
2000-03-01,8.88,9.12,8.81,8.94,56800,0.0,1.0
2000-03-02,9.06,9.5,9.0,9.25,56100,0.0,1.0
2000-03-03,9.38,9.5,9.25,9.44,26900,0.0,1.0
2000-03-06,9.38,9.38,9.25,9.31,23300,0.0,1.0
2000-03-07,9.62,9.62,9.0,9.06,64900,0.0,1.0
2000-03-08,9.62,9.69,9.19,9.25,76300,0.0,1.0
2000-03-09,9.25,9.25,8.88,9.19,42000,0.0,1.0
2000-03-10,9.12,9.25,9.0,9.06,26300,0.0,1.0
2000-03-13,9.19,9.19,9.0,9.0,8000,0.0,1.0
2000-03-14,9.12,9.12,8.75,8.81,32300,0.0,1.0
2000-03-15,9.12,9.12,8.5,8.5,69700,0.0,1.0
2000-03-16,9.0,9.0,8.81,8.94,47700,0.0,1.0
2000-03-17,8.94,9.06,8.88,8.94,48500,0.0,1.0
2000-03-20,8.81,9.12,8.81,8.94,35400,0.0,1.0
2000-03-21,8.94,8.94,8.81,8.81,12000,0.0,1.0
2000-03-22,8.94,9.0,8.88,8.94,13600,0.0,1.0
2000-03-23,9.0,9.38,9.0,9.06,29000,0.0,1.0
2000-03-24,8.94,9.0,8.75,8.88,24900,0.0,1.0
2000-03-27,8.88,8.88,8.5,8.5,37200,0.0,1.0
2000-03-28,8.56,8.56,8.44,8.44,70500,0.0,1.0
2000-03-29,8.31,8.44,8.06,8.06,56000,0.0,1.0
2000-03-30,8.0,8.12,7.88,7.88,71200,0.0,1.0
2000-03-31,8.0,8.06,7.94,7.94,46400,0.0,1.0
