date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,54.75,54.75,54.75,54.75,740,0.0,1.0
2007-07-16,54.75,54.75,54.75,54.75,0,0.0,1.0
2007-07-17,54.75,54.75,54.75,54.75,0,0.0,1.0
2007-07-18,53.35,53.35,53.35,53.35,785,0.0,1.0
2007-07-19,54.7,54.7,54.7,54.7,103600,0.0,1.0
2007-07-20,55.1,55.1,55.1,55.1,41650,0.0,1.0
2007-07-23,54.5,54.5,54.5,54.5,3640,0.0,1.0
2007-07-24,54.5,54.5,54.5,54.5,214,0.0,1.0
2007-07-25,54.5,54.5,54.5,54.5,0,0.0,1.0
2007-07-26,54.5,54.5,54.5,54.5,0,0.0,1.0
2007-07-27,54.5,54.5,54.5,54.5,0,0.0,1.0
2007-07-30,54.5,54.5,54.5,54.5,0,0.0,1.0
2007-07-31,54.5,54.5,54.5,54.5,0,0.0,1.0
2007-08-01,54.5,54.5,54.5,54.5,0,0.0,1.0
2007-08-02,54.5,54.5,54.5,54.5,0,0.0,1.0
2007-08-03,54.5,54.5,54.5,54.5,0,0.0,1.0
2007-08-06,54.25,54.25,54.25,54.25,141,0.0,1.0
2007-08-07,54.25,54.25,54.25,54.25,0,0.0,1.0
2007-08-08,54.25,54.25,54.25,54.25,0,0.0,1.0
2007-08-09,54.25,54.25,54.25,54.25,0,0.0,1.0
2007-08-10,54.25,54.25,54.25,54.25,0,0.0,1.0
2007-08-13,54.25,54.25,54.25,54.25,0,0.0,1.0
2007-08-14,54.25,54.25,54.25,54.25,0,0.0,1.0
2007-08-15,52.25,52.72,52.25,52.25,1368,0.0,1.0
2007-08-16,51.25,51.25,51.25,51.25,2200,0.0,1.0
2007-08-17,51.25,51.25,51.25,51.25,0,0.0,1.0
2007-08-20,51.25,51.25,51.25,51.25,0,0.0,1.0
2007-08-21,51.25,51.25,51.25,51.25,0,0.0,1.0
2007-08-22,51.25,51.25,51.25,51.25,0,0.0,1.0
2007-08-23,51.25,51.25,51.25,51.25,0,0.0,1.0
2007-08-24,51.25,51.25,51.25,51.25,0,0.0,1.0
2007-08-27,51.25,51.25,51.25,51.25,0,0.0,1.0
2007-08-28,51.25,51.25,51.25,51.25,0,0.0,1.0
2007-08-29,52.25,52.25,52.25,52.25,180,0.0,1.0
2007-08-30,52.25,52.25,52.25,52.25,0,0.0,1.0
2007-08-31,52.25,52.25,52.25,52.25,0,0.0,1.0
2007-09-04,52.55,52.55,52.55,52.55,616,0.0,1.0
2007-09-05,52.55,52.55,52.55,52.55,0,0.0,1.0
2007-09-06,52.55,52.55,52.55,52.55,0,0.0,1.0
2007-09-07,52.55,52.55,52.55,52.55,0,0.0,1.0
2007-09-10,52.55,52.55,52.55,52.55,0,0.0,1.0
2007-09-11,52.55,52.55,52.55,52.55,0,0.0,1.0
2007-09-12,52.55,52.55,52.55,52.55,0,0.0,1.0
2007-09-13,52.55,52.55,52.55,52.55,0,0.0,1.0
2007-09-14,54.0,54.05,54.0,54.0,900,0.0,1.0
2007-09-17,54.0,54.05,54.0,54.0,0,0.0,1.0
2007-09-18,54.0,54.05,54.0,54.0,0,0.0,1.0
2007-09-19,54.0,54.05,54.0,54.0,0,0.0,1.0
2007-09-20,55.35,55.35,55.35,55.35,160,0.0,1.0
2007-09-21,55.35,55.35,55.35,55.35,0,0.0,1.0
2007-09-24,55.35,55.35,55.35,55.35,0,0.0,1.0
2007-09-25,55.35,55.35,55.35,55.35,0,0.0,1.0
2007-09-26,54.75,54.75,54.75,54.75,450,0.0,1.0
2007-09-27,54.25,54.25,54.25,54.25,134,0.0,1.0
2007-09-28,54.25,54.25,54.25,54.25,0,0.0,1.0
2007-10-01,54.75,54.75,54.75,54.75,200,0.0,1.0
2007-10-02,54.55,55.05,54.55,54.55,2600,0.0,1.0
2007-10-03,54.55,55.05,54.55,54.55,0,0.0,1.0
2007-10-04,54.45,54.45,54.45,54.45,200,0.0,1.0
2007-10-05,54.45,54.45,54.45,54.45,0,0.0,1.0
2007-10-08,54.45,54.45,54.45,54.45,0,0.0,1.0
2007-10-09,53.7,53.7,53.7,53.7,1230,0.0,1.0
2007-10-10,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-10-11,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-10-12,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-10-15,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-10-16,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-10-17,52.65,52.65,52.65,52.65,400,0.0,1.0
2007-10-18,52.65,52.65,52.65,52.65,0,0.0,1.0
2007-10-19,52.65,52.65,52.65,52.65,0,0.0,1.0
2007-10-22,52.65,52.65,52.65,52.65,0,0.0,1.0
2007-10-23,51.89,51.89,51.89,51.89,127,0.0,1.0
2007-10-24,51.89,51.89,51.89,51.89,0,0.0,1.0
2007-10-25,51.89,51.89,51.89,51.89,0,0.0,1.0
2007-10-26,51.89,51.89,51.89,51.89,0,0.0,1.0
2007-10-29,51.75,51.75,51.75,51.75,339,0.0,1.0
2007-10-30,52.53,52.53,52.53,52.53,315,0.0,1.0
2007-10-31,53.0,53.0,53.0,53.0,2100,0.0,1.0
2007-11-01,53.0,53.0,53.0,53.0,0,0.0,1.0
2007-11-02,52.5,52.5,52.5,52.5,140,0.0,1.0
2007-11-05,52.5,52.5,52.5,52.5,0,0.0,1.0
2007-11-06,52.5,52.5,52.5,52.5,0,0.0,1.0
2007-11-07,52.5,52.5,52.5,52.5,0,0.0,1.0
2007-11-08,52.5,52.5,52.5,52.5,0,0.0,1.0
2007-11-09,51.95,51.95,51.95,51.95,100,0.0,1.0
2007-11-12,51.95,51.95,51.95,51.95,0,0.0,1.0
2007-11-14,51.95,51.95,51.95,51.95,0,0.0,1.0
2007-11-15,51.95,51.95,51.95,51.95,100,0.0,1.0
2007-11-16,52.75,52.75,52.75,52.75,51500,0.0,1.0
2007-11-19,52.75,52.75,52.75,52.75,51500,0.0,1.0
2007-11-21,52.75,52.75,52.75,52.75,51500,0.0,1.0
2007-11-23,52.75,52.75,52.75,52.75,51500,0.0,1.0
2007-11-26,52.75,52.75,52.75,52.75,51500,0.0,1.0
2007-11-27,56.35,56.35,56.35,56.35,310,0.0,1.0
2007-11-28,56.35,56.35,56.35,56.35,310,0.0,1.0
2007-11-29,56.35,56.35,56.35,56.35,310,0.0,1.0
2007-11-30,56.35,56.35,56.35,56.35,310,0.0,1.0
2007-12-03,56.45,56.45,56.45,56.45,330,0.0,1.0
2007-12-04,56.45,56.45,56.45,56.45,0,0.0,1.0
2007-12-05,56.85,56.85,56.85,56.85,1430,0.0,1.0
2007-12-06,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-12-07,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-12-10,57.0,57.0,57.0,57.0,140,0.0,1.0
2007-12-11,56.75,56.75,56.75,56.75,163,0.0,1.0
2007-12-12,56.75,56.75,56.75,56.75,0,0.0,1.0
2007-12-13,56.75,56.75,56.75,56.75,0,0.0,1.0
2007-12-14,56.75,56.75,56.75,56.75,0,0.0,1.0
2007-12-17,56.75,56.75,56.75,56.75,0,0.0,1.0
2007-12-18,56.75,56.75,56.75,56.75,0,0.0,1.0
2007-12-19,56.75,56.75,56.75,56.75,0,0.0,1.0
2007-12-20,54.17,54.17,54.17,54.17,40000,0.0,1.0
2007-12-21,53.9,53.96,53.9,53.9,12500,0.0,1.0
2007-12-24,53.9,53.96,53.9,53.9,0,0.0,1.0
2007-12-26,53.9,53.96,53.9,53.9,0,0.0,1.0
2007-12-27,54.47,54.47,54.47,54.47,87500,0.0,1.0
2007-12-28,54.47,54.47,54.47,54.47,0,0.0,1.0
2007-12-31,54.5,54.5,54.5,54.5,400,0.0,1.0
2008-01-02,54.5,54.5,54.5,54.5,0,0.0,1.0
2008-01-03,55.05,55.05,55.05,55.05,1228,0.0,1.0
2008-01-04,55.05,55.05,55.05,55.05,0,0.0,1.0
2008-01-07,55.05,55.05,55.05,55.05,0,0.0,1.0
2008-01-08,57.0,57.0,57.0,57.0,10700,0.0,1.0
2008-01-09,57.75,58.1,57.75,57.75,1728,0.0,1.0
2008-01-10,57.75,58.1,57.75,57.75,0,0.0,1.0
2008-01-11,57.9,57.9,57.9,57.9,130,0.0,1.0
2008-01-14,57.99,57.99,57.99,57.99,2880,0.0,1.0
2008-01-15,57.99,57.99,57.99,57.99,0,0.0,1.0
2008-01-16,57.99,57.99,57.99,57.99,0,0.0,1.0
2008-01-17,53.5,53.5,53.5,53.5,230,0.0,1.0
2008-01-18,54.15,54.15,54.15,54.15,960,0.0,1.0
2008-01-22,54.15,54.15,54.15,54.15,0,0.0,1.0
2008-01-23,54.15,54.15,54.15,54.15,0,0.0,1.0
2008-01-24,54.15,54.15,54.15,54.15,0,0.0,1.0
2008-01-25,54.15,54.15,54.15,54.15,0,0.0,1.0
2008-01-28,54.15,54.15,54.15,54.15,0,0.0,1.0
2008-01-29,54.15,54.15,54.15,54.15,0,0.0,1.0
2008-01-30,54.15,54.15,54.15,54.15,0,0.0,1.0
2008-01-31,54.15,54.15,54.15,54.15,0,0.0,1.0
2008-02-01,50.25,50.25,50.25,50.25,215,0.0,1.0
2008-02-04,49.92,49.92,49.92,49.92,1093,0.0,1.0
2008-02-05,48.3,48.96,48.3,48.3,90964,0.0,1.0
2008-02-06,48.3,48.96,48.3,48.3,0,0.0,1.0
2008-02-07,48.55,48.55,48.55,48.55,1040,0.0,1.0
2008-02-08,48.55,48.55,48.55,48.55,0,0.0,1.0
2008-02-11,48.55,48.55,48.55,48.55,0,0.0,1.0
2008-02-12,49.4,49.5,49.4,49.4,1200,0.0,1.0
2008-02-13,49.4,49.5,49.4,49.4,0,0.0,1.0
2008-02-14,49.4,49.5,49.4,49.4,0,0.0,1.0
2008-02-15,50.15,50.15,50.15,50.15,1400,0.0,1.0
2008-02-19,50.15,50.15,50.15,50.15,0,0.0,1.0
2008-02-20,50.15,50.15,50.15,50.15,0,0.0,1.0
2008-02-21,50.15,50.15,50.15,50.15,0,0.0,1.0
2008-02-22,50.15,50.15,50.15,50.15,0,0.0,1.0
2008-02-25,50.15,50.15,50.15,50.15,0,0.0,1.0
2008-02-26,51.2,51.2,51.2,51.2,364,0.0,1.0
2008-02-27,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-02-28,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-02-29,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-03,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-04,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-05,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-06,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-07,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-10,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-11,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-12,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-13,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-14,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-17,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-18,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-19,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-20,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-24,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-25,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-26,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-27,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-28,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-03-31,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-01,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-02,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-03,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-04,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-07,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-08,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-09,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-10,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-11,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-14,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-15,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-16,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-17,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-18,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-21,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-22,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-23,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-24,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-25,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-28,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-29,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-04-30,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-01,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-02,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-05,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-06,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-07,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-08,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-09,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-12,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-13,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-14,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-15,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-16,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-19,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-20,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-21,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-22,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-23,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-27,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-28,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-29,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-05-30,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-02,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-03,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-04,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-05,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-06,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-09,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-10,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-11,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-12,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-13,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-16,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-17,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-18,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-19,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-20,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-23,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-24,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-25,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-26,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-27,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-06-30,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-01,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-02,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-03,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-07,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-08,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-09,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-10,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-11,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-14,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-15,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-16,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-17,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-18,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-21,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-22,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-23,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-24,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-25,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-28,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-29,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-30,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-07-31,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-01,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-04,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-05,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-06,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-07,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-08,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-11,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-12,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-13,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-14,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-15,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-18,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-19,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-20,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-21,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-22,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-25,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-26,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-27,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-28,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-08-29,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-02,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-03,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-04,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-05,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-08,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-09,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-10,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-11,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-12,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-15,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-16,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-17,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-18,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-19,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-22,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-23,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-24,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-25,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-26,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-29,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-09-30,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-01,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-02,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-03,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-06,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-07,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-08,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-09,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-10,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-13,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-14,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-15,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-16,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-17,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-20,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-21,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-22,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-23,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-24,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-27,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-28,51.2,51.2,51.2,51.2,0,0.0,1.0
2008-10-29,49.0,49.0,49.0,49.0,1200,0.0,1.0
2008-10-30,49.0,49.0,49.0,49.0,0,0.0,1.0
2008-10-31,49.0,49.0,49.0,49.0,0,0.0,1.0
2008-11-03,49.0,49.0,49.0,49.0,0,0.0,1.0
2008-11-04,49.0,49.0,49.0,49.0,0,0.0,1.0
2008-11-05,49.6,49.6,49.56,49.56,160280,0.0,1.0
2008-11-06,49.27,49.27,49.27,49.27,3231,0.0,1.0
2008-11-07,49.27,49.27,49.27,49.27,0,0.0,1.0
2008-11-10,49.27,49.27,49.27,49.27,0,0.0,1.0
2008-11-11,49.27,49.27,49.27,49.27,0,0.0,1.0
2008-11-12,49.27,49.27,49.27,49.27,0,0.0,1.0
2008-11-13,49.27,49.27,49.27,49.27,0,0.0,1.0
2008-11-14,49.27,49.27,49.27,49.27,0,0.0,1.0
2008-11-17,49.27,49.27,49.27,49.27,0,0.0,1.0
2008-11-18,49.27,49.27,49.27,49.27,0,0.0,1.0
