date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,125.6,125.6,125.35,125.6,378,0.0,1.0
2007-07-16,127.45,127.45,126.5,127.45,250,0.0,1.0
2007-07-17,129.9,129.9,129.9,129.9,250,0.0,1.0
2007-07-18,128.2,129.7,128.2,128.2,1967,0.0,1.0
2007-07-19,126.9,127.75,126.9,126.9,1235,0.0,1.0
2007-07-20,126.6,127.0,126.6,126.6,618,0.0,1.0
2007-07-23,126.6,126.6,126.6,126.6,0,0.0,1.0
2007-07-24,127.75,127.75,127.75,127.75,150,0.0,1.0
2007-07-25,125.2,125.2,125.2,125.2,100,0.0,1.0
2007-07-26,123.5,124.0,122.1,123.5,968,0.0,1.0
2007-07-27,117.1,118.9,117.1,117.1,1280,0.0,1.0
2007-07-30,120.0,120.0,118.95,120.0,850,0.0,1.0
2007-07-31,120.0,120.0,120.0,120.0,0,0.0,1.0
2007-08-01,120.0,120.0,120.0,120.0,0,0.0,1.0
2007-08-02,120.0,120.0,120.0,120.0,0,0.0,1.0
2007-08-03,120.0,120.0,120.0,120.0,0,0.0,1.0
2007-08-06,120.0,120.0,120.0,120.0,0,0.0,1.0
2007-08-07,122.0,122.0,121.4,122.0,541,0.0,1.0
2007-08-08,130.0,130.0,128.1,130.0,500,0.0,1.0
2007-08-09,122.6,123.15,122.6,122.6,300,0.0,1.0
2007-08-10,123.0,123.0,122.65,123.0,1013,0.0,1.0
2007-08-13,121.35,121.8,121.35,121.35,786,0.0,1.0
2007-08-14,116.55,117.0,116.55,116.55,200,0.0,1.0
2007-08-15,116.55,116.55,116.55,116.55,0,0.0,1.0
2007-08-16,105.0,106.25,105.0,105.0,600,0.0,1.0
2007-08-17,110.75,112.0,110.0,110.75,910,0.0,1.0
2007-08-20,110.75,112.0,110.75,110.75,0,0.0,1.0
2007-08-21,110.75,112.0,110.75,110.75,0,0.0,1.0
2007-08-22,116.75,116.75,116.5,116.75,525,0.0,1.0
2007-08-23,116.75,116.75,116.75,116.75,0,0.0,1.0
2007-08-24,116.75,116.75,116.75,116.75,0,0.0,1.0
2007-08-27,118.25,118.25,118.05,118.25,700,0.0,1.0
2007-08-28,115.15,115.15,115.15,115.15,150,0.0,1.0
2007-08-29,117.0,117.0,116.35,117.0,300,0.0,1.0
2007-08-30,116.1,116.1,115.45,116.1,900,0.0,1.0
2007-08-31,117.6,119.05,117.6,117.6,695,0.0,1.0
2007-09-04,117.6,119.05,117.6,117.6,0,0.0,1.0
2007-09-05,117.6,119.05,117.6,117.6,0,0.0,1.0
2007-09-06,117.6,119.05,117.6,117.6,0,0.0,1.0
2007-09-07,117.6,119.05,117.6,117.6,0,0.0,1.0
2007-09-10,113.5,113.5,113.5,113.5,200,0.0,1.0
2007-09-11,113.5,113.5,113.5,113.5,0,0.0,1.0
2007-09-12,119.4,119.4,119.4,119.4,100,0.0,1.0
2007-09-13,118.45,118.5,118.45,118.45,400,0.0,1.0
2007-09-14,118.45,118.45,118.45,118.45,0,0.0,1.0
2007-09-17,118.5,118.75,118.5,118.5,480,0.0,1.0
2007-09-18,119.0,119.0,117.3,119.0,370,0.0,1.0
2007-09-19,121.15,122.5,120.85,121.15,1291,0.0,1.0
2007-09-20,121.15,122.5,121.15,121.15,0,0.0,1.0
2007-09-21,121.15,122.5,121.15,121.15,0,0.0,1.0
2007-09-24,121.4,122.0,121.4,121.4,300,0.0,1.0
2007-09-25,122.0,122.0,120.2,122.0,900,0.0,1.0
2007-09-26,123.3,123.3,123.3,123.3,331,0.0,1.0
2007-09-27,126.75,126.75,125.1,126.75,615,0.0,1.0
2007-09-28,125.85,125.85,125.85,125.85,200,0.0,1.0
2007-10-01,127.95,127.95,127.9,127.95,200,0.0,1.0
2007-10-02,128.05,128.05,128.05,128.05,210,0.0,1.0
