date,open_price,high_price,low_price,close_price,volume,dividend,split
2013-06-19,15.21,16.03,14.96,15.53,7717000,0.0,1.0
2013-06-20,16.25,16.3,15.36,15.44,1874600,0.0,1.0
2013-06-21,15.98,15.98,15.46,15.8,635300,0.0,1.0
2013-06-24,15.79,15.79,15.19,15.52,758300,0.0,1.0
2013-06-25,15.5,15.67,15.35,15.66,564400,0.0,1.0
2013-06-26,15.54,15.55,15.31,15.47,901000,0.0,1.0
2013-06-27,14.78,15.74,14.66,15.37,3258000,0.0,1.0
2013-06-28,15.29,15.68,15.25,15.38,1793700,0.0,1.0
2013-07-01,15.48,15.5,14.84,14.87,4343500,0.0,1.0
2013-07-02,14.68,15.19,14.67,14.99,8682500,0.0,1.0
2013-07-03,14.84,15.12,14.84,14.97,2265100,0.0,1.0
2013-07-05,14.96,15.94,14.96,15.61,3470900,0.0,1.0
2013-07-08,15.83,16.08,15.55,16.02,4010700,0.0,1.0
2013-07-09,15.81,16.02,15.66,15.73,3656200,0.0,1.0
2013-07-10,15.5,15.6,15.22,15.45,3010500,0.0,1.0
2013-07-11,15.8,15.8,15.06,15.21,3630300,0.0,1.0
2013-07-12,15.0,15.18,14.97,14.99,3042300,0.0,1.0
2013-07-15,15.0,15.08,14.52,14.8,5331400,0.0,1.0
2013-07-16,14.71,15.47,14.7,15.39,2711100,0.0,1.0
2013-07-17,15.28,16.12,15.28,16.02,3737700,0.0,1.0
2013-07-18,16.04,16.25,15.46,15.6,2827900,0.0,1.0
2013-07-19,15.37,16.26,15.37,16.12,3735400,0.0,1.0
2013-07-22,16.15,16.26,15.75,15.9,2159200,0.0,1.0
2013-07-23,15.85,16.05,15.71,15.85,2104900,0.0,1.0
2013-07-24,15.79,16.05,15.62,15.92,2205100,0.0,1.0
2013-07-25,15.91,16.05,15.64,15.76,2097300,0.0,1.0
2013-07-26,15.76,16.16,15.5,16.09,937600,0.0,1.0
2013-07-29,15.98,16.07,15.61,15.71,3495600,0.0,1.0
2013-07-30,15.73,16.18,15.67,16.14,3438100,0.0,1.0
2013-07-31,16.09,16.37,16.04,16.09,2392800,0.0,1.0
2013-08-01,16.11,16.42,16.09,16.39,1951600,0.0,1.0
2013-08-02,16.29,16.64,16.25,16.5,2042800,0.0,1.0
2013-08-05,16.41,16.48,16.08,16.21,1127500,0.0,1.0
2013-08-06,16.13,16.45,16.03,16.39,1335300,0.0,1.0
2013-08-07,16.24,16.3,16.04,16.16,1239800,0.0,1.0
2013-08-08,16.32,16.51,16.15,16.38,2109500,0.0,1.0
2013-08-09,16.41,16.41,16.22,16.24,1370900,0.0,1.0
2013-08-12,16.1,16.3,15.98,16.11,1917600,0.0,1.0
2013-08-13,16.23,16.23,16.0,16.05,1643600,0.0,1.0
2013-08-14,16.0,16.21,15.87,16.18,2029000,0.0,1.0
2013-08-15,16.06,16.39,15.94,16.32,1351600,0.0,1.0
2013-08-16,16.26,16.45,16.16,16.19,2144700,0.0,1.0
2013-08-19,16.21,16.22,15.88,15.89,610700,0.0,1.0
2013-08-20,15.91,15.98,15.72,15.88,993300,0.0,1.0
2013-08-21,15.83,16.0,15.7,15.94,1948100,0.0,1.0
2013-08-22,15.99,16.03,15.82,15.88,1611600,0.0,1.0
2013-08-23,15.84,16.02,15.77,15.92,1676500,0.0,1.0
2013-08-26,15.94,16.13,15.94,16.06,1095300,0.0,1.0
2013-08-27,15.98,16.2,15.93,15.94,3848700,0.0,1.0
2013-08-28,15.97,16.02,15.89,15.97,7235800,0.0,1.0
2013-08-29,15.98,16.08,15.83,15.96,797500,0.0,1.0
2013-08-30,15.91,15.97,15.76,15.84,1583300,0.0,1.0
2013-09-03,16.02,16.2,15.88,16.0,584400,0.0,1.0
2013-09-04,15.9,16.28,15.9,16.21,2037400,0.0,1.0
2013-09-05,16.2,16.44,16.07,16.39,1912100,0.0,1.0
2013-09-06,16.43,16.49,16.23,16.34,1655900,0.0,1.0
2013-09-09,16.33,16.5,16.3,16.49,772900,0.0,1.0
2013-09-10,16.53,16.72,16.41,16.72,846300,0.0,1.0
2013-09-11,16.71,17.2,16.68,17.2,1531600,0.0,1.0
2013-09-12,17.19,17.46,17.11,17.3,601600,0.0,1.0
2013-09-13,17.29,17.29,16.98,17.11,411600,0.0,1.0
2013-09-16,17.37,17.38,17.0,17.17,772100,0.0,1.0
2013-09-17,17.16,17.29,17.12,17.22,548600,0.0,1.0
2013-09-18,17.2,17.34,17.07,17.24,951800,0.0,1.0
2013-09-19,17.39,17.39,16.91,17.13,884200,0.0,1.0
2013-09-20,17.1,17.23,16.72,16.91,1416500,0.0,1.0
2013-09-23,16.82,16.85,16.61,16.79,703900,0.0,1.0
2013-09-24,16.77,17.43,16.77,17.33,1402900,0.0,1.0
2013-09-25,17.23,17.3,16.99,17.09,1126100,0.0,1.0
2013-09-26,17.12,17.12,16.47,16.67,2539000,0.0,1.0
2013-09-27,16.47,16.59,16.37,16.56,823300,0.0,1.0
2013-09-30,16.52,16.52,16.29,16.43,611800,0.0,1.0
2013-10-01,16.45,16.45,16.16,16.29,521200,0.0,1.0
2013-10-02,16.17,16.57,16.02,16.49,1292300,0.0,1.0
2013-10-03,16.5,16.59,16.21,16.27,2186100,0.0,1.0
2013-10-04,16.24,16.4,16.2,16.27,1114000,0.0,1.0
2013-10-07,16.15,16.36,16.11,16.27,1107800,0.0,1.0
2013-10-08,16.21,16.35,16.17,16.23,667400,0.0,1.0
2013-10-09,16.21,16.4,16.17,16.34,4387600,0.0,1.0
2013-10-10,16.39,16.67,16.39,16.64,1069200,0.0,1.0
2013-10-11,16.6,17.06,16.6,16.92,2259400,0.0,1.0
2013-10-14,16.76,17.14,16.75,17.06,754900,0.0,1.0
2013-10-15,17.04,17.18,16.94,17.16,1436900,0.0,1.0
2013-10-16,17.2,17.29,17.08,17.26,1241700,0.0,1.0
2013-10-17,17.19,17.27,17.1,17.26,861300,0.0,1.0
2013-10-18,17.36,17.39,17.24,17.32,2034100,0.0,1.0
2013-10-21,17.36,17.45,17.24,17.3,563900,0.0,1.0
2013-10-22,17.36,17.53,17.28,17.45,1578100,0.0,1.0
2013-10-23,17.45,17.64,17.29,17.49,1532000,0.0,1.0
2013-10-24,17.58,17.8,17.5,17.72,931700,0.0,1.0
2013-10-25,17.73,17.74,17.5,17.56,1527000,0.0,1.0
2013-10-28,17.55,17.73,17.42,17.68,1045000,0.0,1.0
2013-10-29,17.69,17.93,17.67,17.87,889500,0.0,1.0
2013-10-30,17.95,18.0,17.72,17.75,677500,0.0,1.0
2013-10-31,17.81,18.14,17.73,17.93,1810300,0.0,1.0
2013-11-01,17.87,18.16,17.8,18.11,1295300,0.0,1.0
2013-11-04,18.16,18.24,18.08,18.13,404700,0.0,1.0
2013-11-05,18.13,18.26,17.88,18.1,696300,0.0,1.0
2013-11-06,18.09,18.24,17.71,17.77,619800,0.0,1.0
2013-11-07,17.75,18.12,17.58,17.61,660600,0.0,1.0
2013-11-08,17.58,17.97,17.54,17.94,518800,0.0,1.0
2013-11-11,17.86,17.98,17.68,17.78,537400,0.0,1.0
2013-11-12,17.39,17.65,17.0,17.49,1135600,0.0,1.0
2013-11-13,17.41,17.6,17.27,17.53,833800,0.0,1.0
2013-11-14,17.5,17.67,17.47,17.51,573900,0.0,1.0
2013-11-15,17.6,18.08,17.6,18.02,842100,0.0,1.0
2013-11-18,18.03,18.07,17.61,17.69,795200,0.0,1.0
2013-11-19,17.67,17.91,17.61,17.73,471700,0.0,1.0
2013-11-20,17.75,18.0,17.7,17.85,805500,0.0,1.0
2013-11-21,17.84,17.97,17.76,17.8,299200,0.0,1.0
2013-11-22,17.88,17.92,17.69,17.71,1203700,0.0,1.0
2013-11-25,17.69,17.83,17.51,17.61,717400,0.0,1.0
2013-11-26,17.6,17.82,17.5,17.76,1162100,0.0,1.0
2013-11-27,17.71,18.0,17.6,17.89,1039300,0.0,1.0
2013-11-29,17.9,18.0,17.87,17.97,392000,0.0,1.0
2013-12-02,17.9,17.95,17.62,17.66,889300,0.0,1.0
2013-12-03,17.54,17.6,17.4,17.53,560400,0.0,1.0
2013-12-04,17.41,17.6,17.29,17.5,540200,0.0,1.0
2013-12-05,17.46,17.46,17.26,17.37,513200,0.0,1.0
2013-12-06,17.47,17.61,17.21,17.36,1733400,0.0,1.0
2013-12-09,17.36,17.43,17.18,17.36,1985800,0.0,1.0
2013-12-10,17.3,17.56,17.1,17.5,937700,0.0,1.0
2013-12-11,17.45,17.61,17.33,17.47,745800,0.0,1.0
2013-12-12,17.39,17.5,17.31,17.35,466800,0.0,1.0
2013-12-13,17.43,17.55,17.22,17.5,643300,0.0,1.0
2013-12-16,17.43,17.65,17.38,17.63,718700,0.0,1.0
2013-12-17,17.32,17.38,17.02,17.21,800900,0.0,1.0
2013-12-18,17.29,17.4,16.95,17.35,531000,0.0,1.0
