date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,19.56,20.0,19.56,19.94,54700,0.0,1.0
1999-11-02,19.88,20.25,19.88,20.06,48400,0.0,1.0
1999-11-03,20.0,20.19,19.75,19.75,67600,0.0,1.0
1999-11-04,19.81,19.94,19.0,19.25,92000,0.0,1.0
1999-11-05,19.13,19.25,18.81,19.0,67900,0.0,1.0
1999-11-08,18.88,19.19,18.75,18.94,49900,0.0,1.0
1999-11-09,19.19,19.31,18.75,18.81,69000,0.0,1.0
1999-11-10,18.56,18.81,17.38,17.81,128800,0.0,1.0
1999-11-11,17.81,18.38,17.81,17.88,106000,0.0,1.0
1999-11-12,18.0,18.31,17.81,18.31,91000,0.0,1.0
1999-11-15,18.56,18.56,18.06,18.19,137200,0.0,1.0
1999-11-16,18.25,18.38,17.88,18.0,134200,0.0,1.0
1999-11-17,17.88,17.94,16.88,17.5,127000,0.0,1.0
1999-11-18,17.38,18.44,17.19,18.19,121400,0.0,1.0
1999-11-19,18.13,18.25,17.88,17.88,60700,0.0,1.0
1999-11-22,17.63,17.81,17.0,17.38,491800,0.0,1.0
1999-11-23,17.19,17.31,16.88,17.31,94200,0.0,1.0
1999-11-24,17.19,17.44,16.88,17.38,60700,0.0,1.0
1999-11-26,17.5,17.63,17.25,17.5,28000,0.0,1.0
1999-11-29,17.38,17.56,16.88,16.88,82800,0.0,1.0
1999-11-30,16.81,16.88,16.44,16.75,112000,0.0,1.0
1999-12-01,16.5,16.56,15.94,16.31,89000,0.0,1.0
1999-12-02,16.13,16.13,14.75,15.25,202300,0.0,1.0
1999-12-03,15.0,15.31,14.25,15.25,263800,0.0,1.0
1999-12-06,15.13,15.19,14.63,14.88,205900,0.0,1.0
1999-12-07,14.88,14.88,14.31,14.5,107800,0.0,1.0
1999-12-08,14.31,14.38,13.75,14.25,204000,0.0,1.0
1999-12-09,14.13,14.25,13.38,13.5,204200,0.0,1.0
1999-12-10,13.31,13.75,13.0,13.38,169300,0.0,1.0
1999-12-13,13.31,13.81,13.19,13.69,134800,0.0,1.0
1999-12-14,13.69,14.5,13.63,13.69,198000,0.0,1.0
1999-12-15,13.81,13.88,13.38,13.5,102200,0.0,1.0
1999-12-16,13.5,13.75,13.25,13.25,171100,0.0,1.0
1999-12-17,13.25,13.81,13.25,13.75,160700,0.0,1.0
1999-12-20,13.5,13.75,13.19,13.31,126700,0.0,1.0
1999-12-21,13.44,13.44,12.63,13.0,158300,0.0,1.0
1999-12-22,12.75,12.94,12.38,12.75,138600,0.0,1.0
1999-12-23,12.75,13.31,12.38,12.56,180600,0.0,1.0
1999-12-27,12.69,12.94,12.5,12.81,123300,0.0,1.0
1999-12-28,12.81,13.25,12.69,13.0,163800,0.0,1.0
1999-12-29,13.06,13.75,13.06,13.19,119500,0.0,1.0
1999-12-30,13.25,13.38,12.63,12.63,169300,0.0,1.0
1999-12-31,12.63,13.0,12.56,12.69,97400,0.0,1.0
2000-01-03,13.0,13.06,12.56,12.56,111500,0.0,1.0
2000-01-04,12.5,12.94,12.5,12.63,100700,0.0,1.0
2000-01-05,12.75,13.44,12.38,12.63,182100,0.0,1.0
2000-01-06,12.81,13.38,12.81,13.31,178800,0.0,1.0
2000-01-07,13.69,13.88,12.44,12.44,293500,0.0,1.0
2000-01-10,12.56,12.88,12.5,12.81,120200,0.0,1.0
2000-01-11,12.88,12.94,12.5,12.56,125800,0.0,1.0
2000-01-12,12.56,12.88,12.56,12.69,62000,0.0,1.0
2000-01-13,12.63,12.88,12.44,12.69,144500,0.0,1.0
2000-01-14,12.69,12.69,12.31,12.38,92100,0.0,1.0
2000-01-18,12.25,12.38,11.69,11.81,134000,0.0,1.0
2000-01-19,11.69,11.75,10.0,10.25,272200,0.0,1.0
2000-01-20,10.25,10.31,9.62,9.94,183800,0.0,1.0
2000-01-21,10.0,11.38,9.19,10.88,296300,0.0,1.0
2000-01-24,11.38,11.38,10.56,10.75,238900,0.0,1.0
2000-01-25,10.88,10.88,9.81,10.19,189600,0.0,1.0
2000-01-26,9.81,9.88,9.19,9.88,180100,0.5,1.0
2000-01-27,9.81,9.88,9.38,9.69,125500,0.0,1.0
2000-01-28,9.56,9.56,9.06,9.19,107000,0.0,1.0
2000-01-31,8.88,8.88,7.12,7.75,280600,0.0,1.0
2000-02-01,8.0,8.75,7.75,8.5,114300,0.0,1.0
2000-02-02,8.12,8.44,7.81,8.0,204900,0.0,1.0
2000-02-03,7.88,7.94,7.25,7.31,160900,0.0,1.0
2000-02-04,7.25,7.44,7.06,7.12,165300,0.0,1.0
2000-02-07,7.19,7.19,6.56,7.0,262500,0.0,1.0
2000-02-08,7.0,7.0,6.5,6.75,198900,0.0,1.0
2000-02-09,6.69,6.75,5.75,5.81,833300,0.0,1.0
2000-02-10,5.94,6.0,5.69,5.94,342400,0.0,1.0
2000-02-11,6.0,6.06,5.75,5.88,193000,0.0,1.0
2000-02-14,5.81,6.81,5.81,6.62,477700,0.0,1.0
2000-02-15,7.0,7.5,6.62,6.75,309800,0.0,1.0
2000-02-16,6.69,6.94,6.69,6.81,91800,0.0,1.0
2000-02-17,6.94,6.94,6.62,6.62,94100,0.0,1.0
2000-02-18,6.69,6.75,6.5,6.5,56400,0.0,1.0
2000-02-22,6.75,6.81,6.5,6.5,102200,0.0,1.0
2000-02-23,6.5,6.75,6.44,6.5,96000,0.0,1.0
2000-02-24,6.38,6.38,6.0,6.19,247600,0.0,1.0
2000-02-25,6.31,6.31,6.06,6.12,107500,0.0,1.0
2000-02-28,6.25,6.25,6.06,6.19,97200,0.0,1.0
2000-02-29,6.19,6.19,5.94,6.12,118600,0.0,1.0
