date,open_price,high_price,low_price,close_price,volume,dividend,split
2001-01-02,12.5,12.63,12.5,12.63,17000,0.0,1.0
2001-01-03,12.63,13.5,12.63,13.5,2800,0.0,1.0
2001-01-04,13.98,14.38,13.98,14.38,10700,0.11,1.0
2001-01-05,14.0,14.38,14.0,14.25,15600,0.0,1.0
2001-01-08,14.25,14.25,14.0,14.08,7300,0.0,1.0
2001-01-09,13.88,14.5,13.88,14.25,11400,0.0,1.0
2001-01-10,14.0,14.44,14.0,14.44,10100,0.0,1.0
2001-01-11,14.0,15.0,14.0,15.0,20900,0.0,1.0
2001-01-12,14.0,15.5,14.0,15.0,12800,0.0,1.0
2001-01-16,14.63,15.0,14.25,14.25,3700,0.0,1.0
2001-01-17,14.38,14.75,14.06,14.06,22500,0.0,1.0
2001-01-18,14.06,14.13,13.63,13.63,32500,0.0,1.0
2001-01-19,13.63,13.63,13.63,13.63,0,0.0,1.0
2001-01-22,13.75,13.75,13.38,13.38,2700,0.0,1.0
2001-01-23,13.98,14.0,13.38,13.5,1000,0.0,1.0
2001-01-24,13.94,14.0,13.94,14.0,8800,0.0,1.0
2001-01-25,14.25,14.25,13.94,14.0,9000,0.0,1.0
2001-01-26,14.0,14.25,13.56,13.75,10800,0.0,1.0
2001-01-29,13.63,14.38,13.5,13.69,10900,0.0,1.0
2001-01-30,13.75,14.38,13.75,14.25,45700,0.0,1.0
2001-01-31,14.38,14.5,14.19,14.31,9400,0.0,1.0
2001-02-01,14.25,14.5,14.25,14.5,5600,0.0,1.0
2001-02-02,14.5,14.5,14.5,14.5,100,0.0,1.0
2001-02-05,14.25,14.25,14.25,14.25,600,0.0,1.0
2001-02-06,14.25,14.5,14.25,14.5,1100,0.0,1.0
2001-02-07,14.31,14.31,14.31,14.31,100,0.0,1.0
2001-02-08,14.56,14.63,14.44,14.44,22000,0.0,1.0
2001-02-09,14.25,14.31,14.25,14.25,6000,0.0,1.0
2001-02-12,14.25,14.5,14.25,14.31,1100,0.0,1.0
