date,open_price,high_price,low_price,close_price,volume,dividend,split
2020-11-24,42.3,43.5,39.99,40.18,18009913,0.0,1.0
2020-11-25,41.0,41.13,38.51,39.01,3804860,0.0,1.0
2020-11-27,38.9,40.77,38.09,40.0,1430378,0.0,1.0
2020-11-30,39.61,41.2,39.33,40.02,2540528,0.0,1.0
2020-12-01,40.0,40.59,39.87,40.19,1638941,0.0,1.0
2020-12-02,39.79,43.23,39.7,42.81,1897930,0.0,1.0
2020-12-03,44.26,49.4,43.76,49.33,5788119,0.0,1.0
2020-12-04,49.75,51.04,46.23,47.85,3037173,0.0,1.0
2020-12-07,48.0,48.48,45.38,46.12,1294681,0.0,1.0
2020-12-08,45.77,48.25,45.15,47.99,1624768,0.0,1.0
2020-12-09,48.0,48.85,44.14,44.85,1633979,0.0,1.0
2020-12-10,44.93,46.14,44.25,44.98,878771,0.0,1.0
2020-12-11,45.04,45.35,42.3,43.41,1014903,0.0,1.0
2020-12-14,43.75,43.75,40.6,41.41,1464379,0.0,1.0
2020-12-15,42.01,44.64,41.9,44.35,1043981,0.0,1.0
2020-12-16,43.74,46.4,43.13,46.12,1202062,0.0,1.0
2020-12-17,45.84,46.17,43.75,44.5,1036973,0.0,1.0
2020-12-18,43.82,45.02,42.29,45.0,1693982,0.0,1.0
2020-12-21,43.18,44.77,43.1,43.84,1063314,0.0,1.0
2020-12-22,44.19,45.49,42.2,42.32,1654731,0.0,1.0
2020-12-23,42.63,43.56,41.69,42.71,1212700,0.0,1.0
2020-12-24,42.87,43.39,41.88,41.96,457435,0.0,1.0
2020-12-28,43.01,45.4,42.79,44.91,1422589,0.0,1.0
2020-12-29,44.86,45.29,42.82,43.74,723419,0.0,1.0
2020-12-30,43.74,45.16,43.73,44.01,643005,0.0,1.0
2020-12-31,44.2,44.2,41.03,41.41,821518,0.0,1.0
2021-01-04,43.68,44.01,42.56,43.49,830644,0.0,1.0
2021-01-05,43.19,45.86,43.19,45.24,915555,0.0,1.0
2021-01-06,44.47,45.56,43.43,43.78,762347,0.0,1.0
2021-01-07,44.25,45.15,43.82,44.74,518390,0.0,1.0
2021-01-08,44.87,47.5,44.33,45.75,1284706,0.0,1.0
2021-01-11,44.93,45.82,44.35,45.43,566716,0.0,1.0
2021-01-12,45.42,48.52,45.21,48.21,1413558,0.0,1.0
2021-01-13,47.7,48.9,46.9,47.29,572608,0.0,1.0
2021-01-14,48.0,50.56,47.51,49.42,1253703,0.0,1.0
2021-01-15,49.07,53.49,47.01,52.61,2027898,0.0,1.0
2021-01-19,52.31,56.48,52.26,54.01,1921129,0.0,1.0
2021-01-20,55.66,57.0,54.01,54.18,1181380,0.0,1.0
2021-01-21,55.5,57.0,54.6,55.0,1575019,0.0,1.0
2021-01-22,55.38,55.68,51.04,53.19,1937957,0.0,1.0
2021-01-25,54.01,55.42,51.78,52.99,1110510,0.0,1.0
2021-01-26,53.83,54.06,51.51,51.68,653208,0.0,1.0
2021-01-27,50.1,50.26,46.17,46.4,1488743,0.0,1.0
2021-01-28,48.33,51.3,48.33,50.39,1366932,0.0,1.0
2021-01-29,50.18,51.26,47.2,48.34,1101470,0.0,1.0
2021-02-01,49.92,51.0,49.73,50.82,1059882,0.0,1.0
2021-02-02,52.39,53.48,51.58,52.7,1032708,0.0,1.0
2021-02-03,53.0,53.6,52.2,53.07,557642,0.0,1.0
2021-02-04,53.07,55.93,53.07,55.88,686668,0.0,1.0
2021-02-05,57.74,63.16,57.04,62.99,1829958,0.0,1.0
2021-02-08,64.91,68.77,64.7,66.64,2206278,0.0,1.0
2021-02-09,67.97,68.62,62.51,62.99,2256147,0.0,1.0
2021-02-10,66.41,66.98,63.46,65.8,1808038,0.0,1.0
2021-02-11,65.5,66.3,63.62,64.0,973420,0.0,1.0
2021-02-12,64.03,65.92,63.01,64.49,815792,0.0,1.0
2021-02-16,65.0,65.67,63.26,65.09,1071746,0.0,1.0
2021-02-17,62.51,62.62,59.52,60.66,3499097,0.0,1.0
2021-02-18,62.06,62.48,60.43,61.68,1793226,0.0,1.0
2021-02-19,62.42,66.87,61.88,66.48,1966018,0.0,1.0
2021-02-22,64.99,67.79,63.66,66.39,1739702,0.0,1.0
2021-02-23,62.71,64.76,58.5,62.3,1531936,0.0,1.0
2021-02-24,63.15,63.79,61.06,61.77,1356281,0.0,1.0
2021-02-25,61.55,62.89,57.12,57.78,1418246,0.0,1.0
2021-02-26,57.8,60.75,56.02,59.35,1186800,0.0,1.0
2021-03-01,61.67,63.83,61.03,63.15,1051163,0.0,1.0
2021-03-02,63.37,65.2,61.76,62.17,1122427,0.0,1.0
2021-03-03,63.5,63.72,60.07,60.25,620807,0.0,1.0
2021-03-04,60.11,61.23,55.13,56.42,1560731,0.0,1.0
2021-03-05,57.03,57.71,52.01,54.82,2395130,0.0,1.0
2021-03-08,55.21,55.46,49.95,50.13,1717634,0.0,1.0
2021-03-09,52.77,53.18,50.5,51.65,2113446,0.0,1.0
2021-03-10,53.78,54.49,51.73,52.16,819495,0.0,1.0
2021-03-11,53.38,55.78,53.12,55.27,776984,0.0,1.0
2021-03-12,54.5,56.67,53.98,56.41,964864,0.0,1.0
2021-03-15,57.36,58.18,56.72,57.24,831806,0.0,1.0
2021-03-16,57.88,58.63,55.72,57.01,710801,0.0,1.0
2021-03-17,54.56,57.4,54.03,56.52,799535,0.0,1.0
2021-03-18,56.03,58.73,55.91,56.06,1539453,0.0,1.0
2021-03-19,56.76,57.78,55.69,56.41,1772305,0.0,1.0
2021-03-22,56.95,57.19,55.32,55.53,614330,0.0,1.0
2021-03-23,54.27,54.99,53.26,53.67,672761,0.0,1.0
2021-03-24,54.21,54.59,50.84,51.03,789852,0.0,1.0
2021-03-25,50.61,52.37,49.94,51.57,921079,0.0,1.0
2021-03-26,52.4,52.63,50.56,52.44,763065,0.0,1.0
2021-03-29,53.21,53.35,52.11,52.62,629655,0.0,1.0
2021-03-30,54.0,54.04,51.35,52.9,976333,0.0,1.0
2021-03-31,53.8,57.63,53.78,56.07,1100296,0.0,1.0
2021-04-01,57.62,58.97,56.82,58.0,740207,0.0,1.0
2021-04-05,57.91,58.14,57.08,57.72,625428,0.0,1.0
2021-04-06,56.29,58.39,56.0,57.9,1030057,0.0,1.0
2021-04-07,57.5,59.79,56.92,59.04,1382808,0.0,1.0
2021-04-08,59.65,59.86,57.82,57.96,1138569,0.0,1.0
2021-04-09,57.68,60.82,57.35,60.73,1328190,0.0,1.0
2021-04-12,61.29,61.96,60.11,60.89,778129,0.0,1.0
2021-04-13,61.78,63.85,61.33,62.14,1026538,0.0,1.0
2021-04-14,62.93,63.42,60.65,62.46,951814,0.0,1.0
2021-04-15,61.6,62.24,60.01,62.07,1130921,0.0,1.0
2021-04-16,61.74,63.63,61.52,62.75,434492,0.0,1.0
