date,open_price,high_price,low_price,close_price,volume,dividend,split
2000-06-05,14.0,14.0,14.0,14.0,1000,0.0,1.0
2000-06-06,13.25,13.25,13.25,13.25,500,0.0,1.0
2000-06-07,13.25,13.25,13.0,13.0,4200,0.0,1.0
2000-06-08,13.0,13.5,12.88,13.0,176300,0.0,1.0
2000-06-09,13.0,13.38,13.0,13.38,43100,0.0,1.0
2000-06-12,13.25,14.0,13.25,13.63,19500,0.0,1.0
2000-06-13,13.5,13.5,13.5,13.5,1000,0.0,1.0
2000-06-14,13.5,13.5,13.5,13.5,2700,0.0,1.0
2000-06-15,13.88,13.88,13.88,13.88,3200,0.0,1.0
2000-06-16,13.88,14.13,13.88,14.13,5700,0.0,1.0
2000-06-19,13.88,13.88,13.63,13.63,1000,0.0,1.0
2000-06-20,13.62,13.62,13.62,13.62,0,0.0,1.0
2000-06-21,13.75,13.75,13.75,13.75,400,0.0,1.0
2000-06-22,13.75,13.75,13.75,13.75,0,0.0,1.0
2000-06-23,13.75,13.75,13.75,13.75,0,0.0,1.0
2000-06-26,13.75,13.88,13.13,13.5,5400,0.0,1.0
2000-06-27,13.38,13.38,13.38,13.38,3100,0.0,1.0
2000-06-28,13.38,13.38,13.38,13.38,0,0.0,1.0
2000-06-29,13.38,13.38,13.38,13.38,0,0.0,1.0
2000-06-30,13.38,13.38,13.38,13.38,0,0.0,1.0
2000-07-03,13.38,13.38,13.38,13.38,0,0.0,1.0
2000-07-05,13.38,13.38,13.38,13.38,0,0.0,1.0
2000-07-06,13.88,13.88,13.88,13.88,200,0.0,1.0
2000-07-07,13.88,13.88,13.88,13.88,0,0.0,1.0
2000-07-10,13.88,13.88,13.88,13.88,0,0.0,1.0
2000-07-11,13.88,13.88,13.88,13.88,0,0.0,1.0
2000-07-12,14.0,14.19,14.0,14.19,24500,0.0,1.0
2000-07-13,14.0,14.25,14.0,14.25,1500,0.0,1.0
2000-07-14,14.38,14.38,14.38,14.38,400,0.0,1.0
2000-07-17,14.13,14.5,14.0,14.5,5400,0.0,1.0
2000-07-18,14.5,14.5,14.5,14.5,0,0.0,1.0
2000-07-19,14.5,14.5,14.5,14.5,0,0.0,1.0
2000-07-20,14.75,14.75,14.75,14.75,2900,0.0,1.0
2000-07-21,14.88,14.94,14.88,14.94,3000,0.0,1.0
2000-07-24,14.88,14.88,14.88,14.88,1000,0.0,1.0
2000-07-25,15.0,15.0,14.75,14.75,4100,0.0,1.0
