date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-02-09,12.35,12.35,12.35,12.35,200,0.0,1.0
2009-02-10,12.35,12.35,12.35,12.35,0,0.0,1.0
2009-02-11,12.35,12.35,12.35,12.35,0,0.0,1.0
2009-02-12,12.35,12.35,12.35,12.35,0,0.0,1.0
2009-02-13,12.75,12.75,12.75,12.75,400,0.0,1.0
2009-02-17,12.75,12.75,12.75,12.75,0,0.0,1.0
2009-02-18,12.75,12.75,12.75,12.75,0,0.0,1.0
2009-02-19,12.75,12.75,12.75,12.75,0,0.0,1.0
2009-02-20,12.1,12.1,12.1,12.1,600,0.0,1.0
2009-02-23,12.1,12.1,12.1,12.1,0,0.0,1.0
2009-02-24,12.1,12.1,12.1,12.1,0,0.0,1.0
2009-02-25,11.5,11.5,11.5,11.5,200,0.0,1.0
2009-02-26,11.5,11.5,11.5,11.5,0,0.0,1.0
2009-02-27,11.45,11.45,11.45,11.45,340,0.0,1.0
2009-03-02,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-03,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-04,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-05,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-06,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-09,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-10,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-11,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-12,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-13,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-16,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-17,11.45,11.45,11.45,11.45,200,0.0,1.0
2009-03-18,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-19,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-20,11.45,11.45,11.45,11.45,0,0.0,1.0
2009-03-23,11.25,11.85,11.25,11.85,900,0.0,1.0
2009-03-24,11.85,11.85,11.85,11.85,0,0.0,1.0
2009-03-25,11.85,11.85,11.85,11.85,0,0.0,1.0
2009-03-26,11.85,11.85,11.85,11.85,0,0.0,1.0
2009-03-27,10.8,10.8,10.8,10.8,422,0.0,1.0
2009-03-30,10.65,10.65,10.65,10.65,100,0.0,1.0
2009-03-31,10.65,10.65,10.65,10.65,0,0.0,1.0
2009-04-01,10.65,10.65,10.65,10.65,0,0.0,1.0
2009-04-02,11.85,12.1,11.85,12.1,7450,0.0,1.0
2009-04-03,12.15,12.3,12.15,12.25,10200,0.0,1.0
2009-04-06,11.85,11.85,11.85,11.85,650,0.0,1.0
2009-04-07,11.85,11.85,11.85,11.85,0,0.0,1.0
