date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,8.69,8.75,8.62,8.72,210975,0.0,1.0
1999-11-02,8.62,8.72,8.5,8.69,56600,0.0,1.0
1999-11-03,8.59,8.75,8.5,8.69,164075,0.0,1.0
1999-11-04,8.56,8.78,8.56,8.78,176475,0.0,1.0
1999-11-05,8.78,8.78,8.5,8.75,29175,0.0,1.0
1999-11-08,8.5,8.56,8.25,8.56,35375,0.0,1.0
1999-11-09,8.5,8.5,8.44,8.44,103925,0.0,1.0
1999-11-10,8.44,8.62,8.31,8.62,82250,0.0,1.0
1999-11-11,8.5,8.5,8.19,8.31,68100,0.0,1.0
1999-11-12,8.31,8.69,8.25,8.5,241475,0.0,1.0
1999-11-15,8.56,8.56,8.31,8.31,57050,0.0,1.0
1999-11-16,8.31,8.38,8.25,8.31,83150,0.0,1.0
1999-11-17,8.31,8.5,8.31,8.31,123825,0.0,1.0
1999-11-18,8.31,8.38,8.31,8.31,43325,0.0,1.0
1999-11-19,8.31,8.38,8.31,8.38,32275,0.0,1.0
1999-11-22,8.31,8.38,8.31,8.31,98175,0.0,1.0
1999-11-23,8.31,8.38,8.19,8.19,140650,0.0,1.0
1999-11-24,8.19,8.25,7.69,7.94,266250,0.0,1.0
1999-11-26,7.81,7.94,7.81,7.81,20775,0.0,1.0
1999-11-29,7.81,7.88,7.56,7.69,117650,0.0,1.0
1999-11-30,7.56,7.75,7.5,7.56,233975,0.0,1.0
1999-12-01,7.62,7.81,7.56,7.62,202125,0.0,1.0
1999-12-02,7.62,7.81,7.62,7.75,140650,0.0,1.0
1999-12-03,7.78,8.0,7.75,7.94,77825,0.0,1.0
1999-12-06,7.75,8.0,7.69,7.75,178675,0.0,1.0
1999-12-07,7.75,8.0,7.75,8.0,206100,0.0,1.0
1999-12-08,7.91,8.06,7.91,8.0,210975,0.0,1.0
1999-12-09,8.0,8.12,8.0,8.12,243700,0.0,1.0
1999-12-10,8.12,9.12,8.06,8.75,364875,0.0,1.0
1999-12-13,8.75,9.0,8.56,8.56,78725,0.0,1.0
1999-12-14,8.66,8.81,8.38,8.69,124275,0.0,1.0
1999-12-15,8.75,9.94,8.69,9.06,437875,0.0,1.0
1999-12-16,9.19,9.19,8.69,8.75,251225,0.0,1.0
1999-12-17,8.75,9.0,8.69,9.0,20775,0.0,1.0
1999-12-20,8.75,9.0,8.75,8.75,204775,0.0,1.0
1999-12-21,8.81,9.0,8.75,8.81,95075,0.0,1.0
1999-12-22,8.75,9.0,8.75,8.81,133550,0.0,1.0
1999-12-23,8.88,8.91,8.81,8.88,71200,0.0,1.0
1999-12-27,8.81,8.94,8.81,8.81,93750,0.0,1.0
1999-12-28,8.81,8.88,8.56,8.62,213175,0.0,1.0
1999-12-29,8.62,8.75,8.25,8.38,344100,0.0,1.0
1999-12-30,8.38,8.38,7.88,8.12,617000,0.0,1.0
1999-12-31,8.12,9.12,8.12,9.0,318875,0.0,1.0
2000-01-03,8.97,9.5,8.75,9.5,247675,0.0,1.0
2000-01-04,9.31,9.62,8.88,9.38,415750,0.0,1.0
2000-01-05,9.75,9.88,8.75,8.75,316225,0.0,1.0
2000-01-06,9.0,9.12,8.75,8.75,224675,0.0,1.0
2000-01-07,9.0,9.0,8.5,8.75,165850,0.0,1.0
2000-01-10,8.5,9.0,8.5,8.5,146400,0.0,1.0
2000-01-11,8.5,8.59,8.38,8.38,298100,0.0,1.0
2000-01-12,8.38,8.44,8.31,8.44,114550,0.0,1.0
2000-01-13,8.31,8.5,8.25,8.38,51300,0.0,1.0
2000-01-14,8.31,8.62,8.25,8.44,137550,0.0,1.0
2000-01-18,8.56,8.69,8.38,8.38,67225,0.0,1.0
2000-01-19,8.44,8.5,8.38,8.5,92425,0.0,1.0
2000-01-20,8.56,8.56,8.25,8.38,143725,0.0,1.0
2000-01-21,8.5,8.81,8.38,8.38,60150,0.0,1.0
2000-01-24,8.38,8.75,8.38,8.38,191500,0.0,1.0
2000-01-25,8.38,8.5,8.0,8.12,91550,0.0,1.0
2000-01-26,8.0,8.0,7.94,8.0,34475,0.0,1.0
