date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,33.25,33.5,32.44,32.81,333200,0.0,1.0
1999-11-02,33.0,34.0,33.0,33.69,577300,0.0,1.0
1999-11-03,34.0,34.38,33.75,34.31,247500,0.0,1.0
1999-11-04,36.0,36.0,35.13,35.47,350800,0.0,1.0
1999-11-05,34.75,35.0,34.19,34.31,207800,0.0,1.0
1999-11-08,33.75,33.75,32.25,32.31,569900,0.0,1.0
1999-11-09,33.25,33.38,32.5,32.75,366800,0.0,1.0
1999-11-10,32.5,33.38,32.31,33.13,209600,0.0,1.0
1999-11-11,34.5,34.5,33.38,34.06,425600,0.0,1.0
1999-11-12,33.5,33.5,33.0,33.25,222700,0.0,1.0
1999-11-15,33.19,34.13,33.06,34.0,409200,0.0,1.0
1999-11-16,36.0,36.63,36.0,36.56,480900,0.0,1.0
1999-11-17,34.75,35.0,34.5,34.69,605200,0.0,1.0
1999-11-18,34.69,36.0,34.31,35.63,398200,0.0,1.0
1999-11-19,35.44,36.13,35.19,36.13,418700,0.0,1.0
1999-11-22,35.63,35.63,33.5,33.63,176800,0.0,1.0
1999-11-23,34.0,34.13,33.63,33.94,404300,0.0,1.0
1999-11-24,34.88,36.31,34.63,36.19,276000,0.0,1.0
1999-11-26,36.38,36.38,35.38,35.38,319600,0.0,1.0
1999-11-29,37.0,37.19,35.38,36.25,495200,0.0,1.0
1999-11-30,36.25,37.0,35.94,36.38,403200,0.0,1.0
1999-12-01,36.75,37.81,36.63,37.75,424000,0.0,1.0
1999-12-02,38.0,38.38,37.5,37.88,531000,0.0,1.0
1999-12-03,37.88,39.13,37.81,39.13,269200,0.0,1.0
1999-12-06,38.25,38.25,35.19,35.5,788300,0.0,1.0
1999-12-07,33.63,34.25,33.5,34.25,512400,0.0,1.0
1999-12-08,33.75,34.56,33.63,34.38,656800,0.0,1.0
1999-12-09,34.88,35.13,34.75,34.88,456600,0.0,1.0
1999-12-10,36.38,36.5,35.94,36.25,457000,0.0,1.0
1999-12-13,35.5,35.63,35.25,35.5,163300,0.0,1.0
1999-12-14,34.0,34.13,33.06,33.38,578600,0.0,1.0
1999-12-15,33.0,34.69,32.88,34.63,609300,0.0,1.0
1999-12-16,35.25,36.13,35.06,36.13,507000,0.0,1.0
1999-12-17,35.62,37.19,35.62,37.19,684800,0.0,1.0
1999-12-20,39.13,39.19,37.25,37.5,504400,0.0,1.0
1999-12-21,36.5,36.63,35.75,35.88,381100,0.0,1.0
1999-12-22,34.63,34.88,33.0,33.25,321800,0.0,1.0
1999-12-23,33.0,33.44,33.0,33.13,231000,0.0,1.0
1999-12-27,33.13,35.19,33.0,34.88,161000,0.0,1.0
1999-12-28,36.25,36.25,34.94,35.19,123700,0.6576,1.0
1999-12-29,34.81,34.94,34.13,34.19,140000,0.0,1.0
1999-12-30,34.38,34.88,33.5,34.75,71100,0.0,1.0
1999-12-31,34.63,35.0,34.5,35.0,15800,0.0,1.0
2000-01-03,37.0,37.75,36.88,37.75,301300,0.0,1.0
2000-01-04,38.25,40.31,38.0,38.75,498700,0.0,1.0
2000-01-05,39.5,45.0,39.5,44.0,623100,0.0,1.0
2000-01-06,42.38,42.44,40.0,40.5,549700,0.0,1.0
2000-01-07,41.0,41.63,40.56,41.38,312300,0.0,1.0
2000-01-10,41.13,42.13,41.13,42.13,275300,0.0,1.0
2000-01-11,41.13,41.75,40.38,40.88,256300,0.0,1.0
2000-01-12,40.88,41.0,40.13,40.13,283100,0.0,1.0
2000-01-13,40.38,40.63,39.94,39.94,717200,0.0,1.0
2000-01-14,40.0,40.38,38.44,38.69,352600,0.0,1.0
2000-01-18,38.0,38.63,37.75,38.63,453900,0.0,1.0
2000-01-19,36.5,37.25,36.25,36.25,210200,0.0,1.0
2000-01-20,37.25,38.75,36.63,38.63,409700,0.0,1.0
2000-01-21,37.5,38.44,37.5,38.25,488100,0.0,1.0
2000-01-24,37.75,37.88,36.5,37.0,578500,0.0,1.0
2000-01-25,36.75,38.0,36.75,37.63,364800,0.0,1.0
2000-01-26,37.88,37.88,36.63,37.19,414700,0.0,1.0
2000-01-27,37.5,37.94,37.44,37.5,254200,0.0,1.0
2000-01-28,37.0,37.56,35.31,35.63,453900,0.0,1.0
2000-01-31,35.63,35.75,35.13,35.25,447200,0.0,1.0
2000-02-01,35.38,35.63,34.88,35.06,139700,0.0,1.0
2000-02-02,35.19,35.44,35.0,35.25,327900,0.0,1.0
2000-02-03,35.5,35.56,34.69,35.56,386400,0.0,1.0
2000-02-04,35.81,36.0,35.75,35.94,278100,0.0,1.0
2000-02-07,35.94,36.5,35.88,36.25,195900,0.0,1.0
2000-02-08,36.19,36.19,36.0,36.06,247100,0.0,1.0
2000-02-09,36.0,36.0,34.13,34.25,387600,0.0,1.0
2000-02-10,34.25,34.81,32.5,32.5,461600,0.0,1.0
2000-02-11,31.38,32.31,29.0,29.0,956200,0.0,1.0
2000-02-14,28.88,29.75,27.5,29.0,681800,0.0,1.0
2000-02-15,27.31,28.69,25.75,28.25,1794000,0.0,1.0
2000-02-16,29.0,30.75,28.88,29.25,816800,0.0,1.0
2000-02-17,31.25,31.63,31.13,31.5,323100,0.0,1.0
2000-02-18,31.56,31.56,28.38,28.38,261700,0.0,1.0
2000-02-22,27.5,27.75,26.56,26.88,882300,0.0,1.0
2000-02-23,28.0,28.25,27.63,28.25,504600,0.0,1.0
2000-02-24,28.38,28.88,27.56,28.56,320100,0.0,1.0
