date,open_price,high_price,low_price,close_price,volume,dividend,split
2021-01-15,33.4,36.06,30.04,31.62,53050914,0.0,1.0
2021-01-19,33.89,33.97,32.0,32.4,8899159,0.0,1.0
2021-01-20,33.04,33.2,31.6,32.0,3792590,0.0,1.0
2021-01-21,32.27,32.27,30.05,31.01,3894764,0.0,1.0
2021-01-22,30.06,31.11,30.0,30.24,3625163,0.0,1.0
2021-01-25,30.9,31.38,29.51,30.29,2914237,0.0,1.0
2021-01-26,30.29,31.0,29.93,30.86,5997765,0.0,1.0
2021-01-27,30.0,30.23,28.77,29.4,4441855,0.0,1.0
2021-01-28,29.25,29.95,29.01,29.18,3707153,0.0,1.0
2021-01-29,29.21,29.98,28.9,29.14,1604458,0.0,1.0
2021-02-01,29.1,29.18,28.82,29.0,1112828,0.0,1.0
2021-02-02,29.05,29.82,28.85,28.99,1133094,0.0,1.0
2021-02-03,29.0,29.49,28.51,29.43,1587722,0.0,1.0
2021-02-04,29.73,30.44,29.31,29.91,1137178,0.0,1.0
2021-02-05,29.89,31.15,29.79,31.0,1460553,0.0,1.0
2021-02-08,31.19,33.0,31.12,32.3,2040134,0.0,1.0
2021-02-09,32.62,34.5,32.4,34.28,3430754,0.0,1.0
2021-02-10,35.0,35.09,33.3,33.91,1885415,0.0,1.0
2021-02-11,34.4,34.5,32.45,33.7,1506729,0.0,1.0
2021-02-12,33.91,35.0,33.35,33.81,813321,0.0,1.0
2021-02-16,34.54,34.88,33.06,33.73,1366519,0.0,1.0
2021-02-17,33.57,33.68,31.39,32.78,2207499,0.0,1.0
2021-02-18,32.14,32.81,31.52,32.56,988336,0.0,1.0
2021-02-19,32.56,33.43,32.22,32.36,538286,0.0,1.0
2021-02-22,31.36,32.33,30.61,31.01,1707613,0.0,1.0
2021-02-23,29.0,31.84,28.86,31.5,2253900,0.0,1.0
2021-02-24,31.35,32.29,30.78,32.01,840726,0.0,1.0
2021-02-25,32.0,32.06,28.75,30.23,1897263,0.0,1.0
2021-02-26,30.65,31.75,29.6,29.75,1831341,0.0,1.0
2021-03-01,30.17,31.41,30.17,30.64,1130339,0.0,1.0
2021-03-02,30.95,31.49,29.7,29.99,2628502,0.0,1.0
2021-03-03,29.75,30.48,29.53,29.69,1293964,0.0,1.0
2021-03-04,29.49,29.97,28.14,28.81,1782402,0.0,1.0
2021-03-05,29.21,29.23,26.9,28.09,1448879,0.0,1.0
2021-03-08,28.01,28.17,26.2,26.35,1985455,0.0,1.0
2021-03-09,28.56,28.56,26.71,26.79,1401341,0.0,1.0
2021-03-10,27.53,27.99,26.32,26.59,1474881,0.0,1.0
2021-03-11,27.1,27.96,26.88,27.74,1142549,0.0,1.0
2021-03-12,27.37,27.55,25.8,26.1,1430930,0.0,1.0
2021-03-15,26.5,27.31,26.06,27.3,871295,0.0,1.0
2021-03-16,27.49,27.79,26.44,26.81,737736,0.0,1.0
2021-03-17,26.44,27.16,26.05,26.9,825177,0.0,1.0
2021-03-18,26.5,26.73,25.66,26.18,1311496,0.0,1.0
2021-03-19,26.38,26.6,25.68,25.79,4751759,0.0,1.0
2021-03-22,25.95,26.06,25.28,26.0,1299381,0.0,1.0
2021-03-23,25.99,26.25,25.67,25.96,770389,0.0,1.0
2021-03-24,26.1,26.19,25.36,25.45,849100,0.0,1.0
2021-03-25,25.18,25.6,24.41,25.16,2093240,0.0,1.0
2021-03-26,25.18,25.57,24.51,25.27,1367993,0.0,1.0
2021-03-29,24.97,25.86,24.92,25.48,694600,0.0,1.0
2021-03-30,25.48,26.91,25.17,26.82,801270,0.0,1.0
2021-03-31,27.0,27.92,26.94,27.21,1346720,0.0,1.0
2021-04-01,27.48,27.59,26.11,26.85,817600,0.0,1.0
2021-04-05,27.14,27.85,26.01,26.79,714715,0.0,1.0
2021-04-06,26.96,27.69,26.6,26.88,459969,0.0,1.0
2021-04-07,26.89,27.18,25.93,26.21,903440,0.0,1.0
2021-04-08,26.26,26.5,26.02,26.46,438076,0.0,1.0
2021-04-09,26.47,27.05,26.03,27.0,403011,0.0,1.0
2021-04-12,27.0,27.1,26.52,26.92,455295,0.0,1.0
2021-04-13,26.92,27.25,26.31,26.46,1007679,0.0,1.0
2021-04-14,26.52,26.89,25.61,25.92,1215683,0.0,1.0
2021-04-15,26.02,26.21,25.55,26.1,864145,0.0,1.0
2021-04-16,25.81,26.09,24.94,25.93,887579,0.0,1.0
2021-04-19,25.92,26.93,25.85,26.88,642937,0.0,1.0
2021-04-20,26.74,27.54,26.25,26.68,1203607,0.0,1.0
