date,open_price,high_price,low_price,close_price,volume,dividend,split
2012-01-27,23.78,27.5,22.75,26.7,707249,0.0,1.0
2012-01-30,26.75,26.95,26.5,26.8,419170,0.0,1.0
2012-01-31,26.81,27.35,26.81,26.91,118909,0.0,1.0
2012-02-01,26.95,28.0,26.95,27.25,67849,0.0,1.0
2012-02-02,27.21,28.19,27.21,27.85,403794,0.0,1.0
2012-02-03,27.7,28.07,27.1,27.14,256227,0.0,1.0
2012-02-06,27.13,27.74,26.7,26.89,2041500,0.0,1.0
2012-02-07,26.75,26.89,25.89,26.18,1659800,0.0,1.0
2012-02-08,25.96,26.19,25.34,26.02,1983100,0.0,1.0
2012-02-09,26.28,27.45,26.0,26.52,1686900,0.0,1.0
2012-02-10,25.65,26.7,25.65,26.64,1340900,0.0,1.0
2012-02-13,26.38,28.01,26.02,27.72,1858400,0.0,1.0
2012-02-14,27.98,30.64,27.4,29.7,1555600,0.0,1.0
2012-02-15,30.28,31.93,29.9,30.94,1299600,0.0,1.0
2012-02-16,31.09,31.36,30.61,30.97,823100,0.0,1.0
2012-02-17,30.92,30.99,30.3,30.8,527000,0.0,1.0
2012-02-21,30.6,30.9,29.95,30.35,518400,0.0,1.0
2012-02-22,30.44,30.82,30.01,30.61,397900,0.0,1.0
2012-02-23,30.54,31.63,30.01,31.37,222300,0.0,1.0
2012-02-24,31.05,31.45,30.12,31.35,188400,0.0,1.0
2012-02-27,30.94,31.9,30.34,31.45,292600,0.0,1.0
2012-02-28,30.6,31.62,30.6,31.5,377300,0.0,1.0
2012-02-29,31.67,31.9,31.05,31.14,694100,0.0,1.0
2012-03-01,31.51,31.59,31.18,31.49,288000,0.0,1.0
2012-03-02,31.54,31.58,31.11,31.46,190900,0.0,1.0
2012-03-05,32.0,32.0,31.41,31.45,206900,0.0,1.0
2012-03-06,31.21,31.36,29.6,30.25,639800,0.0,1.0
2012-03-07,30.41,30.7,30.11,30.18,350100,0.0,1.0
2012-03-08,30.31,30.47,29.61,29.91,541200,0.0,1.0
2012-03-09,29.76,31.07,29.76,30.67,285300,0.0,1.0
2012-03-12,30.63,30.74,29.83,30.02,224300,0.0,1.0
2012-03-13,30.1,31.0,30.1,30.89,247300,0.0,1.0
2012-03-14,30.89,31.13,30.02,30.13,226700,0.0,1.0
2012-03-15,30.02,30.07,29.88,29.98,335600,0.0,1.0
2012-03-16,29.97,31.15,29.91,30.63,335100,0.0,1.0
2012-03-19,30.69,30.98,30.16,30.3,86400,0.0,1.0
2012-03-20,30.2,30.32,29.71,29.78,144500,0.0,1.0
2012-03-21,29.81,30.38,29.73,29.92,757900,0.0,1.0
2012-03-22,29.7,30.49,29.66,30.42,272500,0.0,1.0
2012-03-23,30.37,31.06,30.37,31.0,383300,0.0,1.0
2012-03-26,31.19,31.82,31.16,31.64,191300,0.0,1.0
2012-03-27,31.6,32.51,31.6,32.08,161400,0.0,1.0
2012-03-28,32.03,32.39,31.94,32.21,136500,0.0,1.0
2012-03-29,32.09,32.34,32.0,32.24,271600,0.0,1.0
2012-03-30,32.34,33.74,32.12,32.93,544900,0.0,1.0
2012-04-02,32.87,34.35,32.69,33.98,264600,0.0,1.0
2012-04-03,33.92,34.25,33.13,33.25,588100,0.0,1.0
2012-04-04,33.01,33.2,32.65,32.88,203200,0.0,1.0
2012-04-05,32.74,32.87,32.46,32.7,57000,0.0,1.0
2012-04-09,32.3,32.51,31.72,32.24,92000,0.0,1.0
2012-04-10,32.16,32.26,31.22,31.49,148700,0.0,1.0
2012-04-11,31.68,31.68,31.31,31.44,147400,0.0,1.0
2012-04-12,31.39,31.45,31.19,31.36,108900,0.0,1.0
2012-04-13,31.45,32.18,31.14,32.17,157400,0.0,1.0
2012-04-16,32.21,32.43,31.92,31.98,96900,0.0,1.0
2012-04-17,32.14,32.55,31.86,32.0,113600,0.0,1.0
2012-04-18,31.94,32.26,31.34,31.71,144200,0.0,1.0
2012-04-19,31.7,31.82,31.3,31.7,91100,0.0,1.0
2012-04-20,31.77,32.23,31.7,31.89,179900,0.0,1.0
2012-04-23,31.5,31.8,31.2,31.39,250400,0.0,1.0
2012-04-24,31.33,31.69,31.18,31.54,318000,0.0,1.0
2012-04-25,31.6,32.69,31.45,32.53,303300,0.0,1.0
2012-04-26,32.38,32.68,30.84,31.01,522000,0.0,1.0
2012-04-27,30.98,30.98,29.87,30.0,415400,0.0,1.0
2012-04-30,29.94,30.15,29.51,29.75,222000,0.0,1.0
2012-05-01,29.78,30.8,29.52,29.75,294100,0.0,1.0
2012-05-02,29.63,29.84,29.15,29.28,279000,0.0,1.0
2012-05-03,29.29,29.97,28.81,29.84,229000,0.0,1.0
2012-05-04,29.72,30.35,29.56,29.96,215600,0.0,1.0
2012-05-07,29.85,30.85,29.72,30.76,158000,0.0,1.0
2012-05-08,30.54,31.11,30.54,31.02,124000,0.0,1.0
2012-05-09,30.78,30.95,30.5,30.82,112300,0.0,1.0
2012-05-10,30.98,31.43,30.86,31.05,203600,0.0,1.0
2012-05-11,30.96,31.36,30.57,30.74,279000,0.0,1.0
2012-05-14,30.53,31.02,29.88,30.19,173900,0.0,1.0
2012-05-15,30.19,30.61,30.02,30.14,129000,0.0,1.0
2012-05-16,30.28,30.85,29.89,29.99,268100,0.0,1.0
2012-05-17,30.0,30.04,29.26,29.26,331700,0.0,1.0
2012-05-18,29.35,29.85,28.94,29.54,228300,0.0,1.0
2012-05-21,29.72,30.6,29.17,29.61,218300,0.0,1.0
2012-05-22,29.66,30.1,28.95,29.16,241900,0.0,1.0
2012-05-23,29.01,29.27,28.57,28.94,160000,0.0,1.0
2012-05-24,28.95,29.39,27.92,28.0,372300,0.0,1.0
2012-05-25,27.93,30.2,27.33,29.75,510700,0.0,1.0
2012-05-29,29.82,31.33,29.82,31.25,267600,0.0,1.0
2012-05-30,31.1,31.3,29.89,30.39,122900,0.0,1.0
2012-05-31,30.34,30.42,29.59,30.07,141300,0.0,1.0
2012-06-01,29.54,29.86,29.07,29.31,163100,0.0,1.0
2012-06-04,29.31,29.51,28.53,29.39,286100,0.0,1.0
2012-06-05,29.23,30.8,29.23,30.47,226600,0.0,1.0
2012-06-06,30.53,30.99,30.49,30.98,126200,0.0,1.0
2012-06-07,31.1,31.47,30.75,30.85,132100,0.0,1.0
2012-06-08,30.81,31.26,30.62,30.99,147500,0.0,1.0
2012-06-11,31.22,31.22,30.57,30.83,135300,0.0,1.0
2012-06-12,30.92,30.98,30.45,30.87,138100,0.0,1.0
2012-06-13,30.9,30.99,30.64,30.95,230400,0.0,1.0
2012-06-14,30.93,31.25,30.54,31.14,178400,0.0,1.0
2012-06-15,31.25,32.46,31.14,32.39,284200,0.0,1.0
2012-06-18,32.15,33.06,31.89,32.7,193400,0.0,1.0
2012-06-19,32.7,33.06,31.63,31.86,191800,0.0,1.0
2012-06-20,31.83,32.17,31.08,31.26,222700,0.0,1.0
2012-06-21,31.31,32.09,30.91,31.71,268300,0.0,1.0
2012-06-22,31.78,32.73,31.57,32.49,2629300,0.0,1.0
2012-06-25,32.04,32.26,31.14,31.55,281700,0.0,1.0
