date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-09-07,173.75,173.75,173.75,173.75,100,0.0,1.0
2007-09-10,173.75,173.75,173.75,173.75,0,0.0,1.0
2007-09-11,173.75,173.75,173.75,173.75,0,0.0,1.0
2007-09-12,173.75,173.75,173.75,173.75,0,0.0,1.0
2007-09-13,173.75,173.75,173.75,173.75,0,0.0,1.0
2007-09-14,173.75,173.75,173.75,173.75,0,0.0,1.0
2007-09-17,173.75,173.75,173.75,173.75,0,0.0,1.0
2007-09-18,173.75,173.75,173.75,173.75,0,0.0,1.0
2007-09-19,185.5,185.5,185.5,185.5,500,0.0,1.0
2007-09-20,185.5,185.5,185.5,185.5,0,0.0,1.0
2007-09-21,185.5,185.5,185.5,185.5,0,0.0,1.0
2007-09-24,183.25,183.25,183.25,183.25,200,0.0,1.0
2007-09-25,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-09-26,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-09-27,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-09-28,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-01,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-02,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-03,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-04,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-05,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-08,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-09,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-10,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-11,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-12,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-15,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-16,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-17,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-18,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-19,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-22,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-23,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-24,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-25,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-26,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-29,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-30,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-10-31,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-01,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-02,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-05,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-06,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-07,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-08,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-09,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-12,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-14,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-15,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-16,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-19,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-21,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-23,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-26,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-27,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-28,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-29,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-11-30,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-03,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-04,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-05,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-06,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-07,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-10,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-11,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-12,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-13,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-14,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-17,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-18,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-19,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-20,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-21,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-24,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-26,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-27,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-28,183.25,183.25,183.25,183.25,0,0.0,1.0
2007-12-31,183.25,183.25,183.25,183.25,0,0.0,1.0
