date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-09-26,74.5,74.5,74.5,74.5,247,0.0,1.0
2019-09-27,74.2,74.2,73.0,73.1,845,0.0,1.0
2019-09-30,73.1,73.1,73.1,73.1,168,0.0,1.0
2019-10-01,73.1,73.1,73.1,73.1,20,0.0,1.0
2019-10-02,75.66,75.66,75.66,75.66,76108,0.0,1.0
2019-10-03,73.1,73.1,73.1,73.1,40,0.0,1.0
2019-10-04,73.1,73.1,73.1,73.1,68,0.0,1.0
2019-10-07,71.1,71.1,71.1,71.1,696,0.0,1.0
2019-10-08,70.34,70.5,70.34,70.5,350,0.0,1.0
2019-10-09,70.15,70.15,70.11,70.11,292,0.0,1.0
2019-10-10,71.0,71.0,71.0,71.0,887,0.0,1.0
2019-10-11,71.0,71.0,71.0,71.0,5,0.0,1.0
2019-10-14,71.0,71.0,71.0,71.0,0,0.0,1.0
2019-10-15,71.0,71.0,71.0,71.0,0,0.0,1.0
2019-10-16,71.0,71.0,71.0,71.0,14,0.0,1.0
2019-10-17,74.65,74.65,74.0,74.0,2016,0.0,1.0
2019-10-18,74.4,74.4,74.4,74.4,167,0.0,1.0
2019-10-21,73.9,73.9,73.65,73.65,1310,0.0,1.0
2019-10-22,73.65,73.65,73.65,73.65,24,0.0,1.0
2019-10-23,70.35,70.54,70.35,70.54,115330,0.0,1.0
2019-10-24,70.54,70.54,70.54,70.54,89,0.0,1.0
2019-10-25,69.53,69.53,69.53,69.53,544,0.0,1.0
2019-10-28,69.7,70.92,69.7,70.92,4588,0.0,1.0
2019-10-29,70.92,70.92,70.92,70.92,17,0.0,1.0
2019-10-30,69.15,69.45,69.15,69.45,17338,0.0,1.0
2019-10-31,69.45,69.45,69.45,69.45,27,0.0,1.0
2019-11-01,69.22,69.22,69.22,69.22,215,0.0,1.0
2019-11-04,69.22,69.22,69.22,69.22,11,0.0,1.0
2019-11-05,69.22,69.22,69.22,69.22,689,0.0,1.0
2019-11-06,69.22,69.22,69.22,69.22,0,0.0,1.0
2019-11-07,70.14,70.14,70.14,70.14,4004,0.0,1.0
2019-11-08,70.14,70.14,70.14,70.14,1426,0.0,1.0
2019-11-11,70.14,70.14,70.14,70.14,60,0.0,1.0
2019-11-12,68.9,68.9,68.6,68.6,4000,0.0,1.0
2019-11-13,66.47,66.72,66.47,66.72,5482,0.0,1.0
2019-11-14,66.72,66.72,66.72,66.72,0,0.0,1.0
2019-11-15,67.4,67.4,67.25,67.25,7507,0.0,1.0
2019-11-18,67.25,67.25,67.25,67.25,69,0.0,1.0
2019-11-19,67.25,67.25,67.25,67.25,4,0.0,1.0
2019-11-20,68.99,68.99,68.99,68.99,605,0.0,1.0
2019-11-21,68.92,69.12,68.92,69.12,15030,0.0,1.0
2019-11-22,69.12,69.12,69.12,69.12,0,0.0,1.0
2019-11-25,69.12,69.12,69.12,69.12,3,0.0,1.0
2019-11-26,69.12,69.12,69.12,69.12,0,0.0,1.0
2019-11-27,69.12,69.12,69.12,69.12,81896,0.0,1.0
2019-11-29,69.12,69.12,69.12,69.12,37520,0.0,1.0
2019-12-02,69.12,69.12,69.12,69.12,0,0.0,1.0
2019-12-03,66.35,66.35,66.35,66.35,120,0.0,1.0
2019-12-04,67.22,67.22,66.94,66.94,39520,0.0,1.0
2019-12-05,65.86,66.43,65.86,65.9,1405,0.0,1.0
2019-12-06,66.01,66.01,66.01,66.01,136,0.0,1.0
2019-12-09,66.01,66.01,66.01,66.01,0,0.0,1.0
2019-12-10,66.01,66.01,66.01,66.01,0,0.0,1.0
2019-12-11,66.0,66.13,66.0,66.13,10213,0.0,1.0
2019-12-12,66.13,66.13,66.13,66.13,2076,0.0,1.0
2019-12-13,66.13,66.13,66.13,66.13,20,0.0,1.0
2019-12-16,66.13,66.13,66.13,66.13,12,0.0,1.0
2019-12-17,66.13,66.13,66.13,66.13,0,0.0,1.0
2019-12-18,66.13,66.13,66.13,66.13,384,0.0,1.0
2019-12-19,66.13,66.13,66.13,66.13,30,0.0,1.0
2019-12-20,74.14,74.14,74.14,74.14,20028,0.0,1.0
2019-12-23,74.14,74.14,74.14,74.14,5,0.0,1.0
2019-12-24,74.14,74.14,74.14,74.14,688,0.0,1.0
2019-12-26,74.14,74.14,74.14,74.14,0,0.0,1.0
2019-12-27,74.97,74.97,74.97,74.97,100,0.0,1.0
2019-12-30,74.97,74.97,74.97,74.97,0,0.0,1.0
2019-12-31,74.97,74.97,74.97,74.97,25,0.0,1.0
2020-01-02,76.0,76.0,76.0,76.0,162,0.0,1.0
2020-01-03,76.0,76.0,76.0,76.0,7160,0.0,1.0
2020-01-06,76.0,76.0,76.0,76.0,10,0.0,1.0
2020-01-07,75.92,75.92,75.62,75.88,5065,0.0,1.0
2020-01-08,75.0,75.3,75.0,75.3,347,0.0,1.0
2020-01-09,76.68,77.44,76.68,77.44,3667,0.0,1.0
2020-01-10,77.44,77.44,77.44,77.44,0,0.0,1.0
2020-01-13,77.44,77.44,77.44,77.44,97,0.0,1.0
2020-01-14,79.4,79.4,79.3,79.39,4554,0.0,1.0
2020-01-15,79.4,79.4,79.4,79.4,110,0.0,1.0
2020-01-16,79.4,79.4,79.4,79.4,0,0.0,1.0
2020-01-17,79.4,79.4,79.4,79.4,142,0.0,1.0
2020-01-21,78.75,78.75,78.75,78.75,9964,0.0,1.0
2020-01-22,78.75,78.75,78.75,78.75,0,0.0,1.0
2020-01-23,78.75,78.75,78.75,78.75,150,0.0,1.0
2020-01-24,78.75,78.75,78.75,78.75,207,0.0,1.0
2020-01-27,78.75,78.75,78.75,78.75,0,0.0,1.0
2020-01-28,72.5,72.5,72.5,72.5,5206,0.0,1.0
2020-01-29,75.0,75.0,75.0,75.0,229,0.0,1.0
2020-01-31,75.0,75.0,75.0,75.0,0,0.0,1.0
2020-02-03,73.9,73.9,73.75,73.75,15041,0.0,1.0
2020-02-04,73.75,73.75,73.75,73.75,122,0.0,1.0
2020-02-06,73.75,73.75,73.75,73.75,20,0.0,1.0
2020-02-07,73.75,73.75,73.75,73.75,140000,0.0,1.0
2020-02-10,73.75,73.75,73.75,73.75,0,0.0,1.0
2020-02-11,77.74,77.74,77.74,77.74,180,0.0,1.0
2020-02-12,77.74,77.74,77.74,77.74,515,0.0,1.0
2020-02-13,78.3,78.3,78.1,78.1,702,0.0,1.0
2020-02-14,78.1,78.1,78.1,78.1,0,0.0,1.0
2020-02-18,77.5,77.65,77.5,77.65,2852,0.0,1.0
2020-02-19,77.65,77.65,77.65,77.65,0,0.0,1.0
2020-02-20,76.5,76.5,76.5,76.5,195,0.0,1.0
2020-02-21,76.5,76.5,76.5,76.5,16814,0.0,1.0
2020-02-24,73.74,73.74,73.25,73.25,229,0.0,1.0
2020-02-25,73.25,73.25,73.25,73.25,0,0.0,1.0
2020-02-26,73.25,73.25,73.25,73.25,8065,0.0,1.0
2020-02-27,72.02,72.02,71.78,71.78,589,0.0,1.0
2020-02-28,67.44,67.44,67.44,67.44,120,0.0,1.0
2020-03-02,67.44,67.44,67.44,67.44,60,0.0,1.0
