date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,23.5,23.5,23.5,23.5,200,0.0,1.0
2007-07-16,23.5,23.5,23.5,23.5,0,0.0,1.0
2007-07-17,23.5,23.5,23.5,23.5,0,0.0,1.0
2007-07-18,23.5,23.5,23.5,23.5,0,0.0,1.0
2007-07-19,24.1,24.26,23.9,24.1,4520,0.0,1.0
2007-07-20,24.43,24.47,24.43,24.43,1200,0.0,1.0
2007-07-23,24.43,24.43,24.43,24.43,0,0.0,1.0
2007-07-24,23.9,23.9,23.9,23.9,3400,0.0,1.0
2007-07-25,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-07-26,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-07-27,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-07-30,23.9,23.9,23.9,23.9,0,0.0,1.0
2007-07-31,23.1,23.1,23.1,23.1,710,0.0,1.0
2007-08-01,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-02,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-03,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-06,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-07,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-08,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-09,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-10,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-13,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-14,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-15,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-16,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-17,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-20,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-21,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-22,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-23,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-24,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-27,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-28,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-29,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-30,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-08-31,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-09-04,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-09-05,23.1,23.1,23.1,23.1,0,0.0,1.0
2007-09-06,23.1,23.1,23.1,23.1,0,0.0,1.0
