date,open_price,high_price,low_price,close_price,volume,dividend,split
2000-04-06,16.44,16.5,16.44,16.44,18431400,0.0,1.0
2000-04-07,15.5,15.69,15.0,15.19,2353900,0.0,1.0
2000-04-10,15.13,15.75,15.06,15.19,425700,0.0,1.0
2000-04-11,16.0,16.38,15.63,16.13,597900,0.0,1.0
2000-04-12,16.0,16.31,15.44,15.63,235800,0.0,1.0
2000-04-13,15.56,15.56,15.0,15.0,243800,0.0,1.0
2000-04-14,15.25,15.5,14.94,15.0,612700,0.0,1.0
2000-04-17,15.13,15.44,14.69,14.75,262400,0.0,1.0
2000-04-18,15.13,15.13,14.75,15.0,1287300,0.0,1.0
2000-04-19,15.0,15.0,14.81,14.81,118900,0.0,1.0
2000-04-20,14.5,14.88,14.5,14.63,233100,0.0,1.0
2000-04-24,14.56,14.75,14.5,14.5,328600,0.0,1.0
2000-04-25,14.38,14.63,14.25,14.44,242200,0.0,1.0
2000-04-26,14.44,14.5,14.25,14.25,108400,0.0,1.0
2000-04-27,14.38,14.56,14.31,14.5,39000,0.0,1.0
2000-04-28,14.5,15.38,14.5,15.13,223400,0.0,1.0
2000-05-01,15.0,15.31,15.0,15.31,75600,0.0,1.0
2000-05-02,15.19,15.38,15.13,15.25,86700,0.0,1.0
2000-05-03,15.13,15.13,14.5,14.56,166200,0.0,1.0
2000-05-04,14.88,14.88,14.56,14.69,110400,0.0,1.0
2000-05-05,14.81,15.0,14.69,15.0,17000,0.0,1.0
2000-05-08,15.13,15.25,14.56,14.75,31600,0.0,1.0
2000-05-09,15.38,15.38,14.88,15.0,132400,0.0,1.0
2000-05-10,15.75,16.38,15.75,16.13,464400,0.0,1.0
2000-05-11,16.25,16.63,16.25,16.56,365900,0.0,1.0
2000-05-12,18.5,18.75,17.56,18.75,1583200,0.0,1.0
2000-05-15,19.0,19.0,18.13,19.0,915500,0.0,1.0
2000-05-16,19.56,19.75,19.19,19.38,868900,0.0,1.0
2000-05-17,18.88,19.25,18.75,18.88,333400,0.0,1.0
2000-05-18,20.5,21.38,20.0,20.69,2259500,0.0,1.0
2000-05-19,20.69,20.75,19.88,20.75,612000,0.0,1.0
2000-05-22,20.5,20.69,19.5,20.25,249600,0.0,1.0
2000-05-23,19.0,19.0,18.13,18.31,1035500,0.0,1.0
2000-05-24,18.19,18.5,17.63,18.5,576100,0.0,1.0
2000-05-25,17.63,18.13,17.25,17.5,374900,0.0,1.0
2000-05-26,18.25,18.94,18.25,18.88,563800,0.0,1.0
2000-05-30,19.38,19.81,19.0,19.44,855300,0.0,1.0
2000-05-31,19.81,19.94,19.69,19.75,486100,0.0,1.0
2000-06-01,20.19,21.0,20.19,20.5,507600,0.0,1.0
2000-06-02,20.56,20.75,20.13,20.63,436800,0.0,1.0
2000-06-05,20.56,20.56,20.0,20.0,264400,0.0,1.0
2000-06-06,20.13,20.44,19.94,20.19,587400,0.0,1.0
2000-06-07,21.13,21.5,20.75,21.5,522000,0.0,1.0
2000-06-08,20.88,20.88,20.31,20.5,87900,0.0,1.0
2000-06-09,20.63,20.75,20.25,20.38,540600,0.0,1.0
2000-06-12,20.94,21.19,20.75,20.88,77100,0.0,1.0
2000-06-13,21.0,21.25,20.5,21.0,420300,0.0,1.0
2000-06-14,21.19,21.44,21.0,21.0,438300,0.0,1.0
2000-06-15,21.25,21.25,21.0,21.13,641900,0.0,1.0
2000-06-16,22.0,22.38,21.94,22.38,225800,0.0,1.0
2000-06-19,22.5,22.56,22.44,22.56,234100,0.0,1.0
2000-06-20,21.63,21.75,21.0,21.06,206600,0.0,1.0
2000-06-21,20.94,21.31,20.75,21.31,112300,0.0,1.0
2000-06-22,21.06,21.5,21.06,21.5,53000,0.0,1.0
2000-06-23,21.5,21.88,21.38,21.88,24300,0.0,1.0
2000-06-26,21.94,22.0,21.81,21.94,125900,0.0,1.0
2000-06-27,22.25,22.25,21.56,21.63,68300,0.0,1.0
2000-06-28,21.69,21.75,21.25,21.31,111300,0.0,1.0
2000-06-29,20.75,21.0,20.5,20.88,110000,0.0,1.0
2000-06-30,20.75,21.38,20.5,20.94,160600,0.0,1.0
2000-07-03,20.81,20.94,20.69,20.81,7700,0.0,1.0
2000-07-05,20.56,20.56,20.13,20.19,216000,0.0,1.0
2000-07-06,20.31,20.5,20.19,20.38,84000,0.0,1.0
2000-07-07,20.0,20.13,19.75,19.75,129100,0.0,1.0
2000-07-10,19.25,19.38,18.81,19.38,667300,0.0,1.0
2000-07-11,19.25,19.44,19.13,19.38,90700,0.0,1.0
2000-07-12,20.5,20.75,20.5,20.75,192800,0.0,1.0
2000-07-13,21.75,22.25,21.44,22.25,118700,0.0,1.0
2000-07-14,22.88,22.88,22.56,22.69,231000,0.0,1.0
2000-07-17,22.0,22.0,21.63,21.69,88900,0.0,1.0
2000-07-18,21.0,21.5,21.0,21.25,98100,0.0,1.0
2000-07-19,21.44,21.44,21.25,21.44,95200,0.0,1.0
2000-07-20,23.5,24.06,23.38,24.0,185500,0.0,1.0
2000-07-21,24.5,24.69,24.5,24.69,55200,0.0,1.0
2000-07-24,24.5,24.5,24.0,24.25,44100,0.0,1.0
2000-07-25,23.63,23.63,23.25,23.25,138900,0.0,1.0
2000-07-26,23.5,23.56,23.25,23.31,121300,0.0,1.0
2000-07-27,23.06,23.06,22.69,22.88,40800,0.0,1.0
2000-07-28,22.56,22.56,22.38,22.44,21700,0.0,1.0
2000-07-31,22.44,22.63,22.31,22.63,152700,0.0,1.0
2000-08-01,23.13,23.13,22.88,23.13,195600,0.0,1.0
2000-08-02,23.25,23.5,23.19,23.44,77600,0.0,1.0
2000-08-03,23.19,23.25,23.13,23.25,75600,0.0,1.0
2000-08-04,23.5,23.75,23.5,23.75,143900,0.0,1.0
2000-08-07,24.19,24.31,24.13,24.31,70800,0.0,1.0
2000-08-08,23.5,23.63,23.25,23.25,49400,0.0,1.0
2000-08-09,23.19,23.38,23.19,23.25,49600,0.0,1.0
2000-08-10,23.63,23.81,23.38,23.75,145500,0.0,1.0
2000-08-11,23.75,23.75,23.5,23.75,127200,0.0,1.0
2000-08-14,23.13,23.13,22.81,23.0,118500,0.0,1.0
2000-08-15,22.38,22.5,22.25,22.38,60300,0.0,1.0
2000-08-16,24.0,24.0,23.81,23.81,131600,0.0,1.0
2000-08-17,24.69,24.69,24.38,24.63,157700,0.0,1.0
2000-08-18,24.38,24.38,23.5,23.56,29900,0.0,1.0
2000-08-21,24.19,24.19,23.69,23.88,82400,0.0,1.0
2000-08-22,24.0,24.44,23.94,24.0,47700,0.0,1.0
2000-08-23,23.75,23.88,23.5,23.63,40800,0.0,1.0
2000-08-24,24.75,25.0,24.56,25.0,262800,0.0,1.0
2000-08-25,25.19,25.5,25.06,25.5,38200,0.0,1.0
2000-08-28,25.94,26.0,25.81,25.88,46900,0.0,1.0
2000-08-29,26.0,26.38,26.0,26.19,35500,0.0,1.0
2000-08-30,25.75,25.75,24.69,24.88,130400,0.0,1.0
2000-08-31,23.94,23.94,23.38,23.75,153300,0.0,1.0
2000-09-01,24.0,24.13,23.81,23.94,13600,0.0,1.0
2000-09-05,24.0,24.25,24.0,24.13,56700,0.0,1.0
2000-09-06,24.13,24.25,24.13,24.25,25000,0.0,1.0
2000-09-07,24.25,24.25,24.0,24.0,54300,0.0,1.0
2000-09-08,23.94,24.0,23.44,23.5,70200,0.0,1.0
2000-09-11,22.88,22.94,22.75,22.88,69400,0.0,1.0
2000-09-12,22.88,22.88,22.5,22.63,44600,0.0,1.0
2000-09-13,22.63,22.75,22.63,22.63,9400,0.0,1.0
2000-09-14,22.88,23.0,22.75,22.75,131600,0.0,1.0
2000-09-15,22.75,22.81,22.56,22.81,54100,0.7128,1.0
2000-09-18,22.25,22.5,21.75,21.75,122900,0.0,1.0
2000-09-19,22.25,22.25,21.63,22.25,127800,0.0,1.0
2000-09-20,22.0,22.13,21.75,22.13,61300,0.0,1.0
2000-09-21,21.44,21.44,20.5,20.56,57400,0.0,1.0
2000-09-22,20.0,20.5,19.88,20.5,29500,0.0,1.0
2000-09-25,20.13,20.5,19.88,20.44,25900,0.0,1.0
2000-09-26,20.69,20.81,20.06,20.44,73000,0.0,1.0
2000-09-27,20.38,20.44,20.13,20.38,28700,0.0,1.0
2000-09-28,20.38,20.44,20.38,20.44,18900,0.0,1.0
2000-09-29,20.31,20.44,19.75,19.75,59800,0.0,1.0
2000-10-02,20.25,20.25,19.81,19.94,51800,0.0,1.0
2000-10-03,21.0,21.5,20.94,21.5,62600,0.0,1.0
2000-10-04,22.38,23.0,22.25,23.0,48800,0.0,1.0
2000-10-05,21.63,21.94,21.5,21.56,148100,0.0,1.0
2000-10-06,21.56,21.56,21.31,21.44,17500,0.0,1.0
2000-10-09,20.94,20.94,20.56,20.75,21100,0.0,1.0
2000-10-10,20.75,20.94,20.5,20.94,88900,0.0,1.0
2000-10-11,20.81,20.81,20.31,20.81,79300,0.0,1.0
2000-10-12,21.0,22.38,21.0,22.38,255100,0.0,1.0
2000-10-13,21.5,22.0,21.5,21.69,186000,0.0,1.0
2000-10-16,21.63,21.94,21.63,21.75,8700,0.0,1.0
2000-10-17,21.75,21.94,21.56,21.56,53900,0.0,1.0
2000-10-18,21.0,21.19,20.63,21.19,73100,0.0,1.0
2000-10-19,19.5,19.75,19.5,19.69,107400,0.0,1.0
2000-10-20,19.94,20.13,19.75,20.13,21800,0.0,1.0
2000-10-23,20.94,21.0,20.5,20.5,38400,0.0,1.0
2000-10-24,21.38,21.75,21.25,21.56,41400,0.0,1.0
2000-10-25,21.0,21.13,21.0,21.06,48100,0.0,1.0
2000-10-26,21.13,21.13,20.94,21.13,18900,0.0,1.0
2000-10-27,21.13,21.69,21.06,21.69,26600,0.0,1.0
2000-10-30,21.38,21.44,21.25,21.25,21300,0.0,1.0
2000-10-31,21.38,21.38,21.19,21.19,20500,0.0,1.0
2000-11-01,20.75,20.81,20.5,20.75,178000,0.0,1.0
2000-11-02,20.75,20.94,20.75,20.88,44700,0.0,1.0
2000-11-03,20.75,20.75,20.38,20.56,24500,0.0,1.0
2000-11-06,20.56,21.25,20.56,21.0,35100,0.0,1.0
2000-11-07,21.0,21.06,20.88,20.94,60800,0.0,1.0
2000-11-08,21.06,21.13,21.0,21.06,59500,0.0,1.0
2000-11-09,20.88,21.0,20.75,20.88,9300,0.0,1.0
2000-11-10,20.63,20.81,20.56,20.56,10200,0.0,1.0
2000-11-13,20.31,20.31,20.0,20.0,31200,0.0,1.0
2000-11-14,20.13,20.13,19.88,20.0,120700,0.0,1.0
2000-11-15,19.63,19.69,19.63,19.63,29200,0.0,1.0
2000-11-16,19.69,20.19,19.63,20.06,52200,0.0,1.0
2000-11-17,19.94,20.0,19.88,19.94,5200,0.0,1.0
2000-11-20,20.0,20.44,20.0,20.13,22000,0.0,1.0
2000-11-21,20.13,20.19,19.75,19.75,59600,0.0,1.0
2000-11-22,19.25,19.25,18.56,18.94,68600,0.0,1.0
2000-11-24,18.69,18.81,18.56,18.81,11900,0.0,1.0
2000-11-27,18.88,19.06,18.63,19.06,18900,0.0,1.0
2000-11-28,18.5,18.5,18.19,18.44,56400,0.0,1.0
2000-11-29,16.88,16.88,16.63,16.81,963500,0.0,1.0
2000-11-30,17.75,17.75,17.13,17.13,61800,0.0,1.0
2000-12-01,18.0,18.13,17.75,17.88,132700,0.0,1.0
2000-12-04,18.25,18.31,18.06,18.13,32100,0.0,1.0
2000-12-05,18.06,18.44,18.06,18.44,92400,0.0,1.0
2000-12-06,18.44,18.44,18.0,18.06,81700,0.0,1.0
2000-12-07,17.75,17.75,17.5,17.56,116500,0.0,1.0
2000-12-08,18.13,18.19,18.06,18.13,7800,0.0,1.0
2000-12-11,18.19,18.19,17.25,17.69,479000,0.0,1.0
2000-12-12,17.94,18.13,17.94,18.06,24300,0.0,1.0
2000-12-13,18.31,18.5,18.31,18.44,88800,0.0,1.0
