date,open_price,high_price,low_price,close_price,volume,dividend,split
2000-06-29,27.94,28.19,27.88,28.0,92520,0.0,1.0
2000-06-30,28.38,29.25,28.38,28.94,47480,0.0,1.0
2000-07-03,28.94,29.75,28.81,29.75,61000,0.0,2.5
2000-07-05,29.31,29.5,28.5,28.88,260400,0.0,1.0
2000-07-06,28.88,29.06,28.69,28.81,104500,0.0,1.0
2000-07-07,28.56,28.56,28.06,28.06,57100,0.0,1.0
2000-07-10,28.25,28.5,28.0,28.25,66800,0.0,1.0
2000-07-11,28.5,28.63,28.25,28.38,81000,0.0,1.0
2000-07-12,29.06,29.19,28.13,28.25,63900,0.0,1.0
2000-07-13,28.25,28.5,28.13,28.13,43300,0.0,1.0
2000-07-14,28.5,28.88,28.5,28.75,113600,0.0,1.0
2000-07-17,28.75,28.94,28.38,28.56,55600,0.0,1.0
2000-07-18,29.5,30.0,29.44,29.75,206400,0.0,1.0
2000-07-19,30.0,30.0,29.63,29.88,140400,0.0,1.0
2000-07-20,29.88,30.19,29.81,30.13,160900,0.0,1.0
2000-07-21,30.44,30.94,30.44,30.63,122900,0.0,1.0
2000-07-24,30.63,30.88,30.06,30.38,116800,0.0,1.0
2000-07-25,29.63,29.69,29.38,29.56,54100,0.0,1.0
2000-07-26,28.69,29.13,28.31,28.31,43700,0.0,1.0
2000-07-27,28.06,28.06,26.75,26.81,92300,0.0,1.0
2000-07-28,27.38,27.63,26.56,26.69,61800,0.0,1.0
2000-07-31,26.81,27.0,26.5,26.5,63600,0.0,1.0
2000-08-01,26.88,27.56,26.88,27.19,80600,0.0,1.0
2000-08-02,27.06,27.06,26.69,26.75,17100,0.0,1.0
2000-08-03,26.63,27.25,26.63,27.06,14900,0.0,1.0
2000-08-04,27.44,27.63,27.13,27.25,29500,0.0,1.0
2000-08-07,27.81,28.25,27.81,28.13,58900,0.0,1.0
2000-08-08,28.38,28.63,28.13,28.44,43000,0.0,1.0
2000-08-09,28.69,28.69,28.31,28.38,29300,0.0,1.0
2000-08-10,28.19,28.19,27.63,27.75,38600,0.0,1.0
2000-08-11,27.75,27.75,27.38,27.38,12500,0.0,1.0
2000-08-14,28.0,28.38,27.94,28.25,62400,0.0,1.0
2000-08-15,28.69,28.88,28.5,28.5,34800,0.0,1.0
2000-08-16,28.81,29.0,28.75,28.75,53000,0.0,1.0
2000-08-17,29.31,29.75,29.25,29.38,37800,0.0,1.0
2000-08-18,29.25,29.44,29.25,29.25,14200,0.0,1.0
2000-08-21,29.13,29.13,28.06,28.19,13600,0.0,1.0
2000-08-22,28.44,28.5,28.06,28.19,28300,0.0,1.0
2000-08-23,28.69,28.94,28.5,28.75,48100,0.0,1.0
2000-08-24,28.25,28.25,27.56,27.63,26900,0.0,1.0
2000-08-25,27.5,27.5,27.31,27.38,4500,0.0,1.0
2000-08-28,27.25,27.25,27.06,27.25,14700,0.0,1.0
2000-08-29,27.13,27.19,27.0,27.0,3400,0.0,1.0
2000-08-30,26.88,27.06,26.75,26.75,5400,0.0,1.0
2000-08-31,26.63,26.63,25.88,25.88,16800,0.0,1.0
2000-09-01,26.75,27.0,26.44,26.56,28000,0.0,1.0
2000-09-05,26.88,27.06,26.75,26.75,9200,0.0,1.0
2000-09-06,27.06,27.31,26.75,26.75,23700,0.0,1.0
2000-09-07,27.0,27.0,26.88,26.88,3300,0.0,1.0
2000-09-08,26.75,26.88,26.63,26.75,3000,0.0,1.0
2000-09-11,26.56,26.69,26.25,26.25,6900,0.0,1.0
2000-09-12,26.5,26.63,26.13,26.13,22200,0.0,1.0
2000-09-13,25.88,25.88,25.63,25.63,8600,0.0,1.0
2000-09-14,25.69,26.13,25.5,25.5,15300,0.0,1.0
2000-09-15,25.75,26.25,25.63,25.63,13400,0.0,1.0
2000-09-18,25.56,25.56,24.5,24.69,27200,0.0,1.0
2000-09-19,25.38,25.94,25.38,25.81,22800,0.0,1.0
2000-09-20,25.88,25.88,25.44,25.5,41200,0.2322,1.0
2000-09-21,26.25,26.25,25.75,25.81,19500,0.0,1.0
2000-09-22,26.19,26.38,25.88,26.38,26200,0.0,1.0
2000-09-25,26.38,26.5,26.19,26.25,6800,0.0,1.0
2000-09-26,26.25,26.63,26.13,26.13,6000,0.0,1.0
2000-09-27,26.75,27.0,26.63,26.94,30800,0.0,1.0
2000-09-28,26.75,27.0,26.56,26.88,7100,0.0,1.0
2000-09-29,26.75,27.38,26.75,27.0,17600,0.0,1.0
2000-10-02,26.94,26.94,26.5,26.81,15100,0.0,1.0
2000-10-03,26.81,27.25,26.81,27.13,22700,0.0,1.0
2000-10-04,27.0,27.13,26.69,26.88,15900,0.0,1.0
2000-10-05,27.0,27.19,26.88,27.0,5500,0.0,1.0
2000-10-06,26.88,27.0,26.31,26.31,24200,0.0,1.0
2000-10-09,26.75,27.13,26.75,27.06,14200,0.0,1.0
2000-10-10,27.38,27.44,26.75,27.0,17000,0.0,1.0
2000-10-11,26.88,27.0,26.5,26.88,14200,0.0,1.0
2000-10-12,26.75,26.75,25.94,26.0,29300,0.0,1.0
2000-10-13,26.06,26.75,26.06,26.5,27000,0.0,1.0
2000-10-16,26.0,26.13,25.44,25.75,16200,0.0,1.0
2000-10-17,25.56,25.56,25.38,25.44,9200,0.0,1.0
2000-10-18,25.31,25.75,25.13,25.56,14600,0.0,1.0
2000-10-19,25.94,26.06,25.75,25.88,32400,0.0,1.0
2000-10-20,25.75,25.94,25.44,25.94,23800,0.0,1.0
2000-10-23,25.81,26.25,25.69,26.0,28900,0.0,1.0
2000-10-24,26.25,26.75,26.13,26.5,20300,0.0,1.0
2000-10-25,26.38,26.38,26.0,26.0,8700,0.0,1.0
2000-10-26,26.25,26.25,25.88,26.06,8200,0.0,1.0
2000-10-27,26.06,26.63,26.06,26.25,11500,0.0,1.0
2000-10-30,26.38,26.63,26.19,26.63,20900,0.0,1.0
2000-10-31,26.88,27.13,26.63,26.94,12700,0.0,1.0
2000-11-01,26.81,27.0,26.69,27.0,4500,0.0,1.0
2000-11-02,27.13,27.38,27.0,27.0,10500,0.0,1.0
2000-11-03,26.88,26.88,26.56,26.81,6000,0.0,1.0
2000-11-06,26.69,27.0,26.63,26.63,8700,0.0,1.0
2000-11-07,27.13,27.38,26.06,26.94,45400,0.0,1.0
2000-11-08,26.88,26.88,26.38,26.38,10900,0.0,1.0
2000-11-09,27.63,28.25,27.63,28.06,76800,0.0,1.0
2000-11-10,28.63,29.13,28.63,28.94,52700,0.0,1.0
2000-11-13,28.75,29.31,28.5,29.0,23000,0.0,1.0
2000-11-14,28.88,28.88,28.44,28.63,8900,0.0,1.0
2000-11-15,29.13,29.13,28.63,29.0,9200,0.0,1.0
2000-11-16,29.31,29.5,28.88,29.38,16600,0.0,1.0
2000-11-17,30.56,31.0,30.25,30.25,71700,0.0,1.0
2000-11-20,29.94,29.94,29.19,29.19,12200,0.0,1.0
2000-11-21,29.5,29.63,29.25,29.31,47900,0.0,1.0
2000-11-22,29.25,29.5,29.25,29.31,55100,0.0,1.0
2000-11-24,29.5,29.81,29.38,29.5,14100,0.0,1.0
2000-11-27,29.69,30.31,29.69,30.31,103300,0.0,1.0
2000-11-28,30.56,30.63,30.31,30.31,12500,0.0,1.0
2000-11-29,30.44,30.44,30.0,30.13,4800,0.0,1.0
2000-11-30,29.94,30.44,29.88,30.38,24800,0.0,1.0
2000-12-01,30.69,30.94,30.69,30.94,21000,0.0,1.0
2000-12-04,31.13,31.25,30.75,30.81,7600,0.0,1.0
2000-12-05,31.5,32.13,31.5,32.0,14800,0.0,1.0
2000-12-06,31.19,31.19,30.44,30.44,8200,0.0,1.0
2000-12-07,30.88,31.25,30.88,31.13,5600,0.0,1.0
2000-12-08,31.0,31.0,30.25,30.75,8300,0.0,1.0
2000-12-11,31.13,31.25,30.63,31.25,10800,0.0,1.0
2000-12-12,31.0,31.0,30.5,30.75,4500,0.0,1.0
2000-12-13,31.06,31.25,31.0,31.0,6400,0.0,1.0
2000-12-14,31.13,31.5,31.06,31.25,9800,0.0,1.0
2000-12-15,31.13,31.13,30.81,30.81,7300,0.0,1.0
2000-12-18,31.38,31.56,31.0,31.13,10400,0.0,1.0
2000-12-19,31.38,31.38,30.88,30.94,7500,0.0,1.0
