date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,39.04,39.04,38.5,39.04,9800,0.0,1.0
2007-07-16,39.3,39.39,39.1,39.3,154735,0.0,1.0
2007-07-17,39.54,39.8,36.67,39.54,58718,0.0,1.0
2007-07-18,39.72,39.72,38.95,39.72,3566,0.0,1.0
2007-07-19,39.76,39.95,39.7,39.76,11202,0.0,1.0
2007-07-20,39.27,39.51,39.27,39.27,17233,0.0,1.0
2007-07-23,38.65,39.0,38.65,38.65,1900,0.0,1.0
2007-07-24,39.03,39.27,39.0,39.03,10775,0.0,1.0
2007-07-25,38.0,38.0,37.79,38.0,1600,0.0,1.0
2007-07-26,37.38,37.46,37.2,37.38,5500,0.0,1.0
2007-07-27,36.81,37.25,36.81,36.81,6682,0.0,1.0
2007-07-30,36.17,36.62,35.75,36.17,29580,0.0,1.0
2007-07-31,36.46,36.48,36.34,36.46,4700,0.0,1.0
2007-08-01,35.6,36.2,35.59,35.6,12000,0.0,1.0
2007-08-02,36.49,36.5,35.75,36.49,4396,0.0,1.0
2007-08-03,36.39,36.39,36.0,36.39,7028,0.0,1.0
2007-08-06,36.39,36.39,36.39,36.39,0,0.0,1.0
2007-08-07,36.82,37.43,36.25,36.82,7489,0.0,1.0
2007-08-08,37.16,37.54,37.16,37.16,5400,0.0,1.0
2007-08-09,37.08,37.08,36.8,37.08,7000,0.0,1.0
2007-08-10,36.34,36.9,36.32,36.34,9549,0.0,1.0
2007-08-13,37.61,37.61,37.61,37.61,500,0.0,1.0
2007-08-14,36.53,36.62,36.27,36.53,4000,0.0,1.0
2007-08-15,35.93,36.18,35.92,35.93,2600,0.0,1.0
2007-08-16,35.22,35.6,35.12,35.22,8882,0.0,1.0
2007-08-17,35.68,36.75,35.59,35.68,12532,0.0,1.0
2007-08-20,36.7,36.7,36.23,36.7,2300,0.0,1.0
2007-08-21,36.73,36.77,36.71,36.73,8300,0.0,1.0
2007-08-22,37.34,37.6,37.32,37.34,30650,0.0,1.0
2007-08-23,37.73,37.79,37.71,37.73,2350,0.0,1.0
2007-08-24,37.73,37.73,37.73,37.73,0,0.0,1.0
2007-08-27,37.93,37.93,37.91,37.93,3400,0.0,1.0
2007-08-28,37.61,37.61,37.43,37.61,1600,0.0,1.0
2007-08-29,38.11,38.11,37.57,38.11,2396,0.0,1.0
2007-08-30,37.86,38.15,37.86,37.86,8301,0.0,1.0
2007-08-31,38.24,38.4,38.11,38.24,5000,0.0,1.0
2007-09-04,39.12,39.12,38.91,39.12,3170,0.0,1.0
2007-09-05,38.6,38.66,38.59,38.6,5600,0.2412,1.0
2007-09-06,38.31,38.42,38.26,38.31,4800,0.0,1.0
2007-09-07,38.2,38.2,38.05,38.2,3200,0.0,1.0
2007-09-10,37.77,38.2,37.7,37.77,1920,0.0,1.0
2007-09-11,38.26,38.27,38.26,38.26,3700,0.0,1.0
2007-09-12,38.75,38.75,38.38,38.75,1800,0.0,1.0
2007-09-13,38.74,38.9,38.55,38.74,11570,0.0,1.0
2007-09-14,39.19,39.19,38.78,39.19,2000,0.0,1.0
2007-09-17,38.91,38.95,38.91,38.91,1404,0.0,1.0
2007-09-18,39.28,39.38,39.28,39.28,14761,0.0,1.0
2007-09-19,39.54,39.83,39.54,39.54,7400,0.0,1.0
2007-09-20,39.82,39.94,39.73,39.82,9003,0.0,1.0
2007-09-21,39.97,40.05,39.8,39.97,53900,0.0,1.0
2007-09-24,39.55,39.6,39.4,39.55,7000,0.0,1.0
2007-09-25,39.45,39.45,39.35,39.45,19800,0.0,1.0
2007-09-26,40.01,40.13,39.75,40.01,13257,0.0,1.0
2007-09-27,40.15,40.38,40.14,40.15,19830,0.0,1.0
2007-09-28,40.09,40.39,39.9,40.09,9864,0.0,1.0
2007-10-01,41.05,41.05,40.18,41.05,9592,0.0,1.0
2007-10-02,40.85,40.9,40.49,40.85,11929,0.0,1.0
2007-10-03,40.43,40.7,40.43,40.43,4088,0.0,1.0
2007-10-04,40.26,40.32,40.15,40.26,4519,0.0,1.0
2007-10-05,41.39,41.45,41.37,41.39,2700,0.0,1.0
2007-10-08,41.39,41.39,41.39,41.39,0,0.0,1.0
2007-10-09,41.41,41.58,41.25,41.41,10885,0.0,1.0
2007-10-10,41.44,41.48,41.17,41.44,6533,0.0,1.0
2007-10-11,41.64,41.88,41.18,41.64,6594,0.0,1.0
2007-10-12,41.61,41.85,41.56,41.61,6600,0.0,1.0
2007-10-15,40.91,41.31,40.91,40.91,6597,0.0,1.0
2007-10-16,40.62,40.84,40.62,40.62,6442,0.0,1.0
2007-10-17,40.95,41.07,40.71,40.95,7215,0.0,1.0
2007-10-18,40.99,41.0,40.82,40.99,11664,0.0,1.0
2007-10-19,40.47,41.23,40.47,40.47,6992,0.0,1.0
2007-10-22,40.0,40.09,39.81,40.0,2211,0.0,1.0
2007-10-23,40.48,40.6,40.35,40.48,4030,0.0,1.0
2007-10-24,39.6,40.3,39.08,39.6,8190,0.0,1.0
2007-10-25,39.77,40.25,39.77,39.77,2700,0.0,1.0
2007-10-26,40.1,40.43,40.0,40.1,5538,0.0,1.0
2007-10-29,40.86,40.86,40.86,40.86,32300,0.0,1.0
2007-10-30,41.8,41.94,41.39,41.8,4857,0.0,1.0
2007-10-31,42.86,42.86,41.76,42.86,65005,0.0,1.0
2007-11-01,42.33,42.45,42.11,42.33,14888,0.0,1.0
2007-11-02,42.78,42.95,42.71,42.78,3413,0.0,1.0
2007-11-05,42.36,42.79,42.3,42.36,4400,0.0,1.0
2007-11-06,42.44,42.75,42.25,42.44,3269,0.0,1.0
2007-11-07,42.03,42.16,41.13,42.03,4705,0.0,1.0
2007-11-08,40.28,41.69,40.28,40.28,5400,0.0,1.0
2007-11-09,40.53,40.59,40.39,40.53,2492,0.0,1.0
2007-11-12,39.13,39.65,39.13,39.13,9748,0.0,1.0
2007-11-13,39.42,39.42,38.76,39.42,3839,0.0,1.0
2007-11-14,40.06,40.11,39.77,40.06,3200,0.0,1.0
2007-11-15,38.87,39.12,38.87,38.87,3000,0.0,1.0
2007-11-16,39.16,39.31,38.73,39.16,12122,0.0,1.0
