date,open_price,high_price,low_price,close_price,volume,dividend,split
2019-04-01,0.0,0.0,0.0,0.0,389142,0.0,1.0
2019-04-24,0.0,0.0,0.0,0.0,109053,0.0,1.0
2019-04-25,0.0,0.0,0.0,0.0,11454,0.0,1.0
2019-04-29,0.0,0.0,0.0,0.0,31584,0.0,1.0
2019-04-30,0.0,0.0,0.0,0.0,2990,0.0,1.0
2019-05-02,0.0,0.0,0.0,0.0,69777,0.0,1.0
2019-05-03,0.0,0.0,0.0,0.0,672989,0.0,1.0
2019-05-06,0.0,0.0,0.0,0.0,27002,0.0,1.0
2019-05-16,0.0,0.0,0.0,0.0,3036,0.0,1.0
2019-05-21,0.0,0.0,0.0,0.0,32476,0.0,1.0
2019-05-23,0.0,0.0,0.0,0.0,6204,0.0,1.0
2019-05-30,0.0,0.0,0.0,0.0,5106,0.0,1.0
2019-06-05,0.0,0.0,0.0,0.0,220,0.0,1.0
2019-06-10,0.0,0.0,0.0,0.0,138,0.0,1.0
2019-06-14,0.0,0.0,0.0,0.0,17750,0.0,1.0
2019-06-17,0.0,0.0,0.0,0.0,304200,0.0,1.0
2019-06-18,0.0,0.0,0.0,0.0,529710,0.0,1.0
2019-06-27,0.0,0.01,0.0,0.0,191856,0.0,1.0
2019-06-28,0.01,0.01,0.0,0.0,119233,0.0,1.0
2019-07-01,0.0,0.47,0.0,0.06,4273859,0.0,1.0
2019-07-02,0.06,0.35,0.06,0.08,7983635,0.0,1.0
2019-07-03,0.1,0.1,0.03,0.04,9636955,0.0,1.0
2019-07-05,0.03,0.04,0.02,0.02,7349461,0.0,1.0
2019-07-08,0.02,0.06,0.02,0.03,9210568,0.0,1.0
2019-07-09,0.03,0.04,0.03,0.03,5225516,0.0,1.0
2019-07-10,0.03,0.04,0.02,0.03,5846366,0.0,1.0
2019-07-11,0.03,0.03,0.01,0.02,20571435,0.0,1.0
2019-07-12,0.02,0.02,0.02,0.02,3935598,0.0,1.0
2019-07-15,0.02,0.02,0.01,0.02,6579866,0.0,1.0
2019-07-16,0.01,0.02,0.01,0.01,3003821,0.0,1.0
2019-07-17,0.02,0.02,0.01,0.01,5573775,0.0,1.0
2019-07-18,0.01,0.01,0.01,0.01,3505604,0.0,1.0
2019-07-19,0.02,0.02,0.01,0.01,1902172,0.0,1.0
2019-07-22,0.01,0.02,0.01,0.01,4226789,0.0,1.0
2019-07-23,0.01,0.01,0.01,0.01,2388275,0.0,1.0
2019-07-24,0.01,0.01,0.01,0.01,2276944,0.0,1.0
2019-07-25,0.01,0.01,0.01,0.01,3368819,0.0,1.0
2019-07-26,0.01,0.01,0.01,0.01,2855238,0.0,1.0
2019-07-29,0.01,0.02,0.01,0.01,2867289,0.0,1.0
2019-07-30,0.01,0.01,0.01,0.01,1667557,0.0,1.0
2019-07-31,0.01,0.01,0.01,0.01,3794865,0.0,1.0
2019-08-01,0.01,0.01,0.01,0.01,3410966,0.0,1.0
2019-08-02,0.01,0.01,0.01,0.01,4461883,0.0,1.0
2019-08-05,0.01,0.01,0.01,0.01,2197755,0.0,1.0
2019-08-06,0.01,0.01,0.01,0.01,1484688,0.0,1.0
2019-08-07,0.01,0.01,0.01,0.01,1929408,0.0,1.0
2019-08-08,0.01,0.01,0.01,0.01,491600,0.0,1.0
2019-08-09,0.01,0.01,0.01,0.01,910551,0.0,1.0
2019-08-12,0.01,0.01,0.01,0.01,1239731,0.0,1.0
2019-08-13,0.01,0.01,0.01,0.01,104122,0.0,1.0
2019-08-14,0.01,0.01,0.01,0.01,600333,0.0,1.0
2019-08-15,0.01,0.01,0.01,0.01,563881,0.0,1.0
2019-08-16,0.01,0.01,0.01,0.01,387121,0.0,1.0
2019-08-19,0.01,0.01,0.01,0.01,1219207,0.0,1.0
