date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-09-28,12.26,12.26,12.26,12.26,61,0.0,1.0
2017-10-02,12.26,12.26,12.26,12.26,1,0.0,1.0
2017-10-09,12.26,12.26,12.26,12.26,27,0.0,1.0
2017-10-20,12.48,12.48,12.48,12.48,375,0.0,1.0
2017-11-15,12.48,12.48,12.48,12.48,2,0.0,1.0
2017-12-19,12.48,12.48,12.48,12.48,2,0.0,1.0
2018-01-05,13.92,14.02,13.92,14.02,540,0.0,1.0
2018-01-08,13.95,13.97,13.95,13.95,538,0.0,1.0
2018-01-10,14.04,14.04,14.04,14.04,100,0.0,1.0
2018-03-16,12.35,12.35,12.35,12.35,100,0.0,1.0
2018-03-19,12.25,12.25,12.25,12.25,102,0.0,1.0
2018-03-29,12.0,12.0,11.9,11.9,300,0.0,1.0
2018-04-06,12.11,12.11,12.11,12.11,199,0.0,1.0
2018-04-30,12.01,12.01,12.01,12.01,1,0.0,1.0
2018-05-23,11.94,12.03,11.94,12.03,4528,0.0,1.0
2018-05-29,11.74,11.74,11.6,11.6,1822,0.0,1.0
2018-06-05,11.07,11.07,11.07,11.07,1200,0.0,1.0
2018-06-12,11.07,11.07,11.07,11.07,22,0.0,1.0
2018-06-14,11.07,11.07,11.07,11.07,2,0.0,1.0
2018-06-27,10.06,10.06,10.06,10.06,1192,0.0,1.0
2018-07-11,10.15,10.15,10.15,10.15,227,0.0,1.0
2018-07-12,10.15,10.15,10.15,10.15,22,0.0,1.0
2018-07-18,10.15,10.15,10.15,10.15,220,0.0,1.0
2018-07-19,10.29,10.29,10.29,10.29,220,0.0,1.0
2018-07-23,10.66,10.66,10.66,10.66,382,0.0,1.0
2018-07-25,10.66,10.66,10.66,10.66,382,0.0,1.0
2018-07-26,10.62,10.62,10.62,10.62,382,0.0,1.0
2018-07-31,10.59,10.59,10.59,10.59,382,0.0,1.0
2018-08-01,10.56,10.56,10.56,10.56,689,0.0,1.0
2018-08-02,10.75,10.75,10.75,10.75,382,0.0,1.0
2018-08-08,10.75,10.75,10.75,10.75,10,0.0,1.0
2018-08-15,10.75,10.75,10.75,10.75,9,0.0,1.0
2018-08-20,10.32,10.32,10.32,10.32,372,0.0,1.0
2018-08-23,10.64,10.64,10.64,10.64,372,0.0,1.0
2018-08-24,10.59,10.59,10.59,10.59,372,0.0,1.0
2018-09-20,10.13,10.13,10.13,10.13,943,0.0,1.0
2018-10-01,10.07,10.07,10.07,10.07,467,0.0,1.0
2018-10-08,10.07,10.07,10.07,10.07,437,0.0,1.0
2018-10-09,9.76,9.76,9.76,9.76,437,0.0,1.0
2018-10-16,9.76,9.76,9.76,9.76,37,0.0,1.0
2018-12-24,9.66,9.66,9.66,9.66,500,0.0,1.0
2018-12-31,10.3,10.3,10.3,10.3,610,0.0,1.0
2019-02-15,10.65,10.65,10.65,10.65,1353,0.0,1.0
2019-02-25,10.65,10.65,10.65,10.65,1,0.0,1.0
2019-04-12,10.56,10.56,10.56,10.56,2,0.0,1.0
2019-05-08,10.56,10.56,10.56,10.56,94,0.0,1.0
2019-05-22,10.56,10.56,10.56,10.56,2,0.0,1.0
2019-06-12,10.56,10.56,10.56,10.56,94,0.0,1.0
2019-06-13,12.43,12.43,12.43,12.43,250,0.0,1.0
2019-06-19,12.56,12.56,12.56,12.56,250,0.0,1.0
2019-09-13,11.42,11.42,11.42,11.42,338,0.0,1.0
2019-09-16,10.9,10.9,10.9,10.9,300,0.0,1.0
2019-09-19,10.87,10.87,10.87,10.87,538,0.0,1.0
2019-11-22,12.06,12.06,12.06,12.06,2064,0.0,1.0
2019-11-29,13.21,13.21,13.21,13.21,303,0.0,1.0
2019-12-06,13.21,13.21,13.21,13.21,303,0.0,1.0
2019-12-09,12.35,12.35,12.35,12.35,303,0.0,1.0
2019-12-16,12.35,12.35,12.35,12.35,100,0.0,1.0
2019-12-17,12.77,12.77,12.77,12.77,100,0.0,1.0
2019-12-24,12.77,12.77,12.77,12.77,100,0.0,1.0
2019-12-31,12.96,12.96,12.85,12.96,300,0.0,1.0
2020-01-08,12.93,12.93,12.93,12.93,412,0.0,1.0
2020-03-10,11.36,11.36,11.36,11.36,157,0.0,1.0
2020-03-17,11.36,11.36,11.36,11.36,151,0.0,1.0
2020-03-26,9.67,9.67,9.67,9.67,689,0.0,1.0
2020-03-27,8.21,8.21,8.21,8.21,700,0.0,1.0
2020-03-31,9.88,9.88,9.88,9.88,226,0.0,1.0
2020-04-07,9.88,9.88,9.88,9.88,215,0.0,1.0
2020-04-27,9.5,10.19,9.5,10.16,1434,0.0,1.0
2020-04-28,10.16,10.16,10.16,10.16,50,0.0,1.0
2020-05-14,10.49,10.49,10.49,10.49,181,0.0,1.0
2020-05-21,10.49,10.49,10.49,10.49,181,0.0,1.0
2020-06-11,12.72,12.72,12.72,12.72,229,0.0,1.0
2020-06-18,12.72,12.72,12.72,12.72,229,0.0,1.0
2020-07-16,12.31,12.31,12.31,12.31,158,0.0,1.0
2020-07-22,12.31,12.31,12.31,12.31,0,0.0,1.0
2020-07-23,12.31,12.31,12.31,12.31,158,0.0,1.0
2020-07-24,11.18,11.18,11.18,11.18,372,0.0,1.0
2020-07-27,11.18,11.18,11.18,11.18,0,0.0,1.0
2020-07-28,11.18,11.18,11.18,11.18,0,0.0,1.0
2020-07-29,11.18,11.18,11.18,11.18,0,0.0,1.0
