date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-30,23.7,23.7,23.7,23.7,700,0.0,1.0
2007-07-31,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-01,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-02,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-03,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-06,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-07,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-08,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-09,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-10,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-13,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-14,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-15,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-16,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-17,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-20,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-21,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-22,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-23,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-24,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-27,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-28,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-29,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-30,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-08-31,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-04,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-05,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-06,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-07,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-10,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-11,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-12,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-13,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-14,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-17,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-18,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-19,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-20,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-21,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-24,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-25,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-26,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-27,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-09-28,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-01,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-02,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-03,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-04,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-05,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-08,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-09,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-10,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-11,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-12,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-15,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-16,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-17,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-18,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-19,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-22,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-23,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-24,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-25,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-26,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-29,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-30,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-10-31,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-01,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-02,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-05,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-06,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-07,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-08,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-09,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-12,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-14,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-15,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-16,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-19,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-21,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-23,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-26,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-27,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-28,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-29,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-11-30,23.7,23.7,23.7,23.7,0,0.0,1.0
2007-12-03,23.7,23.7,23.7,23.7,0,0.0,1.0
