date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,15.45,15.7,15.45,15.45,46114,0.0,1.0
2007-07-16,15.35,15.52,15.35,15.35,51303,0.0,1.0
2007-07-17,15.05,15.15,15.05,15.05,40094,0.0,1.0
2007-07-18,14.75,14.75,14.75,14.75,88118,0.0,1.0
2007-07-19,14.6,14.9,14.6,14.6,70305,0.0,1.0
2007-07-20,13.85,14.0,13.85,13.85,64038,0.0,1.0
2007-07-23,14.13,14.15,14.13,14.13,67143,0.0,1.0
2007-07-24,13.7,14.0,13.7,13.7,70848,0.0,1.0
2007-07-25,13.6,13.9,13.6,13.6,110342,0.0,1.0
2007-07-26,13.85,14.05,13.85,13.85,58199,0.0,1.0
2007-07-27,13.35,13.75,13.35,13.35,31620,0.0,1.0
2007-07-30,13.38,14.0,13.38,13.38,117344,0.0,1.0
2007-07-31,13.9,14.25,13.9,13.9,163908,0.0,1.0
2007-08-01,13.75,13.95,13.75,13.75,53415,0.0,1.0
2007-08-02,14.09,14.09,14.09,14.09,47671,0.0,1.0
2007-08-03,14.3,14.65,14.3,14.3,103630,0.0,1.0
2007-08-06,14.45,14.45,14.45,14.45,51321,0.0,1.0
2007-08-07,14.05,14.2,14.05,14.05,96539,0.0,1.0
2007-08-08,14.7,14.95,14.7,14.7,58610,0.0,1.0
2007-08-09,14.65,15.0,14.65,14.65,411990,0.0,1.0
2007-08-10,13.6,13.95,13.6,13.6,43193,0.0,1.0
2007-08-13,14.4,14.4,14.4,14.4,30253,0.0,1.0
2007-08-14,14.45,14.6,14.45,14.45,25515,0.0,1.0
2007-08-15,14.5,14.55,14.5,14.5,65778,0.0,1.0
2007-08-16,13.15,13.3,13.15,13.15,56217,0.0,1.0
2007-08-17,13.0,13.2,13.0,13.0,74932,0.0,1.0
2007-08-20,12.95,13.1,12.95,12.95,53386,0.0,1.0
2007-08-21,12.75,13.2,12.75,12.75,52180,0.0,1.0
2007-08-22,13.1,13.1,13.1,13.1,72585,0.0,1.0
2007-08-23,12.75,13.1,12.75,12.75,72060,0.0,1.0
2007-08-24,12.8,12.85,12.8,12.8,56876,0.0,1.0
