date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-17,52.35,52.35,52.35,52.35,380,0.0,1.0
2007-07-18,52.0,52.0,52.0,52.0,14000,0.0,1.0
2007-07-19,52.0,52.0,52.0,52.0,0,0.0,1.0
2007-07-20,55.1,55.1,55.1,55.1,400,0.0,1.0
2007-07-23,56.85,56.85,56.85,56.85,200,0.0,1.0
2007-07-24,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-07-25,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-07-26,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-07-27,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-07-30,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-07-31,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-08-01,56.85,56.85,56.85,56.85,0,0.0,1.0
2007-08-02,54.45,54.45,54.45,54.45,2280,0.0,1.0
2007-08-03,54.45,54.45,54.45,54.45,0,0.0,1.0
2007-08-06,54.15,54.3,54.15,54.15,520,0.0,1.0
2007-08-07,54.15,54.3,54.15,54.15,0,0.0,1.0
2007-08-08,54.15,54.3,54.15,54.15,0,0.0,1.0
2007-08-09,54.15,54.3,54.15,54.15,0,0.0,1.0
2007-08-10,54.65,54.65,54.65,54.65,1236,0.0,1.0
2007-08-13,54.65,54.65,54.65,54.65,0,0.0,1.0
2007-08-14,53.15,53.4,53.15,53.15,380,0.0,1.0
2007-08-15,53.15,53.4,53.15,53.15,0,0.0,1.0
2007-08-16,53.15,53.4,53.15,53.15,0,0.0,1.0
2007-08-17,52.05,52.05,52.05,52.05,176,0.0,1.0
2007-08-20,52.05,52.05,52.05,52.05,0,0.0,1.0
2007-08-21,52.05,52.05,52.05,52.05,0,0.0,1.0
2007-08-22,52.05,52.05,52.05,52.05,0,0.0,1.0
2007-08-23,52.05,52.05,52.05,52.05,0,0.0,1.0
2007-08-24,52.05,52.05,52.05,52.05,0,0.0,1.0
2007-08-27,52.05,52.05,52.05,52.05,0,0.0,1.0
2007-08-28,51.65,51.65,51.65,51.65,300,0.0,1.0
2007-08-29,51.65,51.65,51.65,51.65,0,0.0,1.0
2007-08-30,52.95,52.95,52.95,52.95,100,0.0,1.0
2007-08-31,53.7,53.7,53.7,53.7,294,0.0,1.0
2007-09-04,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-09-05,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-09-06,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-09-07,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-09-10,53.7,53.7,53.7,53.7,0,0.0,1.0
2007-09-11,55.8,55.8,55.8,55.8,207,0.0,1.0
2007-09-12,56.75,56.75,56.75,56.75,1829,0.0,1.0
2007-09-13,57.5,57.5,57.5,57.5,400,0.0,1.0
2007-09-14,57.75,57.75,57.75,57.75,500,0.0,1.0
2007-09-17,57.75,57.75,57.75,57.75,0,0.0,1.0
2007-09-18,57.9,57.9,57.9,57.9,200,0.0,1.0
2007-09-19,58.0,58.0,58.0,58.0,120,0.0,1.0
2007-09-20,58.0,58.0,58.0,58.0,0,0.0,1.0
2007-09-21,58.0,58.0,58.0,58.0,0,0.0,1.0
2007-09-24,58.2,58.2,58.2,58.2,1200,0.0,1.0
2007-09-25,57.7,57.88,57.7,57.7,1080,0.0,1.0
2007-09-26,57.75,57.75,57.75,57.75,500,0.0,1.0
2007-09-27,57.75,57.75,57.75,57.75,0,0.0,1.0
2007-09-28,57.75,57.75,57.75,57.75,0,0.0,1.0
2007-10-01,58.55,59.3,58.55,58.55,202,0.0,1.0
2007-10-02,58.75,58.75,58.75,58.75,100,0.0,1.0
2007-10-03,58.75,58.75,58.75,58.75,0,0.0,1.0
2007-10-04,58.75,58.75,58.75,58.75,0,0.0,1.0
2007-10-05,58.75,58.75,58.75,58.75,0,0.0,1.0
2007-10-08,58.75,58.75,58.75,58.75,0,0.0,1.0
2007-10-09,56.06,56.06,56.06,56.06,200,0.0,1.0
2007-10-10,56.06,56.06,56.06,56.06,0,0.0,1.0
2007-10-11,56.06,56.06,56.06,56.06,0,0.0,1.0
2007-10-12,56.06,56.06,56.06,56.06,0,0.0,1.0
2007-10-15,56.06,56.06,56.06,56.06,0,0.0,1.0
2007-10-16,55.1,55.1,55.1,55.1,100,0.0,1.0
