date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-26,29.65,29.65,29.65,29.65,200,0.0,1.0
2007-07-27,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-07-30,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-07-31,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-01,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-02,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-03,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-06,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-07,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-08,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-09,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-10,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-13,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-14,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-15,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-16,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-17,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-20,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-21,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-22,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-23,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-24,29.65,29.65,29.65,29.65,0,0.0,1.0
2007-08-27,29.0,29.0,29.0,29.0,800,0.0,1.0
2007-08-28,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-08-29,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-08-30,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-08-31,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-04,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-05,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-06,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-07,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-10,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-11,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-12,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-13,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-14,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-17,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-18,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-19,29.0,29.0,29.0,29.0,0,0.0,1.0
2007-09-20,28.6,28.65,28.6,28.6,1065,0.0,1.0
2007-09-21,28.75,28.8,28.75,28.75,3900,0.0,1.0
2007-09-24,28.75,28.8,28.75,28.75,0,0.0,1.0
2007-09-25,28.75,28.8,28.75,28.75,0,0.0,1.0
2007-09-26,28.75,28.8,28.75,28.75,0,0.0,1.0
2007-09-27,28.75,28.8,28.75,28.75,0,0.0,1.0
2007-09-28,28.75,28.8,28.75,28.75,0,0.0,1.0
2007-10-01,30.9,30.9,30.9,30.9,1350,0.0,1.0
2007-10-02,30.9,30.9,30.9,30.9,0,0.0,1.0
2007-10-03,30.9,30.9,30.9,30.9,0,0.0,1.0
2007-10-04,30.7,31.0,30.7,30.7,835,0.0,1.0
2007-10-05,31.5,31.5,31.5,31.5,400,0.0,1.0
2007-10-08,30.9,30.9,30.9,30.9,1500,0.0,1.0
2007-10-09,30.85,30.85,30.85,30.85,100,0.0,1.0
2007-10-10,30.85,30.85,30.85,30.85,0,0.0,1.0
2007-10-11,30.85,30.85,30.85,30.85,0,0.0,1.0
2007-10-12,30.85,30.85,30.85,30.85,0,0.0,1.0
2007-10-15,31.0,31.0,31.0,31.0,100,0.0,1.0
2007-10-16,31.0,31.0,31.0,31.0,0,0.0,1.0
2007-10-17,30.95,30.95,30.95,30.95,1000,0.0,1.0
2007-10-18,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-19,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-22,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-23,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-24,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-25,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-26,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-29,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-30,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-10-31,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-01,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-02,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-05,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-06,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-07,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-08,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-09,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-12,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-14,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-15,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-16,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-19,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-21,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-23,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-26,30.95,30.95,30.95,30.95,0,0.0,1.0
2007-11-27,28.8,28.8,28.8,28.8,1000,0.0,1.0
2007-11-28,28.8,28.8,28.8,28.8,1000,0.0,1.0
2007-11-29,29.75,29.75,29.75,29.75,1000,0.0,1.0
2007-11-30,29.75,29.75,29.75,29.75,1000,0.0,1.0
2007-12-03,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-04,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-05,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-06,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-07,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-10,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-11,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-12,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-13,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-14,29.75,29.75,29.75,29.75,0,0.0,1.0
2007-12-17,26.32,26.32,26.32,26.32,350,0.0,1.0
2007-12-18,26.32,26.32,26.32,26.32,0,0.0,1.0
2007-12-19,26.32,26.32,26.32,26.32,0,0.0,1.0
2007-12-20,26.32,26.32,26.32,26.32,0,0.0,1.0
2007-12-21,26.32,26.32,26.32,26.32,0,0.0,1.0
2007-12-24,26.32,26.32,26.32,26.32,0,0.0,1.0
2007-12-26,26.5,26.5,26.5,26.5,500,0.0,1.0
2007-12-27,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-12-28,26.5,26.5,26.5,26.5,0,0.0,1.0
2007-12-31,26.4,26.4,26.4,26.4,500,0.0,1.0
2008-01-02,26.4,26.4,26.4,26.4,0,0.0,1.0
2008-01-03,26.4,26.4,26.4,26.4,0,0.0,1.0
2008-01-04,26.4,26.4,26.4,26.4,0,0.0,1.0
2008-01-07,26.4,26.4,26.4,26.4,0,0.0,1.0
2008-01-08,26.4,26.4,26.4,26.4,0,0.0,1.0
2008-01-09,26.4,26.4,26.4,26.4,0,0.0,1.0
2008-01-10,27.65,27.65,27.65,27.65,159,0.0,1.0
2008-01-11,27.57,27.57,27.57,27.57,200,0.0,1.0
2008-01-14,27.57,27.57,27.57,27.57,0,0.0,1.0
2008-01-15,27.57,27.57,27.57,27.57,0,0.0,1.0
2008-01-16,27.57,27.57,27.57,27.57,0,0.0,1.0
2008-01-17,27.57,27.57,27.57,27.57,0,0.0,1.0
2008-01-18,26.3,26.3,26.3,26.3,200,0.0,1.0
2008-01-22,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-01-23,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-01-24,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-01-25,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-01-28,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-01-29,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-01-30,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-01-31,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-02-01,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-02-04,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-02-05,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-02-06,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-02-07,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-02-08,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-02-11,26.3,26.3,26.3,26.3,0,0.0,1.0
2008-02-12,25.8,25.95,25.8,25.8,2100,0.0,1.0
2008-02-13,25.8,25.95,25.8,25.8,0,0.0,1.0
2008-02-14,25.8,25.95,25.8,25.8,0,0.0,1.0
2008-02-15,25.8,25.95,25.8,25.8,0,0.0,1.0
2008-02-19,25.8,25.95,25.8,25.8,0,0.0,1.0
2008-02-20,25.8,25.95,25.8,25.8,0,0.0,1.0
2008-02-21,25.8,25.95,25.8,25.8,0,0.0,1.0
2008-02-22,25.8,25.95,25.8,25.8,0,0.0,1.0
2008-02-25,25.8,25.95,25.8,25.8,0,0.0,1.0
2008-02-26,28.25,28.5,28.25,28.25,295,0.0,1.0
2008-02-27,28.25,28.5,28.25,28.25,0,0.0,1.0
2008-02-28,28.25,28.5,28.25,28.25,0,0.0,1.0
2008-02-29,28.25,28.5,28.25,28.25,0,0.0,1.0
2008-03-03,28.25,28.5,28.25,28.25,0,0.0,1.0
2008-03-04,28.25,28.5,28.25,28.25,0,0.0,1.0
2008-03-05,28.25,28.5,28.25,28.25,0,0.0,1.0
2008-03-06,28.25,28.5,28.25,28.25,0,0.0,1.0
2008-03-07,28.25,28.5,28.25,28.25,0,0.0,1.0
