date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-27,129.15,129.15,129.15,129.15,100,0.0,1.0
2007-07-30,129.15,129.15,129.15,129.15,0,0.0,1.0
2007-07-31,129.15,129.15,129.15,129.15,0,0.0,1.0
2007-08-01,129.15,129.15,129.15,129.15,0,0.0,1.0
2007-08-02,129.15,129.15,129.15,129.15,0,0.0,1.0
2007-08-03,129.15,129.15,129.15,129.15,0,0.0,1.0
2007-08-06,129.15,129.15,129.15,129.15,0,0.0,1.0
2007-08-07,132.0,132.0,132.0,132.0,250,0.0,1.0
2007-08-08,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-09,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-10,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-13,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-14,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-15,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-16,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-17,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-20,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-21,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-22,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-23,132.0,132.0,132.0,132.0,0,0.0,1.0
2007-08-24,128.98,128.98,128.98,128.98,185,0.0,1.0
2007-08-27,128.98,128.98,128.98,128.98,0,0.0,1.0
2007-08-28,128.98,128.98,128.98,128.98,0,0.0,1.0
2007-08-29,128.98,128.98,128.98,128.98,0,0.0,1.0
2007-08-30,128.98,128.98,128.98,128.98,0,0.0,1.0
2007-08-31,128.98,128.98,128.98,128.98,0,0.0,1.0
2007-09-04,135.0,135.0,135.0,135.0,100,0.0,1.0
2007-09-05,135.0,135.0,135.0,135.0,0,0.0,1.0
2007-09-06,133.0,133.0,133.0,133.0,100,0.0,1.0
2007-09-07,133.0,133.0,133.0,133.0,0,0.0,1.0
2007-09-10,127.25,127.25,127.25,127.25,335,0.0,1.0
2007-09-11,129.25,129.25,129.25,129.25,320,0.0,1.0
2007-09-12,128.25,128.25,128.25,128.25,189,0.0,1.0
2007-09-13,128.25,128.25,128.25,128.25,0,0.0,1.0
2007-09-14,128.5,128.5,128.5,128.5,240,0.0,1.0
2007-09-17,128.5,128.5,128.5,128.5,0,0.0,1.0
2007-09-18,128.5,128.5,128.5,128.5,0,0.0,1.0
2007-09-19,128.5,128.5,128.5,128.5,0,0.0,1.0
2007-09-20,128.5,128.5,128.5,128.5,0,0.0,1.0
2007-09-21,128.5,128.5,128.5,128.5,0,0.0,1.0
2007-09-24,129.0,129.0,129.0,129.0,264,0.0,1.0
2007-09-25,129.0,129.0,129.0,129.0,0,0.0,1.0
2007-09-26,129.0,129.0,129.0,129.0,0,0.0,1.0
2007-09-27,126.5,126.5,126.5,126.5,113,0.0,1.0
2007-09-28,126.75,126.75,126.75,126.75,100,0.0,1.0
2007-10-01,126.75,126.75,126.75,126.75,0,0.0,1.0
2007-10-02,126.75,126.75,126.75,126.75,0,0.0,1.0
2007-10-03,131.0,131.0,131.0,131.0,300,0.0,1.0
2007-10-04,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-05,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-08,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-09,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-10,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-11,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-12,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-15,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-16,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-17,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-18,131.0,131.0,131.0,131.0,0,0.0,1.0
2007-10-19,133.5,133.5,133.5,133.5,100,0.0,1.0
2007-10-22,133.5,133.5,133.5,133.5,0,0.0,1.0
2007-10-23,133.5,133.5,133.5,133.5,0,0.0,1.0
2007-10-24,135.25,135.25,135.25,135.25,300,0.0,1.0
2007-10-25,135.25,135.25,135.25,135.25,0,0.0,1.0
2007-10-26,135.25,135.25,135.25,135.25,0,0.0,1.0
2007-10-29,135.25,135.25,135.25,135.25,0,0.0,1.0
2007-10-30,135.25,135.25,135.25,135.25,0,0.0,1.0
2007-10-31,135.25,135.25,135.25,135.25,0,0.0,1.0
2007-11-01,135.25,135.25,135.25,135.25,0,0.0,1.0
2007-11-02,137.5,137.5,137.5,137.5,400,0.0,1.0
2007-11-05,137.5,137.5,137.5,137.5,0,0.0,1.0
2007-11-06,137.5,137.5,137.5,137.5,0,0.0,1.0
