date,open_price,high_price,low_price,close_price,volume,dividend,split
2015-11-03,33.5,33.5,33.5,33.5,434,0.0,1.0
2015-11-18,33.5,33.5,33.5,33.5,434,0.0,1.0
2015-11-19,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-11-20,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-11-23,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-11-24,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-11-25,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-11-27,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-11-30,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-01,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-02,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-03,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-04,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-07,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-08,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-09,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-10,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-11,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-14,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-15,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-16,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-17,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-18,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-21,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-22,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-23,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-24,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-28,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-29,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-30,33.5,33.5,33.5,33.5,0,0.0,1.0
2015-12-31,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-04,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-05,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-06,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-07,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-08,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-11,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-12,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-13,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-14,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-15,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-19,33.5,33.5,33.5,33.5,0,0.0,1.0
2016-01-20,33.5,33.5,33.5,33.5,0,0.0,1.0
