date,open_price,high_price,low_price,close_price,volume,dividend,split
2013-02-11,6.19,6.28,6.08,6.25,90200,0.0,1.0
2013-02-12,6.45,6.64,6.45,6.64,16900,0.0,1.0
2013-02-13,6.65,6.82,6.65,6.77,73700,0.0,1.0
2013-02-14,7.25,8.31,7.25,7.47,40700,0.0,1.0
2013-02-15,7.43,7.43,7.16,7.3,17900,0.0,1.0
2013-02-19,7.08,7.08,6.06,6.15,227800,0.0,1.0
2013-02-20,5.94,6.12,5.74,5.74,218800,0.0,1.0
2013-02-21,5.66,6.36,5.66,5.74,1587600,0.0,1.0
2013-02-22,6.07,6.07,5.7,5.86,881900,0.0,1.0
2013-02-25,6.01,6.13,5.98,6.06,1621500,0.0,1.0
2013-02-26,6.08,6.23,5.96,6.13,544200,0.0,1.0
2013-02-27,5.99,6.04,5.82,5.89,1545200,0.0,1.0
2013-02-28,5.85,5.85,5.64,5.66,585400,0.0,1.0
2013-03-01,6.06,6.15,5.79,5.86,5832700,0.0,1.0
2013-03-04,5.71,5.79,5.58,5.63,1015900,0.0,1.0
2013-03-05,5.88,5.89,5.76,5.77,636700,0.0,1.0
2013-03-06,5.86,6.34,5.74,6.22,1759200,0.0,1.0
2013-03-07,6.36,6.36,6.13,6.15,761400,0.0,1.0
2013-03-08,6.18,6.33,6.13,6.32,1862600,0.0,1.0
2013-03-11,6.2,6.25,5.81,5.89,3151100,0.0,1.0
2013-03-12,6.06,6.2,6.01,6.1,1808800,0.0,1.0
2013-03-13,6.22,6.25,6.05,6.06,2363600,0.0,1.0
2013-03-14,6.16,6.25,6.08,6.14,3185800,0.0,1.0
2013-03-15,6.13,6.2,5.87,5.96,26017000,0.0,1.0
2013-03-18,5.95,5.98,5.85,5.88,1402100,0.0,1.0
2013-03-19,5.85,5.92,5.78,5.84,704300,0.0,1.0
2013-03-20,5.78,5.8,5.46,5.48,1210900,0.0,1.0
2013-03-21,5.59,5.63,5.46,5.49,1406400,0.0,1.0
2013-03-22,5.46,5.46,5.32,5.34,802300,0.0,1.0
2013-03-25,5.34,5.35,5.27,5.27,439100,0.0,1.0
2013-03-26,5.47,5.55,5.47,5.53,1407700,0.0,1.0
2013-03-27,5.61,5.73,5.59,5.71,535300,0.0,1.0
2013-03-28,5.72,5.8,5.62,5.65,581400,0.0,1.0
2013-04-01,5.67,5.67,5.59,5.62,505500,0.0,1.0
2013-04-02,5.65,5.71,5.53,5.55,700300,0.0,1.0
2013-04-03,5.57,5.62,5.31,5.34,735900,0.0,1.0
2013-04-04,5.39,5.55,5.26,5.53,480600,0.0,1.0
2013-04-05,5.5,5.62,5.5,5.57,372500,0.0,1.0
2013-04-08,5.66,5.69,5.63,5.65,220700,0.0,1.0
2013-04-09,5.75,5.84,5.75,5.84,151500,0.0,1.0
2013-04-10,5.81,5.81,5.71,5.75,361400,0.0,1.0
2013-04-11,5.69,5.74,5.54,5.54,237500,0.0,1.0
2013-04-12,5.48,5.53,5.22,5.22,496700,0.0,1.0
2013-04-15,4.78,4.83,4.61,4.64,551600,0.0,1.0
2013-04-16,4.7,4.78,4.47,4.47,426800,0.0,1.0
2013-04-17,4.31,4.39,3.98,4.0,611100,0.0,1.0
2013-04-18,4.01,4.04,3.94,4.03,227200,0.0,1.0
2013-04-19,3.97,4.02,3.85,3.88,330200,0.0,1.0
2013-04-22,3.95,4.01,3.87,3.87,290700,0.0,1.0
2013-04-23,3.95,4.01,3.88,3.92,242300,0.0,1.0
2013-04-24,4.04,4.23,4.02,4.22,372800,0.0,1.0
2013-04-25,4.23,4.23,4.06,4.13,361700,0.0,1.0
2013-04-26,4.12,4.16,4.05,4.05,108200,0.0,1.0
2013-04-29,4.05,4.11,3.99,4.04,254000,0.0,1.0
2013-04-30,3.89,3.94,3.78,3.85,469500,0.0,1.0
2013-05-01,3.8,3.81,3.71,3.78,439800,0.0,1.0
2013-05-02,3.76,3.8,3.62,3.71,429100,0.0,1.0
2013-05-03,3.52,3.59,3.5,3.55,446100,0.0,1.0
2013-05-06,3.6,3.62,3.56,3.58,180900,0.0,1.0
2013-05-07,3.53,3.62,3.5,3.55,385900,0.0,1.0
2013-05-08,3.75,3.95,3.67,3.95,662700,0.0,1.0
2013-05-09,3.87,4.1,3.8,3.83,958700,0.0,1.0
2013-05-10,3.74,3.76,3.64,3.67,323700,0.0,1.0
2013-05-13,3.65,3.7,3.57,3.57,515200,0.0,1.0
2013-05-14,3.55,3.61,3.51,3.53,271700,0.0,1.0
2013-05-15,3.46,3.52,3.36,3.36,241700,0.0,1.0
2013-05-16,3.28,3.29,3.11,3.12,1128900,0.0,1.0
2013-05-17,3.1,3.13,2.91,2.91,1300100,0.0,1.0
2013-05-20,2.84,2.9,2.78,2.86,1757800,0.0,1.0
2013-05-21,2.78,2.81,2.72,2.78,455000,0.0,1.0
2013-05-22,2.8,2.96,2.73,2.8,1001100,0.0,1.0
2013-05-23,2.88,2.94,2.87,2.87,291100,0.0,1.0
2013-05-24,3.0,3.09,3.0,3.01,461600,0.0,1.0
2013-05-28,3.09,3.11,2.96,3.03,392300,0.0,1.0
2013-05-29,3.01,3.05,2.98,3.03,462100,0.0,1.0
2013-05-30,3.13,3.28,3.08,3.27,1372700,0.0,1.0
2013-05-31,3.24,3.66,3.24,3.62,1149200,0.0,1.0
2013-06-03,3.52,3.58,3.4,3.54,331100,0.0,1.0
2013-06-04,3.53,3.57,3.35,3.39,248700,0.0,1.0
2013-06-05,3.38,3.38,3.3,3.36,192600,0.0,1.0
2013-06-06,3.46,3.98,3.11,3.77,688700,0.0,1.0
2013-06-07,3.69,3.74,3.59,3.61,239700,0.0,1.0
2013-06-10,3.78,3.96,3.73,3.88,324400,0.0,1.0
2013-06-11,3.82,3.93,3.79,3.82,180600,0.0,1.0
2013-06-12,3.91,3.97,3.87,3.92,267000,0.0,1.0
2013-06-13,3.92,4.02,3.89,3.95,174200,0.0,1.0
2013-06-14,3.86,3.86,3.68,3.73,187500,0.0,1.0
2013-06-17,3.64,3.77,3.64,3.76,82100,0.0,1.0
2013-06-18,3.53,3.62,3.51,3.59,191600,0.0,1.0
2013-06-19,3.52,3.64,3.48,3.51,252400,0.0,1.0
2013-06-20,3.13,3.15,2.95,2.95,827800,0.0,1.0
2013-06-21,3.07,3.1,2.96,2.98,1366100,0.0,1.0
