date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-13,35.25,35.25,35.25,35.25,11325,0.0,1.0
2007-07-16,35.0,35.2,35.0,35.0,4600,0.0,1.0
2007-07-17,35.45,35.45,35.45,35.45,2175,0.0,1.0
2007-07-18,34.35,35.5,34.35,34.35,56160,0.0,1.0
2007-07-19,34.1,34.64,34.1,34.1,820,0.0,1.0
2007-07-20,34.0,34.5,34.0,34.0,4435,0.0,1.0
2007-07-23,34.0,34.5,34.0,34.0,0,0.0,1.0
2007-07-24,34.45,34.45,34.45,34.45,11495,0.0,1.0
2007-07-25,34.45,34.45,34.45,34.45,0,0.0,1.0
2007-07-26,32.5,32.7,32.5,32.5,1664,0.0,1.0
2007-07-27,31.6,31.85,31.6,31.6,10820,0.0,1.0
2007-07-30,31.65,32.35,31.65,31.65,4100,0.0,1.0
2007-07-31,33.25,33.25,33.25,33.25,900,0.0,1.0
2007-08-01,33.25,33.25,33.25,33.25,0,0.0,1.0
2007-08-02,33.65,33.65,33.65,33.65,400,0.0,1.0
2007-08-03,32.5,33.0,32.5,32.5,58800,0.0,1.0
2007-08-06,32.25,32.25,32.25,32.25,117,0.0,1.0
2007-08-07,33.5,33.5,33.5,33.5,875,0.0,1.0
2007-08-08,35.25,35.25,35.25,35.25,3851,0.0,1.0
2007-08-09,35.25,35.25,35.25,35.25,0,0.0,1.0
2007-08-10,32.1,32.1,32.1,32.1,4324,0.0,1.0
2007-08-13,33.5,33.5,33.5,33.5,3200,0.0,1.0
2007-08-14,31.6,32.93,31.6,31.6,601,0.0,1.0
2007-08-15,30.65,31.03,30.65,30.65,1895,0.0,1.0
2007-08-16,28.95,29.6,28.95,28.95,428,0.0,1.0
2007-08-17,31.3,31.55,31.3,31.3,3125,0.0,1.0
2007-08-20,30.55,31.0,30.55,30.55,2780,0.0,1.0
2007-08-21,30.25,30.25,30.25,30.25,106,0.0,1.0
2007-08-22,31.75,31.8,31.75,31.75,1800,0.0,1.0
2007-08-23,31.8,31.8,31.8,31.8,2400,0.0,1.0
2007-08-24,31.8,31.8,31.8,31.8,0,0.0,1.0
2007-08-27,30.0,30.5,30.0,30.0,14650,0.0,1.0
2007-08-28,29.25,30.1,29.25,29.25,3325,0.0,1.0
2007-08-29,29.9,29.9,29.9,29.9,3239,0.0,1.0
2007-08-30,30.75,30.75,30.75,30.75,1000,0.0,1.0
2007-08-31,31.5,31.5,31.5,31.5,5600,0.0,1.0
2007-09-04,31.65,31.65,31.65,31.65,500,0.0,1.0
2007-09-05,30.1,30.4,30.1,30.1,5800,0.0,1.0
2007-09-06,30.4,30.4,30.4,30.4,1950,0.0,1.0
2007-09-07,29.0,29.8,29.0,29.0,37091,0.0,1.0
2007-09-10,29.9,29.9,29.9,29.9,200,0.0,1.0
2007-09-11,31.0,31.0,31.0,31.0,200,0.0,1.0
2007-09-12,31.15,31.15,31.15,31.15,4761,0.0,1.0
2007-09-13,31.15,31.15,31.15,31.15,100,0.0,1.0
2007-09-14,30.45,30.45,30.45,30.45,2500,0.0,1.0
2007-09-17,29.75,29.75,29.75,29.75,1559,0.0,1.0
2007-09-18,30.9,30.9,30.9,30.9,3225,0.0,1.0
2007-09-19,32.2,32.25,32.2,32.2,11150,0.0,1.0
2007-09-20,31.95,32.25,31.95,31.95,957,0.0,1.0
2007-09-21,32.0,32.0,32.0,32.0,400,0.0,1.0
2007-09-24,32.05,32.55,32.05,32.05,2162,0.0,1.0
2007-09-25,32.9,32.9,32.9,32.9,1350,0.0,1.0
2007-09-26,32.4,32.4,32.4,32.4,3050,0.0,1.0
2007-09-27,32.75,32.85,32.75,32.75,1320,0.0,1.0
2007-09-28,33.0,33.1,33.0,33.0,450,0.0,1.0
2007-10-01,32.2,32.85,32.2,32.2,1250,0.0,1.0
2007-10-02,32.9,33.1,32.9,32.9,3585,0.0,1.0
2007-10-03,32.75,32.75,32.75,32.75,3365,0.0,1.0
2007-10-04,32.9,33.3,32.9,32.9,3870,0.0,1.0
2007-10-05,32.75,33.5,32.75,32.75,6852,0.0,1.0
2007-10-08,33.72,33.75,33.72,33.72,4402,0.0,1.0
2007-10-09,35.05,35.05,35.05,35.05,5478,0.0,1.0
2007-10-10,35.4,35.4,35.4,35.4,4311,0.0,1.0
2007-10-11,34.95,35.5,34.95,34.95,1300,0.0,1.0
2007-10-12,34.95,35.5,34.95,34.95,0,0.0,1.0
2007-10-15,34.95,34.95,34.95,34.95,1429,0.0,1.0
2007-10-16,33.5,34.2,33.5,33.5,762,0.0,1.0
2007-10-17,32.5,32.5,32.5,32.5,200,0.0,1.0
2007-10-18,34.2,34.5,34.2,34.2,821,0.0,1.0
2007-10-19,34.25,34.25,34.25,34.25,3060,0.0,1.0
2007-10-22,34.25,34.25,34.25,34.25,0,0.0,1.0
2007-10-23,34.0,34.0,34.0,34.0,700,0.0,1.0
2007-10-24,33.5,34.64,33.5,33.5,7140,0.0,1.0
2007-10-25,35.6,35.75,35.6,35.6,2880,0.0,1.0
2007-10-26,37.85,37.85,37.85,37.85,865,0.0,1.0
2007-10-29,37.2,37.75,37.2,37.2,43358,0.0,1.0
2007-10-30,37.8,37.8,37.8,37.8,605,0.0,1.0
2007-10-31,37.95,38.6,37.95,37.95,2200,0.0,1.0
2007-11-01,37.65,38.0,37.65,37.65,4335,0.0,1.0
2007-11-02,36.5,36.6,36.5,36.5,600,0.0,1.0
2007-11-05,35.5,35.5,35.5,35.5,2700,0.0,1.0
2007-11-06,36.92,37.1,36.92,36.92,1289,0.0,1.0
2007-11-07,35.5,35.5,35.5,35.5,1500,0.0,1.0
2007-11-08,35.25,35.25,35.25,35.25,3000,0.0,1.0
2007-11-09,35.0,35.0,35.0,35.0,1000,0.0,1.0
2007-11-12,35.4,36.0,35.4,35.4,800,0.0,1.0
2007-11-14,36.8,36.9,36.8,36.8,373,0.0,1.0
2007-11-15,36.8,36.9,36.8,36.8,373,0.0,1.0
2007-11-16,35.85,35.85,35.85,35.85,700,0.0,1.0
2007-11-19,34.7,35.65,34.7,34.7,897,0.0,1.0
2007-11-21,35.0,35.0,35.0,35.0,1730,0.0,1.0
2007-11-23,35.0,35.0,35.0,35.0,1730,0.0,1.0
2007-11-26,34.25,34.25,34.25,34.25,300,0.0,1.0
2007-11-27,35.25,35.6,35.25,35.25,1512,0.0,1.0
2007-11-28,36.75,37.1,36.75,36.75,744,0.0,1.0
2007-11-29,37.5,37.5,37.5,37.5,10245,0.0,1.0
2007-11-30,39.25,39.25,39.25,39.25,200,0.0,1.0
2007-12-03,39.25,39.25,39.25,39.25,0,0.0,1.0
2007-12-04,38.4,38.4,38.4,38.4,1597,0.0,1.0
2007-12-05,38.45,38.45,38.45,38.45,100,0.0,1.0
2007-12-06,38.15,39.0,38.15,38.15,9214,0.0,1.0
