date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-07-26,15.11,15.39,15.11,15.39,4300,0.0,1.0
2010-07-27,15.4,15.58,15.4,15.58,3600,0.0,1.0
2010-07-28,15.42,15.42,15.35,15.35,1500,0.0,1.0
2010-07-29,15.11,15.58,15.11,15.35,0,0.0,1.0
2010-07-30,15.11,15.58,15.11,15.35,0,0.0,1.0
2010-08-02,15.55,15.85,15.55,15.85,2129,0.0,1.0
2010-08-03,15.17,15.3,15.17,15.3,3163,0.0,1.0
2010-08-04,15.3,15.5,15.3,15.5,1100,0.0,1.0
2010-08-05,15.45,15.45,15.45,15.45,650,0.0,1.0
2010-08-06,15.35,15.45,15.35,15.45,2219,0.0,1.0
2010-08-09,15.45,15.45,15.45,15.45,200,0.0,1.0
2010-08-10,15.35,15.4,15.27,15.4,1950,0.0,1.0
2010-08-11,14.9,14.9,14.9,14.9,200,0.0,1.0
2010-08-12,15.11,15.85,14.65,14.65,21311,0.0,1.0
2010-08-13,15.11,15.85,14.65,14.65,0,0.0,1.0
2010-08-16,14.55,14.55,14.55,14.55,600,0.0,1.0
2010-08-17,14.54,14.54,14.37,14.38,500,0.0,1.0
2010-08-18,15.15,15.15,15.15,15.15,200,0.0,1.0
2010-08-19,15.75,15.75,15.7,15.7,1000,0.0,1.0
2010-08-20,15.11,15.85,14.37,15.7,0,0.0,1.0
2010-08-23,15.11,15.85,14.37,15.7,0,0.0,1.0
2010-08-24,15.11,15.85,14.37,15.7,0,0.0,1.0
2010-08-25,15.28,15.55,15.28,15.55,670,0.0,1.0
2010-08-26,15.11,15.85,14.37,15.72,24481,0.0,1.0
2010-08-27,15.11,15.85,14.37,15.72,0,0.0,1.0
2010-08-30,15.11,15.85,14.37,15.46,25566,0.0,1.0
2010-08-31,15.11,15.85,14.37,15.46,0,0.0,1.0
2010-09-01,15.11,15.85,14.37,15.67,26566,0.0,1.0
2010-09-02,15.11,15.85,14.37,15.67,0,0.0,1.0
2010-09-03,15.11,15.85,14.37,15.67,0,0.0,1.0
2010-09-07,15.51,15.51,15.4,15.4,1200,0.0,1.0
2010-09-08,15.11,15.85,14.37,15.4,0,0.0,1.0
