date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-08-31,35.0,35.1,35.0,35.0,528417,0.0,1.0
2007-09-04,34.52,34.65,34.52,34.52,843076,0.0,1.0
2007-09-05,34.55,34.75,34.55,34.55,295948,0.0,1.0
2007-09-06,34.6,34.85,34.6,34.6,105862,0.0,1.0
2007-09-07,34.85,36.25,34.85,34.85,105281,0.0,1.0
2007-09-10,35.2,35.4,35.2,35.2,52926,0.0,1.0
2007-09-11,35.2,35.4,35.2,35.2,56344,0.0,1.0
2007-09-12,35.75,36.0,35.75,35.75,44161,0.0,1.0
2007-09-13,36.35,36.7,36.35,36.35,52444,0.0,1.0
2007-09-14,36.39,36.55,36.39,36.39,33211,0.0,1.0
2007-09-17,36.4,36.6,36.4,36.4,41902,0.0,1.0
2007-09-18,37.5,37.5,37.5,37.5,33009,0.0,1.0
2007-09-19,36.65,37.05,36.65,36.65,65825,0.0,1.0
2007-09-20,37.3,37.7,37.3,37.3,146639,0.0,1.0
2007-09-21,37.35,37.55,37.35,37.35,62280,0.0,1.0
2007-09-24,37.1,37.3,37.1,37.1,64512,0.0,1.0
2007-09-25,37.5,37.7,37.5,37.5,59987,0.0,1.0
2007-09-26,37.78,38.0,37.78,37.78,155829,0.0,1.0
2007-09-27,37.6,37.87,37.6,37.6,55308,0.0,1.0
2007-09-28,37.95,38.05,37.95,37.95,42487,0.0,1.0
2007-10-01,38.05,38.1,38.05,38.05,67322,0.0,1.0
2007-10-02,37.45,37.7,37.45,37.45,63890,0.0,1.0
2007-10-03,37.15,37.4,37.15,37.15,32928,0.0,1.0
2007-10-04,37.05,37.75,37.05,37.05,21778,0.0,1.0
2007-10-05,37.0,37.45,37.0,37.0,40317,0.0,1.0
2007-10-08,36.45,37.0,36.45,36.45,19334,0.0,1.0
2007-10-09,37.2,37.2,37.2,37.2,24534,0.0,1.0
2007-10-10,36.96,37.2,36.96,36.96,33832,0.0,1.0
2007-10-11,36.95,37.65,36.95,36.95,50381,0.0,1.0
2007-10-12,37.65,37.85,37.65,37.65,34600,0.0,1.0
2007-10-15,37.45,37.9,37.45,37.45,36359,0.0,1.0
2007-10-16,37.16,37.43,37.16,37.16,18902,0.0,1.0
2007-10-17,36.5,37.05,36.5,36.5,55079,0.0,1.0
2007-10-18,37.1,37.25,37.1,37.1,41865,0.0,1.0
2007-10-19,35.75,36.5,35.75,35.75,229275,0.0,1.0
2007-10-22,35.5,35.85,35.5,35.5,31306,0.0,1.0
2007-10-23,35.55,35.55,35.55,35.55,25214,0.0,1.0
2007-10-24,35.21,35.5,35.21,35.21,109808,0.0,1.0
2007-10-25,35.92,36.15,35.92,35.92,44844,0.0,1.0
2007-10-26,36.4,36.6,36.4,36.4,40322,0.0,1.0
2007-10-29,36.8,36.9,36.8,36.8,27765,0.0,1.0
2007-10-30,36.51,36.65,36.51,36.51,30265,0.0,1.0
2007-10-31,36.94,37.1,36.94,36.94,56471,0.0,1.0
2007-11-01,36.26,36.65,36.26,36.26,27055,0.0,1.0
2007-11-02,36.4,36.6,36.4,36.4,23363,0.0,1.0
2007-11-05,36.3,36.5,36.3,36.3,46252,0.0,1.0
2007-11-06,36.7,37.05,36.7,36.7,17825,0.0,1.0
2007-11-07,36.55,37.0,36.55,36.55,35007,0.0,1.0
2007-11-08,36.45,36.65,36.45,36.45,86294,0.0,1.0
2007-11-09,36.36,36.75,36.36,36.36,27108,0.0,1.0
2007-11-12,35.65,36.35,35.65,35.65,44010,0.0,1.0
2007-11-14,36.71,37.3,36.71,36.71,46305,0.0,1.0
2007-11-15,36.71,37.3,36.71,36.71,46305,0.0,1.0
2007-11-16,36.45,36.85,36.45,36.45,22985,0.0,1.0
2007-11-19,36.95,37.25,36.95,36.95,24126,0.0,1.0
2007-11-21,36.95,37.0,36.95,36.95,27282,0.0,1.0
2007-11-23,36.95,37.0,36.95,36.95,27282,0.0,1.0
2007-11-26,37.24,37.8,37.24,37.24,49581,0.0,1.0
2007-11-27,38.0,38.25,38.0,38.0,56292,0.0,1.0
2007-11-28,38.2,38.4,38.2,38.2,63434,0.0,1.0
2007-11-29,37.75,37.95,37.75,37.75,35741,0.0,1.0
2007-11-30,37.85,38.4,37.85,37.85,36956,0.0,1.0
2007-12-03,38.1,38.35,38.1,38.1,45986,0.0,1.0
2007-12-04,38.46,38.7,38.46,38.46,19853,0.0,1.0
2007-12-05,38.8,38.9,38.8,38.8,23506,0.0,1.0
2007-12-06,38.7,38.75,38.7,38.7,17989,0.0,1.0
2007-12-07,38.89,39.1,38.89,38.89,32673,0.0,1.0
2007-12-10,39.5,39.6,39.5,39.5,38940,0.0,1.0
2007-12-11,38.99,39.4,38.99,38.99,26110,0.0,1.0
2007-12-12,38.9,39.25,38.9,38.9,22989,0.0,1.0
2007-12-13,38.65,38.91,38.65,38.65,33944,0.0,1.0
2007-12-14,38.05,38.3,38.05,38.05,38247,0.0,1.0
2007-12-17,37.35,37.9,37.35,37.35,28802,0.0,1.0
2007-12-18,38.15,38.25,38.15,38.15,37533,0.0,1.0
2007-12-19,37.7,38.0,37.7,37.7,84450,0.0,1.0
