date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-10-20,16.25,16.99,14.0,16.26,37563694,0.0,1.0
2017-10-23,16.1,16.4,15.12,15.26,5753830,0.0,1.0
2017-10-24,15.4,15.86,14.77,15.24,3748832,0.0,1.0
2017-10-25,15.1,15.43,13.62,13.73,4376199,0.0,1.0
2017-10-26,13.82,14.16,13.81,14.02,1850003,0.0,1.0
2017-10-27,14.05,14.13,13.8,14.01,2414273,0.0,1.0
2017-10-30,13.98,14.2,13.98,14.1,1230779,0.0,1.0
2017-10-31,14.11,15.1,14.09,15.08,1664407,0.0,1.0
2017-11-01,15.33,15.49,15.19,15.43,1248146,0.0,1.0
2017-11-02,15.27,15.5,14.9,15.24,1190638,0.0,1.0
2017-11-03,15.28,15.39,14.9,14.99,510008,0.0,1.0
2017-11-06,15.01,15.01,14.89,15.01,616593,0.0,1.0
2017-11-07,15.0,15.09,14.91,15.0,1000321,0.0,1.0
2017-11-08,15.0,15.0,14.72,14.84,734041,0.0,1.0
2017-11-09,14.86,14.95,14.47,14.5,1092575,0.0,1.0
2017-11-10,14.52,14.84,14.5,14.72,631573,0.0,1.0
2017-11-13,14.57,14.75,14.48,14.73,991767,0.0,1.0
2017-11-14,14.85,15.05,14.82,15.01,1124718,0.0,1.0
2017-11-15,15.0,15.0,14.6,14.71,712150,0.0,1.0
2017-11-16,15.23,15.25,14.96,15.03,732776,0.0,1.0
2017-11-17,15.0,15.62,15.0,15.0,1253644,0.0,1.0
2017-11-20,15.46,15.59,15.15,15.49,786202,0.0,1.0
2017-11-21,15.7,15.73,14.78,14.78,1377903,0.0,1.0
2017-11-22,14.78,14.99,13.72,13.85,3799655,0.0,1.0
2017-11-24,13.88,13.96,12.88,13.33,2265625,0.0,1.0
2017-11-27,13.31,13.56,12.52,12.67,2934132,0.0,1.0
2017-11-28,12.61,12.71,10.82,11.45,4752708,0.0,1.0
2017-11-29,11.5,12.14,10.78,10.97,3725803,0.0,1.0
2017-11-30,11.32,11.94,11.22,11.6,2325472,0.0,1.0
2017-12-01,11.73,12.59,11.65,12.43,1403661,0.0,1.0
2017-12-04,12.32,12.32,11.86,11.98,1471885,0.0,1.0
2017-12-05,11.89,13.02,11.78,12.73,2044872,0.0,1.0
2017-12-06,12.98,13.21,12.03,12.13,1788078,0.0,1.0
2017-12-07,12.2,13.0,12.2,12.92,1779622,0.0,1.0
2017-12-08,12.98,13.32,12.84,13.29,937807,0.0,1.0
2017-12-11,13.33,13.6,12.7,13.41,1209040,0.0,1.0
2017-12-12,13.34,13.45,12.93,13.19,1054489,0.0,1.0
2017-12-13,13.16,13.18,12.7,12.72,477762,0.0,1.0
2017-12-14,12.77,13.0,11.72,11.77,1117423,0.0,1.0
2017-12-15,11.73,12.08,11.58,12.0,1469860,0.0,1.0
2017-12-18,11.95,12.23,11.9,11.92,1689466,0.0,1.0
2017-12-19,11.95,12.05,11.76,11.87,745900,0.0,1.0
2017-12-20,11.9,12.28,11.89,12.22,706170,0.0,1.0
2017-12-21,12.38,13.24,12.36,12.77,569424,0.0,1.0
2017-12-22,12.51,13.64,12.51,13.24,747126,0.0,1.0
2017-12-26,13.17,13.26,12.8,13.0,336038,0.0,1.0
2017-12-27,13.0,13.45,13.0,13.38,406448,0.0,1.0
2017-12-28,13.54,13.94,13.32,13.5,558265,0.0,1.0
2017-12-29,13.52,13.91,13.31,13.33,484595,0.0,1.0
2018-01-02,13.3,13.62,12.97,13.01,685707,0.0,1.0
2018-01-03,13.05,13.61,12.91,13.5,681240,0.0,1.0
2018-01-04,13.5,13.6,13.0,13.0,703713,0.0,1.0
2018-01-05,13.1,13.92,13.02,13.89,682519,0.0,1.0
2018-01-08,13.9,14.2,13.57,13.87,1245904,0.0,1.0
2018-01-09,13.89,14.2,13.5,13.82,830383,0.0,1.0
2018-01-10,13.79,14.06,13.5,13.59,851003,0.0,1.0
2018-01-11,13.71,14.68,13.52,14.23,829390,0.0,1.0
2018-01-12,14.27,14.57,12.96,12.97,1161641,0.0,1.0
2018-01-16,13.22,13.53,12.68,12.78,1619638,0.0,1.0
2018-01-17,13.16,13.32,12.58,12.63,733897,0.0,1.0
2018-01-18,12.63,12.95,12.5,12.58,759562,0.0,1.0
2018-01-19,12.21,12.58,12.01,12.31,642490,0.0,1.0
2018-01-22,12.49,12.61,12.3,12.59,1062943,0.0,1.0
2018-01-23,12.6,13.57,12.48,12.9,2207700,0.0,1.0
2018-01-24,13.0,13.09,12.41,12.76,1406570,0.0,1.0
2018-01-25,12.82,12.95,12.54,12.75,1176978,0.0,1.0
2018-01-26,12.85,13.36,12.55,13.29,1605990,0.0,1.0
2018-01-29,13.28,13.28,12.2,12.22,924736,0.0,1.0
2018-01-30,12.22,12.38,11.97,12.03,705137,0.0,1.0
2018-01-31,12.17,12.59,12.02,12.26,806435,0.0,1.0
2018-02-01,12.26,12.43,11.83,11.92,612635,0.0,1.0
2018-02-02,11.88,12.15,11.76,11.93,947901,0.0,1.0
2018-02-05,11.88,11.88,11.31,11.5,486074,0.0,1.0
2018-02-06,11.0,11.54,11.0,11.18,687136,0.0,1.0
2018-02-07,11.2,11.33,11.03,11.2,394154,0.0,1.0
2018-02-08,11.2,11.35,10.85,10.88,625662,0.0,1.0
2018-02-09,11.16,11.42,11.02,11.33,630676,0.0,1.0
2018-02-12,11.45,11.6,11.17,11.49,870286,0.0,1.0
2018-02-13,11.4,11.74,11.4,11.6,1062762,0.0,1.0
2018-02-14,11.6,11.84,11.55,11.73,741077,0.0,1.0
2018-02-15,11.75,12.71,11.73,12.38,1524363,0.0,1.0
2018-02-16,12.4,12.5,12.19,12.33,742616,0.0,1.0
