date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-09-28,54.45,54.45,54.45,54.45,235,0.0,1.0
2017-10-05,55.25,55.25,55.25,55.25,860,0.0,1.0
2017-10-11,55.25,55.25,55.25,55.25,3920,0.0,1.0
2017-10-12,54.3,54.3,54.3,54.3,189,0.0,1.0
2017-12-07,54.3,54.3,54.3,54.3,1300,0.0,1.0
2017-12-13,54.3,54.3,54.3,54.3,46,0.0,1.0
2018-01-19,54.3,54.3,54.3,54.3,8400,0.0,1.0
2018-01-23,56.5,57.0,56.5,57.0,255,0.0,1.0
2018-01-26,57.0,57.0,57.0,57.0,44,0.0,1.0
2018-02-01,56.1,56.1,56.1,56.1,100,0.0,1.0
2018-02-12,55.0,75.0,52.0,56.5,51373,0.0,1.0
2018-02-13,52.0,52.0,50.2,51.0,19776,0.0,1.0
2018-02-14,51.75,54.0,51.0,54.0,6744,0.0,1.0
2018-02-15,54.0,54.0,51.0,51.5,2177,0.0,1.0
2018-02-16,54.0,56.0,54.0,55.08,816,0.0,1.0
2018-02-20,55.0,55.14,51.0,54.98,3089,0.0,1.0
2018-02-21,50.52,53.8,50.52,53.8,678,0.0,1.0
2018-02-22,52.0,52.0,51.0,51.0,1102,0.0,1.0
2018-02-23,50.55,56.0,50.0,54.0,17473,0.0,1.0
2018-02-26,54.25,56.0,53.65,54.25,38003,0.0,1.0
2018-02-27,56.0,56.0,52.0,55.0,3304,0.0,1.0
2018-02-28,54.0,60.0,50.5,54.0,3625,0.0,1.0
2018-03-01,52.5,54.0,51.1,51.3,1626,0.0,1.0
2018-03-02,53.0,55.5,50.75,52.0,2429,0.0,1.0
2018-03-05,52.0,52.0,52.0,52.0,439,0.0,1.0
2018-03-06,51.4,54.77,51.4,52.5,718,0.0,1.0
2018-03-07,54.0,54.0,52.4,52.4,1771,0.0,1.0
2018-03-08,53.75,53.75,53.0,53.5,593,0.0,1.0
2018-03-09,53.25,53.25,52.0,52.0,486,0.0,1.0
2018-03-12,52.86,52.86,51.51,52.0,918,0.0,1.0
2018-03-13,52.85,52.94,52.85,52.94,1715,0.0,1.0
2018-03-14,53.25,53.25,52.0,52.0,1200,0.0,1.0
2018-03-15,51.15,51.15,51.14,51.15,515,0.0,1.0
2018-03-16,51.15,52.62,51.02,52.6,998,0.0,1.0
2018-03-19,51.85,51.85,51.85,51.85,707,0.0,1.0
2018-03-20,51.38,52.0,51.0,52.0,560,0.0,1.0
2018-03-21,51.5,51.5,51.0,51.0,403,0.0,1.0
2018-03-22,50.52,50.52,50.52,50.52,110,0.0,1.0
2018-03-23,50.42,50.46,48.91,50.46,2736,0.0,1.0
2018-03-26,51.56,51.56,49.98,50.25,420,0.0,1.0
2018-03-27,50.25,50.25,50.25,50.25,1053,0.0,1.0
2018-03-28,50.55,50.55,50.55,50.55,159,0.0,1.0
2018-03-29,51.0,51.0,51.0,51.0,4406,0.0,1.0
2018-04-02,50.46,52.0,50.46,52.0,1219,0.0,1.0
2018-04-03,50.35,50.56,50.35,50.56,219,0.0,1.0
