date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-16,73.75,75.0,73.75,73.75,2000,0.0,1.0
2007-07-17,73.25,73.25,73.25,73.25,150,0.0,1.0
2007-07-18,73.7,73.7,71.5,73.7,22200,0.0,1.0
2007-07-19,73.77,74.02,73.77,73.77,15000,0.0,1.0
2007-07-20,72.5,72.5,72.5,72.5,800,0.0,1.0
2007-07-23,72.5,72.5,72.5,72.5,0,0.0,1.0
2007-07-24,72.5,72.5,72.5,72.5,0,0.0,1.0
2007-07-25,72.5,72.5,72.5,72.5,0,0.0,1.0
2007-07-26,69.0,69.0,69.0,69.0,14000,0.0,1.0
2007-07-27,69.0,69.0,69.0,69.0,0,0.0,1.0
2007-07-30,69.0,69.0,69.0,69.0,0,0.0,1.0
2007-07-31,68.5,68.5,68.5,68.5,5100,0.0,1.0
2007-08-01,65.5,67.25,65.5,65.5,300,0.0,1.0
2007-08-02,66.5,66.5,66.5,66.5,100,0.0,1.0
2007-08-03,68.0,68.0,65.9,68.0,15300,0.0,1.0
2007-08-06,66.5,67.5,66.0,66.5,30000,0.0,1.0
2007-08-07,67.4,67.4,64.98,67.4,20600,0.0,1.0
2007-08-08,68.0,68.0,67.0,68.0,400,0.0,1.0
2007-08-09,67.0,67.0,64.5,67.0,1100,0.0,1.0
2007-08-10,65.0,65.5,65.0,65.0,6800,0.0,1.0
2007-08-13,67.75,67.75,67.75,67.75,4000,0.0,1.0
2007-08-14,67.75,67.75,67.75,67.75,0,0.0,1.0
2007-08-15,67.75,67.75,67.75,67.75,0,0.0,1.0
2007-08-16,56.0,64.25,56.0,56.0,3400,0.0,1.0
2007-08-17,56.0,56.0,56.0,56.0,0,0.0,1.0
2007-08-20,65.0,65.6,65.0,65.0,12600,0.0,1.0
2007-08-21,65.0,65.0,65.0,65.0,0,0.0,1.0
2007-08-22,65.0,65.0,65.0,65.0,0,0.0,1.0
2007-08-23,65.1,65.1,65.0,65.1,4400,0.0,1.0
2007-08-24,65.0,66.0,64.25,65.0,25500,0.0,1.0
2007-08-27,68.0,68.0,68.0,68.0,32000,0.0,1.0
2007-08-28,66.5,66.5,64.9,66.5,4000,0.0,1.0
2007-08-29,65.0,65.05,65.0,65.0,13900,0.0,1.0
2007-08-30,63.0,63.0,62.5,63.0,2400,0.0,1.0
2007-08-31,64.9,64.9,64.9,64.9,490,0.0,1.0
2007-09-04,63.25,63.25,62.5,63.25,10000,0.0,1.0
2007-09-05,62.0,62.0,62.0,62.0,200,0.0,1.0
2007-09-06,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-07,61.5,61.5,61.5,61.5,1500,0.0,1.0
2007-09-10,61.55,61.55,61.5,61.55,11400,0.0,1.0
2007-09-11,61.55,61.55,61.55,61.55,0,0.0,1.0
2007-09-12,61.55,61.55,61.55,61.55,0,0.0,1.0
2007-09-13,61.25,61.25,61.25,61.25,20100,0.0,1.0
2007-09-14,61.25,61.25,61.25,61.25,0,0.0,1.0
2007-09-17,61.5,61.5,61.5,61.5,300,0.0,1.0
2007-09-18,61.0,61.5,60.35,61.0,49600,0.0,1.0
2007-09-19,61.5,61.5,61.5,61.5,2500,0.0,1.0
2007-09-20,62.0,62.0,61.75,62.0,68800,0.0,1.0
2007-09-21,62.0,62.0,62.0,62.0,0,0.0,1.0
2007-09-24,60.5,62.0,60.25,60.5,20700,0.0,1.0
2007-09-25,60.5,60.5,60.5,60.5,0,0.0,1.0
2007-09-26,60.5,60.5,60.5,60.5,0,0.0,1.0
2007-09-27,60.5,60.5,60.5,60.5,0,0.0,1.0
2007-09-28,68.5,70.25,68.5,68.5,8100,0.0,1.0
2007-10-01,70.5,70.5,70.5,70.5,900,0.0,1.0
2007-10-02,69.3,70.0,69.3,69.3,2100,0.0,1.0
2007-10-03,69.3,69.3,69.3,69.3,0,0.0,1.0
2007-10-04,69.3,69.3,69.3,69.3,0,0.0,1.0
2007-10-05,69.3,69.3,69.3,69.3,0,0.0,1.0
2007-10-08,67.0,67.0,67.0,67.0,100,0.0,1.0
2007-10-09,67.0,67.0,67.0,67.0,0,0.0,1.0
2007-10-10,70.02,70.02,69.5,70.02,27800,0.0,1.0
2007-10-11,71.0,71.0,70.0,71.0,5200,0.0,1.0
2007-10-12,71.0,71.0,71.0,71.0,0,0.0,1.0
2007-10-15,71.0,71.0,71.0,71.0,0,0.0,1.0
2007-10-16,71.0,71.0,71.0,71.0,0,0.0,1.0
2007-10-17,65.0,70.25,65.0,65.0,3700,0.0,1.0
2007-10-18,70.0,70.0,69.0,70.0,4700,0.0,1.0
2007-10-19,67.75,70.05,67.75,67.75,9100,0.0,1.0
2007-10-22,67.75,67.75,67.75,67.75,0,0.0,1.0
2007-10-23,66.5,66.5,66.5,66.5,280,0.0,1.0
2007-10-24,66.5,66.5,66.5,66.5,0,0.0,1.0
2007-10-25,65.5,65.5,65.5,65.5,200,0.0,1.0
2007-10-26,65.5,65.5,65.5,65.5,2000,0.0,1.0
2007-10-29,65.5,65.5,65.5,65.5,0,0.0,1.0
2007-10-30,67.75,67.75,67.5,67.75,1500,0.0,1.0
2007-10-31,69.2,69.5,67.89,69.2,142400,0.0,1.0
2007-11-01,69.5,69.5,69.5,69.5,120,0.0,1.0
2007-11-02,69.5,69.5,69.5,69.5,0,0.0,1.0
2007-11-05,65.25,65.25,65.25,65.25,1100,0.0,1.0
2007-11-06,67.5,67.5,67.5,67.5,12800,0.0,1.0
2007-11-07,67.5,67.5,67.5,67.5,0,0.0,1.0
2007-11-08,66.5,66.5,66.5,66.5,1300,0.0,1.0
2007-11-09,66.5,66.5,66.5,66.5,0,0.0,1.0
2007-11-12,66.5,66.5,66.5,66.5,0,0.0,1.0
2007-11-13,66.5,66.5,66.5,66.5,0,0.0,1.0
2007-11-14,66.0,66.0,66.0,66.0,100,0.0,1.0
2007-11-15,66.0,66.0,66.0,66.0,100,0.0,1.0
2007-11-16,66.0,66.0,66.0,66.0,100,0.0,1.0
2007-11-19,66.0,66.0,66.0,66.0,100,0.0,1.0
2007-11-20,63.0,64.53,63.0,63.0,121000,0.0,1.0
2007-11-21,62.5,62.5,61.5,62.5,6300,0.0,1.0
2007-11-23,62.0,63.0,62.0,62.0,4300,0.0,1.0
2007-11-26,63.5,63.5,61.0,63.5,740,0.0,1.0
2007-11-27,64.0,64.0,64.0,64.0,2600,0.0,1.0
2007-11-28,63.4,63.4,63.0,63.4,20600,0.0,1.0
2007-11-29,65.0,65.0,61.0,65.0,23900,0.0,1.0
2007-11-30,64.0,64.0,62.0,64.0,980,0.0,1.0
2007-12-03,64.0,64.0,64.0,64.0,230,0.0,1.0
2007-12-04,64.0,64.0,64.0,64.0,0,0.0,1.0
2007-12-05,62.75,66.25,62.75,62.75,24000,0.0,1.0
2007-12-06,65.0,66.0,64.0,65.0,13500,0.0,1.0
2007-12-07,66.0,66.0,66.0,66.0,810,0.0,1.0
2007-12-10,67.86,67.86,67.86,67.86,9300,0.0,1.0
2007-12-11,67.37,67.37,67.0,67.37,1700,0.0,1.0
2007-12-12,67.37,67.37,67.37,67.37,0,0.0,1.0
2007-12-13,67.37,67.37,67.37,67.37,0,0.0,1.0
2007-12-14,67.37,67.37,67.37,67.37,0,0.0,1.0
2007-12-17,64.9,66.5,63.5,64.9,10400,0.0,1.0
2007-12-18,64.9,64.9,64.9,64.9,0,0.0,1.0
2007-12-19,64.0,64.98,64.0,64.0,1200,0.0,1.0
2007-12-20,63.05,64.25,63.05,63.05,4700,0.0,1.0
2007-12-21,63.05,63.05,63.05,63.05,0,0.0,1.0
2007-12-24,63.05,63.05,63.05,63.05,0,0.0,1.0
