date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,26.56,27.13,26.56,26.88,4000,0.0,1.0
1999-11-02,27.13,27.13,27.13,27.13,100,0.0,1.0
1999-11-03,26.94,27.5,26.94,27.06,10400,0.0,1.0
1999-11-04,27.31,27.63,27.25,27.63,48400,0.0,1.0
1999-11-05,27.38,27.38,27.38,27.38,1200,0.0,1.0
1999-11-08,27.13,27.38,27.13,27.25,400,0.0,1.0
1999-11-09,27.63,29.38,27.63,29.13,7000,0.0,1.0
1999-11-10,30.0,30.0,29.75,29.75,13000,0.0,1.0
1999-11-11,30.25,31.25,30.25,31.0,10100,0.0,1.0
1999-11-12,31.0,31.0,30.75,30.75,16600,0.0,1.0
1999-11-15,30.75,30.75,30.75,30.75,0,0.0,1.0
1999-11-16,31.25,31.25,30.75,31.25,17800,0.0,1.0
1999-11-17,30.5,30.75,30.0,30.0,20200,0.0,1.0
1999-11-18,30.0,31.0,30.0,30.81,7500,0.0,1.0
1999-11-19,30.63,31.0,30.63,31.0,19300,0.0,1.0
1999-11-22,31.0,31.0,30.88,30.94,1800,0.0,1.0
1999-11-23,31.75,32.5,31.5,31.5,32100,0.0,1.0
1999-11-24,31.25,31.5,31.0,31.5,13200,0.0,1.0
1999-11-26,31.75,31.75,31.56,31.56,4600,0.0,1.0
1999-11-29,31.63,31.63,31.5,31.5,9400,0.0,1.0
1999-11-30,31.75,31.88,31.5,31.75,31800,0.0,1.0
1999-12-01,31.38,32.56,31.38,32.5,16100,0.0,1.0
1999-12-02,33.38,34.0,33.38,33.75,63900,0.0,1.0
1999-12-03,34.0,34.5,34.0,34.25,63900,0.0,1.0
1999-12-06,34.13,34.13,33.0,33.13,13600,0.0,1.0
1999-12-07,33.13,33.13,33.13,33.13,4700,0.0,1.0
1999-12-08,33.63,33.88,32.8,33.25,47600,0.0,1.0
1999-12-09,33.25,33.25,32.25,32.25,12900,0.0,1.0
1999-12-10,33.0,33.0,32.0,32.25,11500,0.0,1.0
1999-12-13,32.0,32.0,31.75,31.75,1100,0.0,1.0
1999-12-14,32.0,32.06,31.44,31.5,222900,0.0,1.0
1999-12-15,33.0,33.25,32.38,32.56,20700,0.0,1.0
1999-12-16,33.0,33.0,32.63,32.63,6000,0.0,1.0
1999-12-17,33.0,33.56,32.63,33.38,7900,0.0,1.0
1999-12-20,33.75,34.13,33.75,34.13,10000,0.0,1.0
1999-12-21,34.13,35.25,34.13,34.88,12800,0.0,1.0
1999-12-22,35.13,36.25,35.0,36.25,25000,0.0,1.0
1999-12-23,36.5,36.5,35.0,35.0,11200,0.0,1.0
1999-12-27,35.0,36.0,35.0,35.25,10400,0.0,1.0
1999-12-28,35.0,35.0,35.0,35.0,200,0.0,1.0
1999-12-29,35.5,36.5,35.5,36.5,3100,0.0,1.0
1999-12-30,37.0,37.0,37.0,37.0,700,0.0,1.0
1999-12-31,36.75,36.75,36.75,36.75,1400,0.0,1.0
2000-01-03,37.25,39.31,37.25,39.31,2014300,0.454,1.0
2000-01-04,39.0,40.94,38.38,40.25,31800,0.0,1.0
2000-01-05,39.5,43.0,39.5,43.0,21600,0.0,1.0
2000-01-06,44.0,44.25,43.75,44.25,62800,0.0,1.0
2000-01-07,44.63,45.0,44.25,44.25,287000,0.0,1.0
2000-01-10,45.0,45.25,45.0,45.25,92800,0.0,1.0
2000-01-11,44.25,44.25,43.0,43.0,20900,0.0,1.0
2000-01-12,42.25,42.25,41.0,41.0,17200,0.0,1.0
2000-01-13,40.88,40.88,40.0,40.31,3100,0.0,1.0
2000-01-14,37.75,37.75,36.63,37.38,141200,0.0,1.0
2000-01-18,37.38,38.63,37.38,38.0,8000,0.0,1.0
2000-01-19,37.25,37.5,37.25,37.25,31400,0.0,1.0
2000-01-20,36.75,36.75,36.13,36.38,52600,0.0,1.0
2000-01-21,35.0,35.0,34.0,34.88,131300,0.0,1.0
2000-01-24,36.25,36.25,35.25,35.25,42500,0.0,1.0
2000-01-25,35.0,35.25,34.75,35.25,27100,0.0,1.0
