date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-04-02,1960.0,1960.0,1930.0,1960.0,215,0.0,1.0
2008-04-03,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-04,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-07,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-08,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-09,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-10,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-11,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-14,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-15,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-16,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-17,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-18,1960.0,1960.0,1960.0,1960.0,0,0.0,1.0
2008-04-21,1650.0,1650.0,1650.0,1650.0,12,0.0,1.0
2008-04-22,1645.0,1645.0,1645.0,1645.0,20,0.0,1.0
2008-04-23,1645.0,1645.0,1645.0,1645.0,0,0.0,1.0
2008-04-24,1684.0,1684.0,1684.0,1684.0,20,0.0,1.0
2008-04-25,1760.0,1760.0,1710.0,1760.0,120,0.0,1.0
2008-04-28,1740.0,1740.0,1740.0,1740.0,10,0.0,1.0
2008-04-29,1740.0,1740.0,1740.0,1740.0,0,0.0,1.0
2008-04-30,1740.0,1740.0,1740.0,1740.0,0,0.0,1.0
2008-05-01,1740.0,1740.0,1740.0,1740.0,0,0.0,1.0
2008-05-02,1740.0,1740.0,1740.0,1740.0,0,0.0,1.0
2008-05-05,1730.0,1730.0,1730.0,1730.0,30,0.0,1.0
2008-05-06,1730.0,1730.0,1730.0,1730.0,0,0.0,1.0
2008-05-07,1730.0,1730.0,1730.0,1730.0,0,0.0,1.0
2008-05-08,1730.0,1730.0,1730.0,1730.0,0,0.0,1.0
2008-05-09,1800.0,1800.0,1800.0,1800.0,6,0.0,1.0
2008-05-12,1800.0,1800.0,1800.0,1800.0,0,0.0,1.0
2008-05-13,1800.0,1800.0,1800.0,1800.0,0,0.0,1.0
2008-05-14,1800.0,1800.0,1800.0,1800.0,0,0.0,1.0
2008-05-15,1800.0,1800.0,1800.0,1800.0,0,0.0,1.0
2008-05-16,1800.0,1800.0,1800.0,1800.0,0,0.0,1.0
2008-05-19,1800.0,1800.0,1800.0,1800.0,0,0.0,1.0
2008-05-20,1802.0,1802.0,1802.0,1802.0,10,0.0,1.0
2008-05-21,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-05-22,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-05-23,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-05-27,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-05-28,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-05-29,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-05-30,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-02,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-03,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-04,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-05,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-06,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-09,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-10,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-11,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-12,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-13,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-16,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-17,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-18,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-19,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-20,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
2008-06-23,1802.0,1802.0,1802.0,1802.0,0,0.0,1.0
