date,open_price,high_price,low_price,close_price,volume,dividend,split
2000-03-23,8.75,9.38,8.69,9.38,17882300,0.0,1.0
2000-03-24,9.44,9.44,9.19,9.31,3261600,0.0,1.0
2000-03-27,9.38,9.5,9.12,9.19,3128600,0.0,1.0
2000-03-28,9.06,9.19,8.88,9.19,1825100,0.0,1.0
2000-03-29,9.19,9.44,9.19,9.38,1574100,0.0,1.0
2000-03-30,9.38,10.5,9.31,10.5,3056400,0.0,1.0
2000-03-31,10.56,10.88,10.31,10.81,2223400,0.0,1.0
2000-04-03,10.75,10.88,10.38,10.75,1747200,0.0,1.0
2000-04-04,10.69,11.0,9.31,10.06,2002500,0.0,1.0
2000-04-05,9.75,10.62,9.75,10.56,1582500,0.0,1.0
2000-04-06,10.5,10.69,10.38,10.62,807300,0.0,1.0
2000-04-07,10.56,10.69,10.31,10.44,760700,0.0,1.0
2000-04-10,10.31,10.56,10.0,10.38,1537000,0.0,1.0
2000-04-11,10.06,10.5,10.06,10.44,953000,0.0,1.0
2000-04-12,10.56,11.69,10.38,11.69,1306600,0.0,1.0
2000-04-13,11.56,11.81,11.31,11.56,1165000,0.0,1.0
2000-04-14,11.25,11.31,10.44,10.81,1879800,0.0,1.0
2000-04-17,10.44,10.88,10.44,10.81,725300,0.0,1.0
2000-04-18,10.81,11.44,10.81,11.31,765100,0.0,1.0
2000-04-19,11.31,11.81,10.75,11.44,1068600,0.0,1.0
2000-04-20,11.31,11.62,11.31,11.5,527500,0.0,1.0
2000-04-24,11.62,11.62,11.06,11.06,570000,0.0,1.0
2000-04-25,11.25,12.25,11.25,11.94,805500,0.0,1.0
2000-04-26,11.81,12.0,11.56,11.69,456500,0.0,1.0
2000-04-27,11.44,12.0,11.25,11.94,586900,0.0,1.0
2000-04-28,12.0,12.19,11.69,12.06,516800,0.0,1.0
2000-05-01,12.12,12.12,11.38,11.88,377300,0.0,1.0
2000-05-02,11.75,12.12,11.69,12.0,650600,0.0,1.0
2000-05-03,12.0,12.0,11.62,11.69,358300,0.0,1.0
