date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-11-05,2.25,2.25,2.25,2.25,173,0.0,1.0
2008-11-06,2.25,2.25,2.25,2.25,0,0.0,1.0
2008-11-07,2.25,2.25,2.25,2.25,0,0.0,1.0
2008-11-10,2.25,2.25,2.25,2.25,0,0.0,1.0
2008-11-11,2.25,2.25,2.25,2.25,0,0.0,1.0
2008-11-12,2.25,2.25,2.25,2.25,0,0.0,1.0
2008-11-13,2.25,2.25,2.25,2.25,0,0.0,1.0
2008-11-14,2.25,2.25,2.25,2.25,0,0.0,1.0
2008-11-17,2.25,2.25,2.25,2.25,0,0.0,1.0
2008-11-18,2.28,2.28,2.28,2.28,2400,0.0,1.0
2008-11-19,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-11-20,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-11-21,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-11-24,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-11-25,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-11-26,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-11-28,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-01,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-02,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-03,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-04,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-05,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-08,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-09,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-10,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-11,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-12,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-15,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-16,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-17,2.28,2.28,2.28,2.28,0,0.0,1.0
2008-12-18,2.1,2.1,2.1,2.1,618,0.0,1.0
2008-12-19,2.16,2.16,2.16,2.16,208,0.0,1.0
2008-12-22,2.16,2.16,2.16,2.16,0,0.0,1.0
2008-12-23,2.16,2.16,2.16,2.16,0,0.0,1.0
2008-12-24,2.16,2.16,2.16,2.16,0,0.0,1.0
2008-12-26,2.16,2.16,2.16,2.16,0,0.0,1.0
2008-12-29,2.16,2.16,2.16,2.16,0,0.0,1.0
2008-12-30,2.16,2.16,2.16,2.16,0,0.0,1.0
2008-12-31,2.16,2.16,2.16,2.16,0,0.0,1.0
2009-01-02,2.16,2.16,2.16,2.16,0,0.0,1.0
2009-01-05,2.16,2.16,2.16,2.16,0,0.0,1.0
2009-01-06,2.16,2.16,2.16,2.16,0,0.0,1.0
2009-01-07,2.16,2.16,2.16,2.16,0,0.0,1.0
2009-01-08,2.16,2.16,2.16,2.16,0,0.0,1.0
2009-01-09,2.16,2.16,2.16,2.16,0,0.0,1.0
2009-01-12,2.45,2.45,2.45,2.45,208,0.0,1.0
2009-01-13,2.45,2.45,2.45,2.45,0,0.0,1.0
2009-01-14,2.45,2.45,2.45,2.45,0,0.0,1.0
2009-01-15,2.45,2.45,2.45,2.45,0,0.0,1.0
2009-01-16,2.45,2.45,2.45,2.45,0,0.0,1.0
2009-01-20,2.45,2.45,2.45,2.45,0,0.0,1.0
2009-01-21,2.27,2.27,2.27,2.27,21400,0.0,1.0
2009-01-22,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-01-23,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-01-26,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-01-27,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-01-28,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-01-29,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-01-30,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-02,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-03,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-04,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-05,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-06,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-09,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-10,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-11,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-12,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-13,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-17,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-18,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-19,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-20,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-23,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-24,2.27,2.27,2.27,2.27,0,0.0,1.0
2009-02-25,1.75,1.75,1.75,1.75,41000,0.0,1.0
2009-02-26,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-02-27,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-03-02,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-03-03,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-03-04,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-03-05,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-03-06,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-03-09,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-03-10,1.75,1.75,1.75,1.75,0,0.0,1.0
2009-03-11,1.7,1.7,1.7,1.7,1000,0.0,1.0
2009-03-12,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-13,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-16,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-17,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-18,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-19,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-20,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-23,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-24,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-25,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-26,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-27,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-30,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-03-31,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-04-01,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-04-02,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-04-03,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-04-06,1.7,1.7,1.7,1.7,0,0.0,1.0
2009-04-07,1.95,1.95,1.95,1.95,223,0.0,1.0
2009-04-08,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-09,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-13,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-14,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-15,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-16,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-17,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-20,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-21,1.95,1.95,1.95,1.95,0,0.0,1.0
2009-04-22,2.4,2.41,1.45,2.41,3000,0.0,1.0
2009-04-23,2.4,2.41,1.45,2.41,0,0.0,1.0
2009-04-24,2.4,2.41,1.45,2.41,0,0.0,1.0
2009-04-27,2.4,2.41,1.45,2.41,0,0.0,1.0
2009-04-28,2.4,2.41,1.45,2.41,0,0.0,1.0
2009-04-29,2.4,2.41,1.45,2.41,0,0.0,1.0
2009-04-30,2.4,2.41,1.45,2.41,0,0.0,1.0
2009-05-01,2.4,2.41,1.45,2.41,0,0.0,1.0
2009-05-04,2.4,2.41,1.45,2.41,0,0.0,1.0
2009-05-05,3.0,3.0,3.0,3.0,223,0.0,1.0
2009-05-06,3.0,3.0,3.0,3.0,0,0.0,1.0
2009-05-07,3.0,3.0,3.0,3.0,0,0.0,1.0
2009-05-08,3.8,3.8,3.78,3.78,47600,0.0,1.0
2009-05-11,3.8,3.8,3.78,3.78,0,0.0,1.0
2009-05-12,4.75,4.75,4.75,4.75,400,0.0,1.0
2009-05-13,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-14,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-15,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-18,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-19,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-20,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-21,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-22,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-26,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-27,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-28,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-05-29,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-01,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-02,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-03,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-04,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-05,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-08,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-09,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-10,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-11,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-12,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-15,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-16,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-17,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-18,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-19,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-22,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-23,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-24,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-25,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-26,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-29,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-06-30,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-01,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-02,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-06,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-07,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-08,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-09,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-10,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-13,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-14,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-15,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-16,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-17,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-20,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-21,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-22,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-23,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-24,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-27,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-28,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-29,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-30,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-07-31,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-03,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-04,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-05,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-06,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-07,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-10,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-11,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-12,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-13,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-14,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-17,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-18,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-19,4.75,4.75,4.75,4.75,0,0.0,1.0
2009-08-20,6.75,6.75,6.75,6.75,300,0.0,1.0
2009-08-21,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-08-24,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-08-25,6.75,6.75,6.75,6.75,0,0.0,1.0
2009-08-26,7.75,7.75,7.75,7.75,2000,0.0,1.0
2009-08-27,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-08-28,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-08-31,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-01,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-02,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-03,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-04,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-08,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-09,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-10,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-11,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-14,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-15,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-16,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-17,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-18,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-21,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-22,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-23,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-24,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-25,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-28,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-29,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-09-30,7.75,7.75,7.75,7.75,0,0.0,1.0
2009-10-01,7.5,7.5,7.5,7.5,134,0.0,1.0
2009-10-02,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-05,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-06,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-07,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-08,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-09,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-12,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-13,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-14,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-15,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-16,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-19,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-20,7.5,7.5,7.5,7.5,0,0.0,1.0
2009-10-21,7.5,7.5,7.5,7.5,0,0.0,1.0
