date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,40.12,40.25,40.0,40.06,50300,0.0,1.0
1999-11-02,40.0,40.12,39.81,40.12,66800,0.0,1.0
1999-11-03,40.12,40.5,40.12,40.5,20600,0.0,1.0
1999-11-04,40.62,40.62,40.25,40.31,65100,0.0,1.0
1999-11-05,40.38,40.38,39.81,40.12,69900,0.0,1.0
1999-11-08,40.0,40.12,39.62,39.88,35300,0.0,1.0
1999-11-09,40.0,40.25,39.38,39.56,75200,0.0,1.0
1999-11-10,39.44,39.88,39.25,39.69,96100,0.0,1.0
1999-11-11,40.25,40.5,40.0,40.25,85100,0.0,1.0
1999-11-12,40.31,40.38,40.12,40.12,79600,0.0,1.0
1999-11-15,40.12,40.5,40.12,40.5,69000,0.0,1.0
1999-11-16,40.5,41.25,40.5,41.12,16100,0.0,1.0
1999-11-17,41.25,41.38,40.88,41.25,15000,0.0,1.0
1999-11-18,41.38,41.94,41.12,41.12,94500,0.0,1.0
1999-11-19,41.25,41.25,40.38,40.38,29000,0.0,1.0
1999-11-22,40.25,40.25,39.88,39.88,16400,0.0,1.0
1999-11-23,39.75,40.62,39.5,40.5,145900,0.0,1.0
1999-11-24,40.56,41.0,40.5,40.56,53000,0.0,1.0
1999-11-26,40.5,40.62,40.38,40.38,56100,0.0,1.0
1999-11-29,40.38,40.44,39.75,40.44,79900,0.0,1.0
1999-11-30,40.44,40.5,40.0,40.19,78000,0.0,1.0
1999-12-01,40.31,40.31,39.69,39.88,49100,0.0,1.0
1999-12-02,39.88,39.94,39.56,39.56,18700,0.0,1.0
1999-12-03,39.44,39.94,39.38,39.88,27300,0.0,1.0
1999-12-06,39.88,40.25,39.88,40.06,67700,0.0,1.0
1999-12-07,40.06,40.38,40.0,40.38,20500,0.0,1.0
1999-12-08,40.5,40.5,40.0,40.25,19900,0.0,1.0
1999-12-09,40.25,40.25,39.88,40.0,51100,0.0,1.0
1999-12-10,40.12,40.25,39.38,39.44,33000,0.0,1.0
1999-12-13,39.44,39.44,38.75,38.88,47900,0.0,1.0
1999-12-14,38.75,38.88,37.0,37.12,83300,0.0,1.0
1999-12-15,37.0,37.12,36.81,36.94,55300,0.0,1.0
1999-12-16,37.0,38.62,36.75,38.62,100700,0.0,1.0
1999-12-17,38.62,39.75,38.0,38.31,200700,0.0,1.0
1999-12-20,38.31,38.31,37.56,38.25,52200,0.0,1.0
1999-12-21,38.5,38.5,37.88,38.06,42400,0.0,1.0
1999-12-22,38.31,38.56,37.12,38.5,57900,0.0,1.0
1999-12-23,38.62,39.0,38.5,38.5,20600,0.0,1.0
1999-12-27,38.5,39.5,38.5,39.38,27700,0.0,1.0
1999-12-28,39.38,40.0,39.12,40.0,16000,0.0,1.0
1999-12-29,39.75,39.88,39.12,39.88,15600,0.0,1.0
1999-12-30,40.0,40.12,39.62,39.62,19000,0.0,1.0
1999-12-31,39.75,40.25,39.69,40.25,41900,0.0,1.0
2000-01-03,40.25,40.25,38.0,38.25,57000,0.0,1.0
2000-01-04,38.0,38.0,36.5,36.75,42300,0.0,1.0
2000-01-05,36.88,37.62,36.31,37.5,54500,0.0,1.0
2000-01-06,37.38,38.88,37.38,38.75,29600,0.0,1.0
2000-01-07,39.0,39.5,38.81,39.38,66100,0.0,1.0
2000-01-10,39.62,40.0,39.25,39.94,56900,0.0,1.0
2000-01-11,39.75,39.75,38.5,38.5,22500,0.0,1.0
2000-01-12,38.5,38.5,38.0,38.12,9500,0.0,1.0
2000-01-13,38.25,39.5,38.25,39.38,22500,0.0,1.0
2000-01-14,39.25,39.31,39.0,39.0,21500,0.0,1.0
2000-01-18,39.19,39.19,37.88,37.88,18700,0.0,1.0
2000-01-19,37.5,37.88,37.31,37.5,40100,0.0,1.0
2000-01-20,37.56,38.62,37.56,38.25,38900,0.0,1.0
2000-01-21,38.25,38.38,37.62,37.69,49900,0.0,1.0
2000-01-24,37.94,38.75,37.69,37.88,39900,0.0,1.0
2000-01-25,38.12,38.12,36.25,36.69,20700,0.0,1.0
