date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-09-22,13.98,13.98,13.73,13.98,8988,0.0,1.0
2017-09-25,13.56,13.73,13.56,13.73,24476,0.0,1.0
2017-09-26,13.81,13.81,13.66,13.81,6916,0.0,1.0
2017-09-27,13.58,13.86,13.51,13.86,11681,0.0,1.0
2017-09-28,13.7,13.71,13.56,13.65,7632,0.0,1.0
2017-09-29,13.46,13.46,13.27,13.4,6515,0.0,1.0
2017-10-02,13.11,13.32,13.11,13.12,5295,0.0,1.0
2017-10-03,13.19,13.25,13.0,13.2,9137,0.0,1.0
2017-10-04,13.25,13.28,13.07,13.12,10376,0.0,1.0
2017-10-05,13.22,13.28,13.16,13.19,14386,0.0,1.0
2017-10-06,13.19,13.19,12.96,13.06,4018,0.0,1.0
2017-10-09,12.9,13.06,12.89,13.06,9677,0.0,1.0
2017-10-10,13.14,13.2,13.06,13.13,10635,0.0,1.0
2017-10-11,13.3,13.3,13.12,13.22,10431,0.0,1.0
2017-10-12,13.3,13.33,13.22,13.22,9311,0.0,1.0
2017-10-13,13.38,13.49,13.38,13.47,3402,0.0,1.0
2017-10-16,13.38,13.5,13.31,13.5,6185,0.0,1.0
2017-10-17,13.31,13.37,13.17,13.37,5672,0.0,1.0
2017-10-18,13.11,13.52,13.08,13.21,7313,0.0,1.0
2017-10-19,13.3,13.3,13.16,13.28,31342,0.0,1.0
2017-10-20,13.3,13.4,13.21,13.4,6413,0.0,1.0
2017-10-23,13.47,13.71,13.47,13.71,5160,0.0,1.0
2017-10-24,13.49,13.49,13.02,13.34,115115,0.0,1.0
2017-10-25,13.56,13.56,13.28,13.33,14273,0.0,1.0
2017-10-26,13.54,13.65,13.54,13.59,15021,0.0,1.0
2017-10-27,13.92,14.12,13.92,14.12,7435,0.0,1.0
2017-10-30,13.86,14.12,13.86,14.02,14661,0.0,1.0
2017-10-31,13.61,13.89,13.57,13.89,12868,0.0,1.0
2017-11-01,13.57,13.66,13.45,13.62,11213,0.0,1.0
2017-11-02,13.43,13.59,13.31,13.56,5359,0.0,1.0
2017-11-03,13.7,13.71,13.36,13.71,8234,0.0,1.0
2017-11-06,13.13,13.9,13.09,13.9,5044,0.0,1.0
2017-11-07,13.36,13.75,13.36,13.59,10087,0.0,1.0
2017-11-08,13.52,13.63,13.41,13.54,6764,0.0,1.0
2017-11-09,13.39,13.53,13.24,13.51,4659,0.0,1.0
2017-11-10,13.25,13.51,13.2,13.36,5470,0.0,1.0
2017-11-13,13.44,13.63,13.44,13.63,14818,0.0,1.0
2017-11-14,13.3,13.44,13.3,13.36,22594,0.0,1.0
2017-11-15,13.56,13.73,13.52,13.62,26874,0.0,1.0
2017-11-16,13.45,13.78,13.45,13.76,8245,0.0,1.0
2017-11-17,13.62,13.88,13.57,13.87,29109,0.0,1.0
2017-11-20,13.55,13.83,13.54,13.72,14435,0.0,1.0
2017-11-21,13.64,13.95,13.64,13.8,10832,0.0,1.0
2017-11-22,13.5,13.78,13.5,13.78,20629,0.0,1.0
2017-11-24,13.62,13.83,13.41,13.65,5509,0.0,1.0
2017-11-27,13.68,13.68,13.38,13.44,10822,0.0,1.0
2017-11-28,13.3,13.6,13.23,13.42,12614,0.0,1.0
2017-11-29,13.3,13.65,13.3,13.48,16590,0.0,1.0
2017-11-30,13.85,13.97,13.7,13.76,20285,0.0,1.0
2017-12-01,13.59,13.91,13.38,13.68,16292,0.0,1.0
2017-12-04,13.68,13.92,13.63,13.92,22288,0.0,1.0
2017-12-05,13.76,13.89,13.69,13.89,22291,0.0,1.0
2017-12-06,13.81,13.96,13.74,13.96,7245,0.0,1.0
2017-12-07,13.84,13.94,13.77,13.85,17327,0.0,1.0
2017-12-08,13.79,13.97,13.67,13.83,18073,0.0,1.0
2017-12-11,13.74,14.0,13.74,13.82,7975,0.0,1.0
