date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-09-25,16.38,16.4,16.36,16.4,1142,0.0,1.0
2017-09-26,16.21,16.21,16.21,16.21,12941,0.0,1.0
2017-09-28,16.07,16.07,16.07,16.07,191,0.0,1.0
2017-10-02,16.07,16.07,16.07,16.07,33,0.0,1.0
2017-10-03,16.35,16.35,16.35,16.35,3069,0.0,1.0
2017-10-04,16.33,16.34,16.33,16.34,297,0.0,1.0
2017-10-10,16.34,16.34,16.34,16.34,17,0.0,1.0
2017-10-12,16.5,16.51,16.5,16.51,415,0.0,1.0
2017-10-13,16.63,16.64,16.63,16.64,850,0.0,1.0
2017-10-18,16.5,16.54,16.5,16.54,384,0.0,1.0
2017-10-19,16.54,16.54,16.54,16.54,61,0.0,1.0
2017-10-23,16.61,16.61,16.61,16.61,2883,0.0,1.0
2017-10-24,16.75,16.76,16.75,16.76,211,0.0,1.0
2017-10-26,16.75,16.75,16.7,16.7,2596,0.0,1.0
2017-10-27,16.89,16.9,16.89,16.9,231,0.0,1.0
2017-10-31,16.9,16.9,16.9,16.9,50,0.0,1.0
2017-11-01,16.9,16.9,16.9,16.9,20,0.0,1.0
2017-11-07,17.12,17.12,17.12,17.12,115,0.0,1.0
2017-11-08,17.2,17.21,17.2,17.21,534,0.0,1.0
2017-11-09,16.91,17.2,16.78,17.2,7168,0.0,1.0
2017-11-10,16.83,16.83,16.83,16.83,128,0.0,1.0
2017-11-13,17.04,17.09,17.04,17.04,1204,0.0,1.0
2017-11-14,16.93,16.96,16.86,16.86,438,0.0,1.0
2017-11-15,16.28,16.46,16.25,16.46,1237,0.0,1.0
2017-11-16,16.72,16.72,16.72,16.72,196,0.0,1.0
2017-11-17,16.61,16.68,16.61,16.68,1905,0.0,1.0
2017-11-20,16.8,16.8,16.8,16.8,1000,0.0,1.0
2017-11-21,17.39,17.39,17.39,17.39,373,0.0,1.0
2017-11-22,17.5,17.51,17.5,17.51,298,0.0,1.0
2017-11-24,17.45,17.45,17.45,17.45,192,0.0,1.0
2017-11-27,16.77,16.77,16.74,16.74,245,0.0,1.0
2017-11-28,16.74,16.74,16.74,16.74,35,0.0,1.0
2017-11-30,16.74,16.74,16.74,16.74,23,0.0,1.0
2017-12-04,16.74,16.74,16.74,16.74,30,0.0,1.0
2017-12-06,16.31,16.32,16.31,16.31,692,0.0,1.0
2017-12-07,16.2,16.2,16.2,16.2,4227,0.0,1.0
2017-12-08,16.48,16.48,16.19,16.19,1198,0.0,1.0
2017-12-13,16.58,16.63,16.57,16.63,2872,0.0,1.0
2017-12-14,16.73,16.73,16.73,16.73,256,0.0,1.0
2017-12-18,16.47,16.47,16.46,16.46,980,0.0,1.0
2017-12-19,16.63,16.64,16.55,16.55,5653,0.0,1.0
2017-12-20,16.77,16.78,16.76,16.76,749,0.0,1.0
2017-12-21,16.76,16.76,16.76,16.76,25,0.0,1.0
2017-12-22,17.02,17.03,16.93,17.02,880,0.0,1.0
2017-12-26,16.93,16.94,16.93,16.94,1331,0.0,1.0
2017-12-28,16.94,16.94,16.94,16.94,42,0.0,1.0
2018-01-02,17.01,17.01,17.01,17.01,187,0.0,1.0
2018-01-03,17.05,17.05,17.05,17.05,135,0.0,1.0
2018-01-04,17.33,17.36,17.33,17.36,480,0.0,1.0
2018-01-08,17.4,17.42,17.4,17.42,4361,0.0,1.0
2018-01-10,17.81,17.83,17.81,17.81,2100,0.0,1.0
2018-01-11,17.81,17.81,17.81,17.81,36,0.0,1.0
2018-01-18,17.6,17.62,17.54,17.54,4352,0.0,1.0
2018-01-22,17.64,17.64,17.64,17.64,100,0.0,1.0
2018-01-23,17.78,17.79,17.78,17.79,832,0.0,1.0
2018-01-24,17.84,17.87,17.84,17.87,460,0.0,1.0
2018-01-29,17.59,17.59,17.54,17.54,364,0.0,1.0
2018-01-31,17.07,17.34,17.07,17.34,665,0.0,1.0
2018-02-02,16.96,16.96,16.96,16.96,188,0.0,1.0
2018-02-06,15.86,15.95,15.85,15.95,4537,0.0,1.0
2018-02-07,15.95,15.95,15.95,15.95,38,0.0,1.0
2018-02-09,15.09,15.09,15.07,15.09,1882,0.0,1.0
2018-02-13,15.28,15.32,15.28,15.32,1567,0.0,1.0
2018-02-14,14.89,15.08,14.89,15.08,8836,0.0,1.0
2018-02-15,15.08,15.08,15.08,15.08,386729,0.0,1.0
2018-02-16,15.08,15.08,15.08,15.08,30,0.0,1.0
2018-02-22,15.49,15.49,15.49,15.49,100,0.0,1.0
2018-02-28,15.94,15.94,15.94,15.94,600,0.0,1.0
2018-03-05,15.53,15.53,15.47,15.47,1059,0.0,1.0
2018-03-15,15.37,15.37,15.37,15.37,233,0.0,1.0
2018-03-21,15.2,15.43,15.2,15.43,9800,0.0,1.0
2018-03-23,14.77,14.77,14.68,14.68,687,0.0,1.0
2018-04-16,15.32,15.32,15.32,15.32,105,0.0,1.0
2018-05-09,15.11,15.11,15.11,15.11,400,0.0,1.0
2018-05-16,16.0,16.0,16.0,16.0,200,0.0,1.0
2018-06-06,15.6,15.6,15.6,15.6,100,0.0,1.0
2018-06-11,15.56,15.56,15.56,15.56,200,0.0,1.0
2018-06-12,15.56,15.56,15.56,15.56,50,0.0,1.0
2018-06-25,14.78,14.78,14.78,14.78,100,0.0,1.0
2018-06-27,14.62,14.62,14.62,14.62,3283,0.0,1.0
2018-06-29,14.99,14.99,14.99,14.99,500,0.0,1.0
2018-07-19,14.99,14.99,14.99,14.99,50,0.0,1.0
2018-07-31,15.21,15.21,15.21,15.21,110,0.0,1.0
2018-08-07,16.43,16.43,16.31,16.31,300,0.0,1.0
2018-08-27,15.94,15.94,15.7,15.7,200,0.0,1.0
2018-08-30,15.88,15.88,15.88,15.88,530,0.0,1.0
2018-09-04,15.88,15.88,15.88,15.88,5,0.0,1.0
2018-09-05,15.31,15.31,15.31,15.31,200,0.0,1.0
2018-09-06,15.08,15.08,15.08,15.08,6007,0.0,1.0
2018-09-11,15.06,15.06,15.06,15.06,300,0.0,1.0
2018-09-12,14.81,14.81,14.81,14.81,300,0.0,1.0
2018-09-20,14.81,14.81,14.81,14.81,20,0.0,1.0
2018-10-08,15.27,15.27,15.27,15.27,100,0.0,1.0
2018-10-12,14.22,14.22,14.22,14.22,1600,0.0,1.0
2018-10-17,13.98,13.98,13.98,13.98,1600,0.0,1.0
2018-10-25,13.98,13.98,13.98,13.98,1400,0.0,1.0
2018-10-29,13.68,13.89,13.68,13.89,2000,0.0,1.0
2018-11-01,13.5,13.6,13.5,13.5,5200,0.0,1.0
2018-11-08,14.07,14.07,14.07,14.07,477,0.0,1.0
2018-11-12,13.56,13.56,13.56,13.56,200,0.0,1.0
2018-11-15,13.75,13.75,13.75,13.75,700,0.0,1.0
2018-11-19,14.13,14.13,14.13,14.13,1074,0.0,1.0
2018-11-20,13.54,13.54,13.54,13.54,500,0.0,1.0
2018-11-26,13.68,13.71,13.68,13.71,300,0.0,1.0
2018-11-28,14.08,14.08,14.08,14.08,100,0.0,1.0
2018-12-20,12.91,12.91,12.91,12.91,30680,0.0,1.0
2018-12-26,12.91,12.91,12.91,12.91,1,0.0,1.0
2019-01-16,13.69,13.69,13.68,13.68,300,0.0,1.0
2019-01-29,14.21,14.21,14.21,14.21,680,0.0,1.0
2019-02-05,14.21,14.21,14.21,14.21,300,0.0,1.0
2019-02-06,14.21,14.21,14.21,14.21,253,0.0,1.0
2019-02-14,14.21,14.21,14.21,14.21,50,0.0,1.0
2019-02-19,14.21,14.21,14.21,14.21,1400,0.0,1.0
2019-02-21,13.75,13.75,13.75,13.75,300,0.0,1.0
2019-02-27,14.04,14.06,14.04,14.06,1200,0.0,1.0
2019-03-05,13.9,13.9,13.61,13.61,2030,0.0,1.0
2019-03-08,13.61,13.61,13.61,13.61,13,0.0,1.0
2019-04-05,13.61,13.61,13.61,13.61,40,0.0,1.0
2019-04-08,13.61,13.61,13.61,13.61,13,0.0,1.0
2019-04-17,13.61,13.61,13.61,13.61,20,0.0,1.0
2019-04-18,13.8,13.8,13.8,13.8,175,0.0,1.0
2019-05-22,12.37,12.37,12.37,12.37,129,0.0,1.0
2019-05-29,12.37,12.37,12.37,12.37,2474,0.0,1.0
2019-05-31,11.97,11.97,11.97,11.97,197,0.0,1.0
2019-06-11,12.52,12.52,12.52,12.52,33900,0.0,1.0
2019-06-13,12.48,12.48,12.48,12.48,23200,0.0,1.0
2019-06-18,12.5,12.5,12.5,12.5,100,0.0,1.0
2019-07-09,13.06,13.06,13.06,13.06,100,0.0,1.0
2019-07-11,12.89,12.89,12.89,12.89,100,0.0,1.0
2019-07-15,12.7,13.1,12.7,13.1,555,0.0,1.0
2019-07-31,12.42,12.42,12.42,12.42,200,0.0,1.0
2019-08-05,11.86,11.86,11.86,11.86,200,0.0,1.0
2019-08-07,11.86,11.86,11.86,11.86,23100,0.0,1.0
2019-09-16,11.32,11.32,11.32,11.32,70,0.0,1.0
2019-09-17,11.32,11.32,11.32,11.32,33,0.0,1.0
2019-09-19,11.32,11.32,11.32,11.32,2001,0.0,1.0
2019-09-20,11.32,11.32,11.32,11.32,20,0.0,1.0
2019-10-02,11.1,11.1,11.1,11.1,112,0.0,1.0
2019-10-03,12.72,12.72,12.59,12.59,338,0.0,1.0
2019-10-04,12.65,12.65,12.65,12.65,126,0.0,1.0
2019-10-07,12.72,12.72,12.67,12.67,433,0.0,1.0
2019-10-08,12.67,12.67,12.67,12.67,80,0.0,1.0
2019-10-17,13.05,13.05,13.05,13.05,103,0.0,1.0
2019-10-18,13.28,13.28,12.96,12.96,505,0.0,1.0
2019-10-28,12.96,12.96,12.96,12.96,33,0.0,1.0
2019-11-04,12.96,12.96,12.96,12.96,77,0.0,1.0
2019-11-05,14.02,14.02,14.02,14.02,6572,0.0,1.0
2019-11-07,14.74,14.74,14.74,14.74,275,0.0,1.0
2019-11-18,14.74,14.74,14.74,14.74,10,0.0,1.0
2019-11-19,14.74,14.74,14.74,14.74,13,0.0,1.0
2019-11-25,14.36,14.64,14.36,14.64,14600,0.0,1.0
2019-11-26,14.61,14.7,14.61,14.7,300,0.0,1.0
2019-11-27,14.87,14.87,14.87,14.87,155,0.0,1.0
