date,open_price,high_price,low_price,close_price,volume,dividend,split
2012-06-21,18.18,18.18,18.18,18.18,200,0.0,1.0
2012-06-22,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-06-25,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-06-26,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-06-27,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-06-28,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-06-29,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-02,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-03,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-05,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-06,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-09,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-10,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-11,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-12,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-13,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-16,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-17,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-18,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-19,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-20,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-23,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-24,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-25,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-26,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-27,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-30,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-07-31,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-08-01,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-08-02,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-08-03,18.18,18.18,18.18,18.18,0,0.0,1.0
2012-08-06,20.35,21.0,20.35,21.0,2075,0.0,1.0
2012-08-07,20.35,20.35,20.12,20.12,26547,0.0,1.0
2012-08-08,20.12,20.12,20.12,20.12,0,0.0,1.0
2012-08-09,20.42,20.62,20.42,20.62,6687,0.0,1.0
2012-08-10,20.19,20.45,20.19,20.45,861,0.0,1.0
2012-08-13,20.4,20.4,20.4,20.4,399,0.0,1.0
2012-08-14,20.45,20.65,20.45,20.65,1203,0.0,1.0
2012-08-15,20.65,20.65,20.65,20.65,0,0.0,1.0
2012-08-16,20.65,20.65,20.65,20.65,0,0.0,1.0
2012-08-17,20.65,20.65,20.65,20.65,0,0.0,1.0
2012-08-20,19.94,19.94,19.94,19.94,200,0.0,1.0
2012-08-21,19.94,19.94,19.94,19.94,0,0.0,1.0
2012-08-22,19.85,19.85,19.85,19.85,275,0.0,1.0
