date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-10-18,8.48,8.82,8.2,8.82,4750,0.0,1.0
2011-10-19,8.38,8.73,8.38,8.64,4033,0.0,1.0
2011-10-20,8.55,8.55,8.24,8.25,1595,0.0,1.0
2011-10-21,8.58,8.72,8.58,8.72,6863,0.0,1.0
2011-10-24,8.57,8.96,8.57,8.96,11743,0.0,1.0
2011-10-25,8.48,8.78,8.46,8.78,1697,0.0,1.0
2011-10-26,8.5,8.5,8.5,8.5,1239,0.0,1.0
2011-10-27,9.08,9.4,9.08,9.4,3853,0.0,1.0
2011-10-28,9.13,9.46,9.13,9.13,963,0.0,1.0
2011-10-31,8.95,8.97,8.85,8.86,4492,0.0,1.0
2011-11-01,8.42,8.42,8.42,8.42,1405,0.0,1.0
2011-11-02,8.58,8.88,8.58,8.58,1257,0.0,1.0
2011-11-03,8.72,8.93,8.72,8.74,1749,0.0,1.0
2011-11-04,8.68,9.03,8.68,9.03,767,0.0,1.0
2011-11-07,8.69,8.96,8.68,8.69,1807,0.0,1.0
2011-11-08,8.59,8.95,8.59,8.95,672,0.0,1.0
2011-11-09,8.44,8.44,8.36,8.36,3114,0.0,1.0
2011-11-10,8.82,8.82,8.43,8.45,3437,0.0,1.0
2011-11-11,8.9,8.9,8.68,8.86,1270,0.0,1.0
2011-11-14,8.59,8.94,8.59,8.59,1582,0.0,1.0
2011-11-15,8.8,8.8,8.45,8.45,582,0.0,1.0
2011-11-16,8.51,8.85,8.51,8.55,1270,0.0,1.0
2011-11-17,8.46,8.46,8.31,8.31,1013,0.0,1.0
2011-11-18,8.2,8.21,8.2,8.21,618,0.0,1.0
2011-11-21,8.07,8.29,7.99,7.99,2724,0.0,1.0
2011-11-22,8.0,8.0,8.0,8.0,2400,0.0,1.0
2011-11-23,7.73,8.04,7.66,7.89,5464,0.0,1.0
2011-11-25,7.45,7.45,7.45,7.45,1114,0.0,1.0
2011-11-28,8.21,8.21,7.82,8.13,26727,0.0,1.0
2011-11-29,8.19,8.19,8.0,8.0,26491,0.0,1.0
2011-11-30,8.33,8.33,8.33,8.33,1993,0.0,1.0
2011-12-01,8.77,8.77,8.38,8.39,2411,0.0,1.0
2011-12-02,8.57,9.01,8.57,8.57,2212,0.0,1.0
2011-12-05,8.72,8.8,8.72,8.8,1662,0.0,1.0
2011-12-06,8.73,8.73,8.37,8.37,2076,0.0,1.0
2011-12-07,8.8,8.8,8.48,8.52,3499,0.0,1.0
2011-12-08,8.6,8.66,8.43,8.43,2001,0.0,1.0
2011-12-09,8.34,8.35,8.34,8.35,1254,0.0,1.0
2011-12-12,8.7,8.7,8.41,8.41,4405,0.0,1.0
2011-12-13,8.77,8.77,8.49,8.49,957,0.0,1.0
2011-12-14,8.11,8.43,8.11,8.11,2615,0.0,1.0
2011-12-15,8.4,8.43,8.18,8.43,1907,0.0,1.0
2011-12-16,8.18,8.18,8.18,8.18,2499,0.0,1.0
2011-12-19,7.97,8.29,7.97,7.97,3489,0.0,1.0
2011-12-20,8.14,8.42,8.14,8.42,1759,0.0,1.0
2011-12-21,8.21,8.54,8.21,8.28,3497,0.0,1.0
2011-12-22,8.19,8.58,8.19,8.58,7303,0.0,1.0
2011-12-23,8.75,8.75,8.47,8.62,14358,0.0,1.0
2011-12-27,8.38,8.75,8.38,8.75,2378,0.0,1.0
2011-12-28,8.47,8.47,8.2,8.46,1586,0.0,1.0
2011-12-29,8.58,8.63,8.25,8.63,2724,0.0,1.0
2011-12-30,8.68,8.68,8.38,8.68,3093,0.0,1.0
2012-01-03,8.96,8.96,8.6,8.6,3475,0.0,1.0
2012-01-04,8.69,9.08,8.69,8.76,2830,0.0,1.0
2012-01-05,9.05,9.05,8.67,8.72,3300,0.0,1.0
2012-01-06,8.74,8.74,8.5,8.5,2578,0.0,1.0
2012-01-09,8.5,8.5,8.17,8.17,1087,0.0,1.0
2012-01-10,8.45,8.5,8.45,8.45,6163,0.0,1.0
2012-01-11,8.5,8.7,8.5,8.7,26148,0.0,1.0
2012-01-12,8.78,8.78,8.39,8.45,6212,0.0,1.0
2012-01-13,8.39,8.65,8.39,8.39,1648,0.0,1.0
2012-01-17,8.61,8.83,8.56,8.56,2975,0.0,1.0
2012-01-18,8.37,8.44,8.37,8.44,5854,0.0,1.0
2012-01-19,8.31,8.66,8.31,8.32,1570,0.0,1.0
2012-01-20,8.49,8.85,8.49,8.49,1467,0.0,1.0
2012-01-23,8.58,8.59,8.58,8.59,1765,0.0,1.0
2012-01-24,8.82,8.82,8.48,8.53,1411,0.0,1.0
2012-01-25,8.58,8.86,8.58,8.86,3227,0.0,1.0
2012-01-26,9.1,9.1,8.75,8.75,3558,0.0,1.0
2012-01-27,8.8,9.0,8.8,8.88,3423,0.0,1.0
2012-01-30,8.64,8.9,8.64,8.9,7127,0.0,1.0
2012-01-31,8.76,9.05,8.76,8.76,6131,0.0,1.0
2012-02-01,9.15,9.15,8.84,9.02,6813,0.0,1.0
2012-02-02,8.85,9.21,8.85,8.85,4331,0.0,1.0
2012-02-03,8.79,8.83,8.79,8.83,2224,0.0,1.0
2012-02-06,8.71,8.71,8.71,8.71,6428,0.0,1.0
2012-02-07,8.87,8.89,8.7,8.89,3170,0.0,1.0
2012-02-08,9.06,9.1,9.06,9.1,2127,0.0,1.0
2012-02-09,8.92,9.19,8.92,8.92,735,0.0,1.0
2012-02-10,8.5,8.88,8.5,8.62,2249,0.0,1.0
2012-02-13,8.7,9.08,8.7,9.08,1045,0.0,1.0
2012-02-14,8.93,9.0,8.71,8.71,2843,0.0,1.0
2012-02-15,8.8,9.06,8.8,9.06,1943,0.0,1.0
2012-02-16,8.64,8.85,8.64,8.64,6268,0.0,1.0
2012-02-17,9.08,9.08,8.69,8.69,7698,0.0,1.0
2012-02-21,8.99,8.99,8.77,8.78,4195,0.0,1.0
2012-02-22,8.68,8.76,8.65,8.76,8585,0.0,1.0
2012-02-23,8.65,8.7,8.52,8.55,56215,0.0,1.0
2012-02-24,8.77,8.88,8.75,8.75,112625,0.0,1.0
2012-02-27,8.6,8.78,8.6,8.6,18224,0.0,1.0
2012-02-28,8.6,8.77,8.5,8.5,3614,0.0,1.0
2012-02-29,8.7,9.04,8.7,8.85,6479,0.0,1.0
2012-03-01,8.8,8.8,8.5,8.5,1085,0.21,1.0
2012-03-02,8.4,8.4,8.4,8.4,2894,0.0,1.0
2012-03-05,8.31,8.55,8.31,8.46,9779,0.0,1.0
2012-03-06,8.37,8.37,8.15,8.15,38495,0.0,1.0
2012-03-07,8.19,8.34,8.18,8.18,25296,0.0,1.0
2012-03-08,8.5,8.5,8.23,8.23,728,0.0,1.0
2012-03-09,8.37,8.39,8.36,8.36,4786,0.0,1.0
2012-03-12,8.18,8.49,8.18,8.49,1943,0.0,1.0
2012-03-13,8.3,8.65,8.3,8.65,1745,0.0,1.0
2012-03-14,8.38,8.38,8.38,8.38,185,0.0,1.0
2012-03-15,8.52,8.56,8.52,8.56,1576,0.0,1.0
2012-03-16,8.56,8.66,8.56,8.65,4285,0.0,1.0
2012-03-19,8.38,8.4,8.38,8.4,1308,0.0,1.0
2012-03-20,8.27,8.4,8.27,8.4,4269,0.0,1.0
2012-03-21,8.63,8.63,8.39,8.39,1164,0.0,1.0
2012-03-22,8.37,8.37,8.35,8.35,1331,0.0,1.0
2012-03-23,8.35,8.49,8.35,8.49,941,0.0,1.0
2012-03-26,8.38,8.7,8.38,8.4,16377,0.0,1.0
2012-03-27,8.47,8.8,8.47,8.8,3907,0.0,1.0
2012-03-28,8.46,8.5,8.46,8.5,690,0.0,1.0
2012-03-29,8.54,8.54,8.54,8.54,3391,0.0,1.0
2012-03-30,8.8,8.8,8.65,8.65,15901,0.0,1.0
2012-04-02,8.41,8.53,8.41,8.41,4098,0.0,1.0
2012-04-03,8.71,8.71,8.36,8.36,2270,0.0,1.0
2012-04-04,8.34,8.63,8.34,8.34,2632,0.0,1.0
2012-04-05,8.35,8.35,8.35,8.35,1927,0.0,1.0
2012-04-09,8.29,8.53,8.29,8.53,7124,0.0,1.0
2012-04-10,8.5,8.5,8.24,8.26,2772,0.0,1.0
2012-04-11,8.45,8.45,8.21,8.29,4081,0.0,1.0
2012-04-12,8.59,8.59,8.26,8.59,2235,0.0,1.0
2012-04-13,8.35,8.61,8.34,8.34,3992,0.0,1.0
2012-04-16,8.22,8.58,8.22,8.35,4583,0.0,1.0
2012-04-17,8.58,8.58,8.32,8.32,4358,0.0,1.0
2012-04-18,8.56,8.56,8.32,8.32,2521,0.0,1.0
2012-04-19,8.19,8.2,8.19,8.2,1086,0.0,1.0
2012-04-20,8.23,8.27,8.23,8.24,3663,0.0,1.0
2012-04-23,8.08,8.45,8.08,8.08,1828,0.0,1.0
2012-04-24,8.24,8.48,8.24,8.25,10434,0.0,1.0
2012-04-25,8.45,8.53,8.45,8.45,809,0.0,1.0
2012-04-26,8.29,8.34,8.29,8.29,17871,0.0,1.0
2012-04-27,8.59,8.59,8.29,8.35,4106,0.0,1.0
2012-04-30,8.29,8.39,8.29,8.37,6191,0.0,1.0
2012-05-01,8.44,8.44,8.4,8.44,2593,0.0,1.0
2012-05-02,8.37,8.45,8.37,8.43,1895,0.0,1.0
2012-05-03,8.44,8.61,8.44,8.61,1432,0.0,1.0
2012-05-04,8.42,8.61,8.42,8.61,601,0.0,1.0
2012-05-07,8.15,8.47,8.15,8.35,5252,0.0,1.0
2012-05-08,8.09,8.4,8.09,8.09,1579,0.0,1.0
2012-05-09,8.17,8.23,8.14,8.14,15860,0.0,1.0
2012-05-10,8.11,8.17,8.11,8.12,8173,0.0,1.0
2012-05-11,8.21,8.29,8.21,8.21,7120,0.0,1.0
2012-05-14,8.0,8.3,8.0,8.3,5892,0.0,1.0
2012-05-15,8.36,8.37,8.3,8.3,11810,0.0,1.0
2012-05-16,8.15,8.15,7.85,8.13,11916,0.0,1.0
2012-05-17,7.7,7.87,7.68,7.68,3261,0.0,1.0
2012-05-18,7.44,7.78,7.44,7.44,3432,0.0,1.0
2012-05-21,7.42,7.42,7.42,7.42,335,0.0,1.0
2012-05-22,7.48,7.84,7.48,7.59,17382,0.0,1.0
2012-05-23,7.11,7.4,7.11,7.4,7315,0.0,1.0
2012-05-24,7.58,7.58,7.27,7.27,2289,0.0,1.0
