date,open_price,high_price,low_price,close_price,volume,dividend,split
2009-08-27,9.18,9.18,9.18,9.18,116245,0.0,1.0
2009-08-28,9.25,9.25,9.0,9.0,280293,0.0,1.0
2009-08-31,9.3,9.4,9.3,9.35,13210,0.0,1.0
2009-09-01,9.0,9.0,9.0,9.0,140,0.0,1.0
2009-09-02,9.45,9.45,9.45,9.45,815,0.0,1.0
2009-09-03,9.0,9.0,9.0,9.0,220,0.0,1.0
2009-09-04,9.75,9.75,9.75,9.75,2495,0.0,1.0
2009-09-08,9.75,9.75,9.75,9.75,6510,0.0,1.0
2009-09-09,9.3,9.3,9.3,9.3,575,0.0,1.0
2009-09-10,9.75,9.75,9.25,9.75,2232,0.0,1.0
2009-09-11,9.75,9.75,9.75,9.75,1115,0.0,1.0
2009-09-14,9.3,9.75,9.3,9.75,605,0.0,1.0
2009-09-15,9.75,10.25,9.75,10.25,3985,0.0,1.0
2009-09-16,9.75,10.3,9.75,10.3,300,0.0,1.0
2009-09-17,10.0,10.2,10.0,10.2,1225,0.0,1.0
2009-09-18,10.3,10.3,10.3,10.3,105,0.0,1.0
2009-09-21,9.3,9.3,9.3,9.3,690,0.0,1.0
2009-09-22,9.75,9.75,9.3,9.75,1910,0.0,1.0
2009-09-23,9.97,9.97,9.97,9.97,1740,0.0,1.0
2009-09-24,9.97,9.97,9.97,9.97,0,0.0,1.0
2009-09-25,9.3,10.0,9.3,10.0,1770,0.0,1.0
2009-09-28,10.1,10.3,9.3,10.3,1975,0.0,1.0
2009-09-29,9.75,9.75,9.3,9.75,3130,0.0,1.0
2009-09-30,10.0,10.0,9.3,9.5,1171,0.0,1.0
2009-10-01,9.5,10.0,9.5,10.0,930,0.0,1.0
2009-10-02,10.0,10.0,9.3,10.0,3600,0.0,1.0
2009-10-05,10.0,10.0,9.65,10.0,5755,0.0,1.0
2009-10-06,10.0,10.0,10.0,10.0,3985,0.0,1.0
2009-10-07,9.8,9.8,9.8,9.8,2550,0.0,1.0
2009-10-08,10.0,10.0,9.95,9.95,801,0.0,1.0
2009-10-09,10.0,10.0,10.0,10.0,595,0.0,1.0
2009-10-12,9.95,9.95,9.5,9.5,1415,0.0,1.0
2009-10-13,10.1,10.1,10.1,10.1,156140,0.0,1.0
2009-10-14,10.2,10.2,9.5,10.2,2205,0.119,1.0
2009-10-15,10.0,10.05,9.5,10.0,11270,0.0,1.0
2009-10-16,10.2,10.2,10.2,10.2,885,0.0,1.0
2009-10-19,10.05,10.05,10.05,10.05,1855,0.0,1.0
2009-10-20,10.05,10.05,10.05,10.05,765,0.0,1.0
2009-10-21,9.9,10.05,9.5,9.5,3145,0.0,1.0
2009-10-22,10.0,10.15,10.0,10.15,6617,0.0,1.0
2009-10-26,9.5,10.05,9.5,9.75,3235,0.0,1.0
2009-10-27,9.5,10.0,9.5,10.0,3110,0.0,1.0
2009-10-28,9.9,9.9,9.3,9.5,2385,0.0,1.0
2009-10-29,9.95,9.95,9.95,9.95,7035,0.0,1.0
2009-10-30,9.5,10.0,9.5,10.0,855,0.0,1.0
2009-11-02,9.5,10.15,9.5,10.0,5200,0.0,1.0
2009-11-03,9.5,9.7,9.5,9.7,2670,0.0,1.0
2009-11-04,9.8,9.8,9.75,9.75,3295,0.0,1.0
2009-11-05,9.5,10.0,9.5,10.0,2370,0.0,1.0
2009-11-06,10.0,10.0,9.6,9.6,3525,0.0,1.0
2009-11-09,10.0,10.05,9.65,9.65,2435,0.0,1.0
2009-11-10,9.65,10.1,9.65,10.1,3120,0.0,1.0
2009-11-11,10.1,10.1,10.0,10.0,2465,0.0,1.0
2009-11-12,10.0,10.0,10.0,10.0,0,0.0,1.0
2009-11-13,10.1,10.1,9.75,9.75,8009,0.0,1.0
2009-11-16,10.25,10.25,9.75,9.75,1335,0.0,1.0
2009-11-17,10.15,10.15,9.75,9.75,935,0.0,1.0
2009-11-18,10.35,10.35,9.75,9.75,3325,0.0,1.0
2009-11-19,10.25,10.25,10.25,10.25,2255,0.0,1.0
2009-11-20,9.8,10.15,9.8,10.15,2299,0.0,1.0
2009-11-23,9.75,10.25,9.75,9.75,1358,0.0,1.0
2009-11-24,10.3,10.35,10.3,10.3,3825,0.0,1.0
2009-11-25,10.4,10.4,10.4,10.4,1500,0.0,1.0
2009-11-27,10.25,10.35,10.25,10.35,2235,0.0,1.0
2009-11-30,10.35,10.35,10.35,10.35,2440,0.0,1.0
2009-12-01,9.9,10.25,9.9,10.25,2400,0.0,1.0
2009-12-02,10.25,10.7,10.25,10.7,3005,0.0,1.0
2009-12-03,10.55,10.6,10.25,10.25,3065,0.0,1.0
2009-12-04,10.55,10.55,10.2,10.2,1816,0.0,1.0
2009-12-07,10.15,10.55,10.15,10.15,1115,0.0,1.0
2009-12-08,10.4,10.4,10.4,10.4,815,0.0,1.0
2009-12-09,10.0,10.4,10.0,10.4,1245,0.0,1.0
2009-12-10,10.3,10.3,10.2,10.2,1210,0.0,1.0
2009-12-11,10.5,10.5,10.3,10.5,1855,0.0,1.0
2009-12-14,10.15,10.5,10.15,10.5,1078,0.0,1.0
2009-12-15,10.4,10.5,10.05,10.5,4510,0.0,1.0
2009-12-16,10.05,10.5,10.05,10.5,2990,0.0,1.0
2009-12-17,10.3,10.3,10.05,10.3,3195,0.0,1.0
2009-12-18,10.0,10.3,9.7,10.3,3185,0.0,1.0
2009-12-21,10.0,10.5,9.6,9.95,2605,0.0,1.0
2009-12-22,9.55,10.1,9.55,9.55,5285,0.0,1.0
2009-12-23,9.75,9.75,9.75,9.75,245,0.0,1.0
2009-12-24,10.1,10.2,9.8,10.2,4465,0.0,1.0
2009-12-28,9.75,10.12,9.75,10.12,8030,0.0,1.0
2009-12-29,10.05,10.2,9.75,10.2,1470,0.0,1.0
2009-12-30,10.25,10.25,9.75,10.25,1350,0.0,1.0
2009-12-31,10.05,10.2,9.65,9.75,4405,0.0,1.0
2010-01-04,9.75,10.25,9.75,10.25,3635,0.0,1.0
2010-01-05,10.2,10.2,10.2,10.2,1130,0.0,1.0
2010-01-06,10.3,10.3,9.9,9.9,545,0.0,1.0
2010-01-07,9.85,10.0,9.55,9.55,1995,0.0,1.0
2010-01-08,9.6,10.1,9.6,10.1,5355,0.0,1.0
2010-01-11,9.75,10.3,9.75,10.3,1305,0.0,1.0
2010-01-12,10.35,10.35,10.35,10.35,835,0.0,1.0
2010-01-13,10.4,10.4,10.4,10.4,505,0.0,1.0
2010-01-14,10.2,10.2,10.15,10.2,2590,0.0,1.0
2010-01-15,10.05,10.05,10.05,10.05,2930,0.0,1.0
2010-01-19,10.05,10.15,9.95,10.15,1850,0.0,1.0
2010-01-20,9.95,9.95,9.9,9.9,3760,0.0,1.0
2010-01-21,9.9,9.9,9.65,9.65,4025,0.0,1.0
2010-01-22,9.7,9.8,9.5,9.75,6805,0.0,1.0
2010-01-25,9.75,9.75,9.45,9.45,3335,0.0,1.0
2010-01-26,9.4,9.8,9.4,9.8,1280,0.0,1.0
2010-01-27,9.65,9.7,9.35,9.35,2530,0.0,1.0
2010-01-28,9.75,9.75,9.2,9.2,2255,0.0,1.0
2010-01-29,9.7,9.7,9.7,9.7,1605,0.0,1.0
2010-02-01,9.7,9.7,9.35,9.65,1843,0.0,1.0
2010-02-02,9.7,9.7,9.7,9.7,450,0.0,1.0
2010-02-03,9.3,9.3,9.3,9.3,310,0.0,1.0
2010-02-04,9.6,9.65,9.3,9.6,2041,0.0,1.0
2010-02-05,9.3,9.3,9.2,9.2,535,0.0,1.0
2010-02-08,9.6,9.65,9.6,9.65,730,0.0,1.0
2010-02-09,9.55,9.55,9.2,9.2,565,0.0,1.0
2010-02-10,9.2,9.65,9.2,9.65,1375,0.0,1.0
2010-02-11,9.6,9.7,9.6,9.7,4880,0.0,1.0
2010-02-12,9.7,9.75,9.2,9.2,1510,0.0,1.0
2010-02-16,9.8,9.85,9.3,9.85,3915,0.0,1.0
2010-02-17,9.35,9.7,9.35,9.35,1690,0.0,1.0
2010-02-18,9.15,9.65,9.15,9.65,2190,0.0,1.0
2010-02-19,9.65,9.65,9.65,9.65,0,0.0,1.0
2010-02-24,9.65,9.65,9.6,9.6,3665,0.0,1.0
2010-02-25,9.35,9.6,9.15,9.6,2120,0.0,1.0
2010-02-26,9.3,9.75,9.3,9.75,950,0.0,1.0
2010-03-01,9.6,9.75,9.35,9.35,789,0.0,1.0
2010-03-02,9.75,9.9,9.4,9.9,3390,0.0,1.0
2010-03-03,9.9,9.9,9.45,9.45,1560,0.0,1.0
2010-03-08,9.9,9.9,9.6,9.6,1395,0.0,1.0
2010-03-09,9.8,9.8,9.8,9.8,1180,0.0,1.0
2010-03-10,9.8,9.85,9.8,9.85,885,0.0,1.0
2010-03-11,9.8,10.0,9.65,10.0,1840,0.0,1.0
2010-03-12,10.0,10.0,9.8,9.8,1210,0.0,1.0
2010-03-15,10.0,10.0,9.85,9.85,740,0.0,1.0
