date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-07-18,1.09,1.09,1.09,1.09,1800,0.0,1.0
2007-07-19,1.03,1.03,1.03,1.03,1000,0.0,1.0
2007-07-20,1.08,1.08,1.08,1.08,900,0.0,1.0
2007-07-23,1.08,1.08,1.08,1.08,0,0.0,1.0
2007-07-24,1.08,1.08,1.08,1.08,125,0.0,1.0
2007-07-25,1.08,1.08,1.08,1.08,0,0.0,1.0
2007-07-26,1.05,1.05,1.05,1.05,5500,0.0,1.0
2007-07-27,1.05,1.05,1.05,1.05,0,0.0,1.0
2007-07-30,1.05,1.05,1.05,1.05,0,0.0,1.0
2007-07-31,1.05,1.05,1.05,1.05,0,0.0,1.0
2007-08-01,1.06,1.06,1.06,1.06,8000,0.0,1.0
2007-08-02,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-08-03,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-08-06,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-08-07,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-08-08,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-08-09,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-08-10,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-08-13,0.98,0.98,0.98,0.98,8900,0.0,1.0
2007-08-14,0.98,0.98,0.98,0.98,0,0.0,1.0
2007-08-15,0.98,0.98,0.98,0.98,0,0.0,1.0
2007-08-16,0.98,0.98,0.98,0.98,0,0.0,1.0
2007-08-17,0.98,0.98,0.98,0.98,0,0.0,1.0
2007-08-20,0.91,0.91,0.91,0.91,8500,0.0,1.0
2007-08-21,0.91,0.91,0.91,0.91,0,0.0,1.0
2007-08-22,1.02,1.02,1.02,1.02,5000,0.0,1.0
2007-08-23,1.07,1.07,1.07,1.07,5600,0.0,1.0
2007-08-24,1.07,1.07,1.07,1.07,0,0.0,1.0
2007-08-27,1.07,1.07,1.07,1.07,0,0.0,1.0
2007-08-28,1.05,1.05,1.05,1.05,5000,0.0,1.0
2007-08-29,1.1,1.1,1.1,1.1,1800,0.0,1.0
2007-08-30,1.13,1.13,1.13,1.13,4100,0.0,1.0
2007-08-31,1.12,1.14,1.12,1.12,6100,0.0,1.0
2007-09-04,1.06,1.06,1.06,1.06,2450,0.0,1.0
2007-09-05,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-09-06,1.06,1.06,1.06,1.06,325,0.0,1.0
2007-09-07,1.06,1.06,1.06,1.06,0,0.0,1.0
2007-09-10,1.1,1.1,1.1,1.1,1000,0.0,1.0
2007-09-11,1.1,1.1,1.1,1.1,0,0.0,1.0
2007-09-12,1.1,1.1,1.1,1.1,0,0.0,1.0
2007-09-13,1.1,1.1,1.1,1.1,0,0.0,1.0
2007-09-14,1.05,1.05,1.05,1.05,1000,0.0,1.0
2007-09-17,1.05,1.05,1.05,1.05,0,0.0,1.0
2007-09-18,1.05,1.05,1.05,1.05,0,0.0,1.0
2007-09-19,1.12,1.12,1.12,1.12,100,0.0,1.0
2007-09-20,1.14,1.14,1.14,1.14,100,0.0,1.0
2007-09-21,1.12,1.12,1.12,1.12,5000,0.0,1.0
2007-09-24,1.25,1.25,1.25,1.25,2000,0.0,1.0
2007-09-25,1.22,1.22,1.22,1.22,300,0.0,1.0
2007-09-26,1.22,1.22,1.22,1.22,400,0.0,1.0
