date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-05-12,23.85,24.0,23.85,24.0,1070,0.0,1.0
2010-05-13,23.85,24.0,23.75,23.75,3451,0.0,1.0
2010-05-14,23.85,24.0,22.8,22.85,4407,0.0,1.0
2010-05-17,23.85,24.0,22.7,22.7,4507,0.0,1.0
2010-05-18,23.85,24.0,22.7,22.7,0,0.0,1.0
2010-05-19,23.85,24.0,21.95,22.05,5850,0.0,1.0
2010-05-20,23.85,24.0,21.45,21.9,6555,0.0,1.0
2010-05-21,23.85,24.0,21.45,21.9,0,0.0,1.0
2010-05-24,23.85,24.0,21.45,21.65,6737,0.0,1.0
2010-05-25,23.85,24.0,21.45,21.65,0,0.0,1.0
2010-05-26,23.85,24.0,21.45,21.65,0,0.0,1.0
2010-05-27,23.85,24.0,21.45,21.65,0,0.0,1.0
2010-05-28,23.85,24.0,21.45,21.65,0,0.0,1.0
2010-06-01,23.85,24.0,21.45,21.65,0,0.0,1.0
2010-06-02,23.85,24.0,21.45,22.08,6867,0.0,1.0
2010-06-03,23.85,24.0,21.45,22.08,0,0.0,1.0
2010-06-04,23.85,24.0,21.45,22.2,9041,0.0,1.0
2010-06-07,23.85,24.0,21.45,22.2,0,0.0,1.0
2010-06-08,23.85,24.0,21.45,21.8,11441,0.0,1.0
2010-06-09,23.85,24.0,21.45,22.55,11621,0.0,1.0
2010-06-10,23.85,24.0,21.45,22.55,0,0.0,1.0
2010-06-11,23.85,24.0,21.45,22.6,12155,0.0,1.0
2010-06-14,23.85,24.0,21.45,22.6,0,0.0,1.0
2010-06-15,23.85,24.0,21.45,23.09,12355,0.0,1.0
2010-06-16,23.85,24.0,21.45,23.09,0,0.0,1.0
2010-06-17,23.85,24.0,21.45,23.47,12535,0.22,1.0
2010-06-18,23.85,24.0,21.45,23.47,0,0.0,1.0
2010-06-21,23.85,24.0,21.45,23.47,0,0.0,1.0
2010-06-22,23.85,24.0,21.45,23.47,0,0.0,1.0
2010-06-23,23.85,24.0,21.45,23.6,12905,0.0,1.0
2010-06-24,23.85,24.0,21.45,23.6,0,0.0,1.0
2010-06-25,23.85,24.0,21.45,23.75,13405,0.0,1.0
2010-06-28,23.85,24.75,21.45,24.75,13805,0.0,1.0
2010-06-29,23.85,24.75,21.45,24.35,14005,0.0,1.0
2010-06-30,23.85,24.75,21.45,24.5,14141,0.0,1.0
2010-07-01,23.85,24.75,21.45,24.5,0,0.0,1.0
2010-07-02,23.85,24.75,21.45,24.5,0,0.0,1.0
2010-07-06,23.85,24.75,21.45,24.5,0,0.0,1.0
2010-07-07,23.85,24.8,21.45,24.8,14482,0.0,1.0
2010-07-08,23.85,25.5,21.45,25.5,15482,0.0,1.0
2010-07-09,23.85,25.5,21.45,25.5,0,0.0,1.0
2010-07-12,23.85,25.5,21.45,25.5,0,0.0,1.0
2010-07-13,23.85,25.5,21.45,25.5,0,0.0,1.0
2010-07-14,23.85,25.5,21.45,25.5,0,0.0,1.0
2010-07-15,23.85,25.5,21.45,25.5,0,0.0,1.0
2010-07-16,23.85,26.1,21.45,26.1,15664,0.0,1.0
2010-07-19,23.85,26.1,21.45,25.85,15864,0.0,1.0
2010-07-20,23.85,26.1,21.45,25.85,0,0.0,1.0
2010-07-21,23.85,26.1,21.45,24.85,17051,0.0,1.0
2010-07-22,23.85,26.1,21.45,24.8,17544,0.0,1.0
2010-07-23,23.85,26.1,21.45,24.45,18086,0.0,1.0
2010-07-26,23.85,26.1,21.45,24.45,0,0.0,1.0
2010-07-27,23.85,26.1,21.45,24.45,0,0.0,1.0
2010-07-28,23.85,26.1,21.45,24.35,18686,0.0,1.0
2010-07-29,23.85,26.1,21.45,24.75,18886,0.0,1.0
2010-07-30,23.85,26.1,21.45,24.75,0,0.0,1.0
2010-08-02,23.85,26.1,21.45,25.15,21669,0.0,1.0
2010-08-03,23.85,26.1,21.45,24.91,40529,0.0,1.0
2010-08-04,23.85,26.1,21.45,24.91,0,0.0,1.0
2010-08-05,23.85,26.1,21.45,24.91,0,0.0,1.0
2010-08-06,23.85,26.1,21.45,25.29,41329,0.0,1.0
2010-08-09,23.85,26.1,21.45,25.39,41729,0.0,1.0
2010-08-10,23.85,26.1,21.45,25.0,42129,0.0,1.0
2010-08-11,23.85,26.1,21.45,25.0,0,0.0,1.0
2010-08-12,23.85,26.1,21.45,24.52,42629,0.0,1.0
2010-08-13,23.85,26.1,21.45,24.52,0,0.0,1.0
2010-08-16,23.85,26.1,21.45,24.52,0,0.0,1.0
2010-08-17,23.85,26.1,21.45,24.52,0,0.0,1.0
2010-08-18,23.85,26.1,21.45,25.35,42729,0.0,1.0
2010-08-19,23.85,26.1,21.45,25.35,0,0.0,1.0
2010-08-20,23.85,26.1,21.45,24.95,42849,0.0,1.0
2010-08-23,23.85,26.1,21.45,24.95,0,0.0,1.0
2010-08-24,23.85,26.1,21.45,25.25,43649,0.0,1.0
2010-08-25,23.85,26.1,21.45,25.25,0,0.0,1.0
2010-08-26,23.85,26.1,21.45,25.25,0,0.0,1.0
2010-08-27,23.85,26.1,21.45,25.25,0,0.0,1.0
2010-08-30,23.85,26.1,21.45,25.25,0,0.0,1.0
2010-08-31,23.85,26.1,21.45,25.75,43899,0.0,1.0
2010-09-01,23.85,26.1,21.45,25.75,0,0.0,1.0
2010-09-02,23.85,26.1,21.45,25.75,0,0.0,1.0
2010-09-03,23.85,26.1,21.45,25.75,0,0.0,1.0
2010-09-07,23.85,26.1,21.45,25.3,44099,0.0,1.0
2010-09-08,23.85,26.1,21.45,25.3,0,0.0,1.0
2010-09-09,23.85,26.1,21.45,24.0,44203,0.0,1.0
2010-09-10,23.85,26.1,21.45,24.0,0,0.0,1.0
2010-09-13,23.85,26.1,21.45,24.0,0,0.0,1.0
2010-09-14,23.85,26.1,21.45,24.0,0,0.0,1.0
2010-09-15,23.85,26.1,21.45,24.0,0,0.0,1.0
2010-09-16,23.85,26.1,21.45,24.0,0,0.0,1.0
2010-09-17,23.85,26.1,21.45,24.0,0,0.0,1.0
2010-09-20,24.55,24.55,24.55,24.55,50203,0.0,1.0
2010-09-21,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-09-22,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-09-23,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-09-24,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-09-27,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-09-28,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-09-29,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-09-30,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-10-01,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-10-04,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-10-05,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-10-06,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-10-07,24.55,24.55,24.55,24.55,0,0.0,1.0
2010-10-08,24.55,24.55,24.55,24.55,0,0.0,1.0
