date,open_price,high_price,low_price,close_price,volume,dividend,split
2010-03-31,16.0,16.34,15.01,15.08,7597100,0.0,1.0
2010-04-01,15.25,15.49,15.1,15.12,708100,0.0,1.0
2010-04-05,15.29,15.29,14.8,15.05,668100,0.0,1.0
2010-04-06,15.03,15.29,15.03,15.29,195900,0.0,1.0
2010-04-07,15.26,15.27,15.1,15.1,305000,0.0,1.0
2010-04-08,15.13,15.75,15.1,15.72,320100,0.0,1.0
2010-04-09,15.61,16.29,15.4,16.0,406400,0.0,1.0
2010-04-12,16.18,16.57,15.86,16.51,249000,0.0,1.0
2010-04-13,16.3,16.5,16.0,16.42,420700,0.0,1.0
2010-04-14,16.38,16.64,16.21,16.45,123200,0.0,1.0
2010-04-15,16.45,16.64,16.25,16.56,189300,0.0,1.0
2010-04-16,16.33,17.19,16.07,17.0,201800,0.0,1.0
2010-04-19,17.0,17.0,16.4,16.54,85700,0.0,1.0
2010-04-20,16.5,16.92,16.33,16.48,117500,0.0,1.0
2010-04-21,16.53,16.63,16.35,16.35,118800,0.0,1.0
2010-04-22,16.36,16.52,15.8,16.01,181000,0.0,1.0
2010-04-23,15.97,16.39,15.91,16.1,151500,0.0,1.0
2010-04-26,16.28,16.61,16.0,16.45,145700,0.0,1.0
2010-04-27,15.91,16.63,15.91,16.55,116100,0.0,1.0
2010-04-28,16.45,16.65,15.98,16.52,99000,0.0,1.0
2010-04-29,16.6,16.95,16.33,16.8,295900,0.0,1.0
2010-04-30,16.82,16.95,16.59,16.78,164300,0.0,1.0
2010-05-03,16.7,17.0,16.22,16.73,108500,0.0,1.0
2010-05-04,16.61,16.84,16.43,16.64,282400,0.0,1.0
2010-05-05,16.52,16.72,16.1,16.33,117800,0.0,1.0
2010-05-06,16.2,16.36,15.7,15.9,127900,0.0,1.0
2010-05-07,15.97,16.35,15.23,15.75,122600,0.0,1.0
2010-05-10,16.54,16.54,15.18,15.31,279800,0.0,1.0
2010-05-11,15.42,15.42,14.45,15.33,566600,0.0,1.0
2010-05-12,15.44,16.43,15.44,16.12,193000,0.0,1.0
2010-05-13,16.28,16.8,16.15,16.71,248000,0.0,1.0
2010-05-14,16.53,16.93,16.5,16.69,155400,0.0,1.0
2010-05-17,16.65,16.77,16.23,16.47,103100,0.0,1.0
2010-05-18,16.5,16.76,16.48,16.58,98500,0.0,1.0
2010-05-19,16.5,16.65,16.3,16.34,57700,0.0,1.0
2010-05-20,16.2,16.38,15.35,15.38,113400,0.0,1.0
2010-05-21,15.25,15.62,14.9,15.05,72800,0.0,1.0
2010-05-24,15.01,15.93,15.0,15.75,87700,0.0,1.0
2010-05-25,15.66,15.85,15.3,15.67,70400,0.0,1.0
2010-05-26,15.71,16.29,15.7,16.25,104200,0.0,1.0
2010-05-27,16.37,16.5,16.11,16.49,117000,0.0,1.0
2010-05-28,16.37,16.5,15.56,16.32,129000,0.0,1.0
2010-06-01,16.2,16.43,16.01,16.35,93800,0.0,1.0
2010-06-02,16.21,16.75,16.2,16.75,260600,0.0,1.0
2010-06-03,16.64,16.99,16.64,16.78,177400,0.0,1.0
2010-06-04,16.66,16.83,16.25,16.44,117000,0.0,1.0
2010-06-07,16.35,16.49,15.75,16.19,253800,0.0,1.0
2010-06-08,16.13,16.38,16.1,16.3,205200,0.0,1.0
2010-06-09,16.23,16.5,16.14,16.23,63800,0.0,1.0
2010-06-10,16.36,16.73,16.2,16.41,78200,0.0,1.0
2010-06-11,16.29,16.75,16.29,16.75,28200,0.0,1.0
2010-06-14,16.76,17.7,16.64,17.35,189000,0.0,1.0
2010-06-15,17.7,18.24,17.35,18.0,225100,0.0,1.0
2010-06-16,18.0,18.4,17.95,18.24,177000,0.0,1.0
2010-06-17,18.3,18.41,17.33,17.55,108600,0.0,1.0
2010-06-18,17.67,17.7,16.51,16.99,166700,0.0,1.0
2010-06-21,17.13,17.6,16.65,16.66,95800,0.0,1.0
2010-06-22,16.61,17.28,16.09,16.3,85600,0.0,1.0
2010-06-23,16.22,16.49,15.36,16.09,265800,0.0,1.0
2010-06-24,16.09,16.85,15.8,16.15,204200,0.0,1.0
2010-06-25,16.18,16.67,15.9,16.56,1791600,0.0,1.0
2010-06-28,16.5,17.08,16.16,16.89,142000,0.0,1.0
2010-06-29,16.75,17.3,16.2,16.46,195000,0.0,1.0
2010-06-30,16.38,16.91,16.0,16.03,99600,0.0,1.0
2010-07-01,16.11,16.29,15.93,15.97,121000,0.0,1.0
2010-07-02,16.09,16.62,15.72,16.47,127800,0.0,1.0
2010-07-06,16.61,16.75,16.22,16.57,94800,0.0,1.0
2010-07-07,16.59,17.24,16.5,17.16,299800,0.0,1.0
2010-07-08,17.24,17.82,16.67,17.76,188500,0.0,1.0
2010-07-09,17.7,18.28,17.42,18.2,166700,0.0,1.0
2010-07-12,18.19,18.36,18.08,18.11,121400,0.0,1.0
2010-07-13,18.26,18.26,17.62,17.63,418900,0.0,1.0
2010-07-14,17.54,17.59,16.77,17.05,65400,0.0,1.0
2010-07-15,17.02,17.02,16.78,16.93,69600,0.0,1.0
2010-07-16,16.75,16.8,16.09,16.24,110400,0.0,1.0
2010-07-19,16.13,16.73,16.1,16.48,78200,0.0,1.0
2010-07-20,16.31,16.81,16.22,16.57,89000,0.0,1.0
2010-07-21,16.71,16.98,16.05,16.06,47900,0.0,1.0
2010-07-22,16.31,16.71,16.29,16.5,162600,0.0,1.0
