date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-10-04,45.25,45.25,45.25,45.25,430,0.0,1.0
2011-10-05,45.25,45.25,45.25,45.25,0,0.0,1.0
2011-10-06,45.25,45.25,45.25,45.25,0,0.0,1.0
2011-10-07,49.27,49.27,49.27,49.27,137,0.0,1.0
2011-10-10,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-11,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-12,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-13,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-14,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-17,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-18,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-19,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-20,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-21,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-24,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-25,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-26,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-27,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-28,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-10-31,49.27,49.27,49.27,49.27,0,0.0,1.0
2011-11-01,51.25,51.25,51.25,51.25,810,0.0,1.0
2011-11-02,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-03,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-04,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-07,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-08,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-09,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-10,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-11,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-14,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-15,51.25,51.25,51.25,51.25,0,0.0,1.0
2011-11-16,52.23,52.23,52.23,52.23,846,0.0,1.0
2011-11-17,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-11-18,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-11-21,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-11-22,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-11-23,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-11-25,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-11-28,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-11-29,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-11-30,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-01,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-02,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-05,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-06,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-07,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-08,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-09,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-12,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-13,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-14,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-15,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-16,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-19,52.23,52.23,52.23,52.23,0,0.0,1.0
2011-12-20,50.5,50.5,50.5,50.5,800,0.0,1.0
2011-12-21,49.6,49.6,49.6,49.6,100,0.0,1.0
2011-12-22,49.6,49.6,49.6,49.6,0,0.0,1.0
2011-12-23,50.61,50.61,50.61,50.61,300,0.0,1.0
2011-12-27,50.61,50.61,50.61,50.61,0,0.0,1.0
2011-12-28,50.65,50.65,50.65,50.65,500,0.0,1.0
2011-12-29,50.65,50.65,50.65,50.65,0,0.0,1.0
2011-12-30,50.65,50.65,50.65,50.65,0,0.0,1.0
2012-01-03,50.65,50.65,50.65,50.65,0,0.0,1.0
2012-01-04,50.65,50.65,50.65,50.65,0,0.0,1.0
2012-01-05,51.0,51.0,51.0,51.0,100,0.0,1.0
2012-01-06,51.0,51.0,51.0,51.0,0,0.0,1.0
2012-01-09,51.0,51.0,51.0,51.0,0,0.0,1.0
2012-01-10,51.0,51.0,51.0,51.0,0,0.0,1.0
2012-01-11,51.3,51.3,51.3,51.3,100,0.0,1.0
2012-01-12,51.3,51.3,51.3,51.3,0,0.0,1.0
2012-01-13,51.3,51.3,51.3,51.3,0,0.0,1.0
2012-01-17,51.3,51.3,51.3,51.3,0,0.0,1.0
2012-01-18,52.3,52.3,52.3,52.3,200,0.0,1.0
2012-01-19,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-01-20,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-01-23,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-01-24,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-01-25,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-01-26,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-01-27,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-01-30,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-01-31,52.3,52.3,52.3,52.3,0,0.0,1.0
2012-02-01,56.0,56.0,56.0,56.0,189,0.0,1.0
2012-02-02,56.0,56.0,56.0,56.0,0,0.0,1.0
2012-02-03,56.9,56.9,56.9,56.9,420,0.0,1.0
2012-02-06,57.1,57.1,57.1,57.1,160,0.0,1.0
2012-02-07,58.15,58.15,58.15,58.15,230,0.0,1.0
2012-02-08,58.15,58.15,58.15,58.15,0,0.0,1.0
2012-02-09,58.5,58.5,58.5,58.5,200,0.0,1.0
2012-02-10,58.5,58.5,58.5,58.5,0,0.0,1.0
2012-02-13,58.5,58.5,58.5,58.5,0,0.0,1.0
2012-02-14,57.35,57.35,57.35,57.35,109,0.0,1.0
2012-02-15,57.35,57.35,57.35,57.35,0,0.0,1.0
2012-02-16,57.0,57.0,57.0,57.0,912,0.0,1.0
2012-02-17,57.0,57.0,57.0,57.0,0,0.0,1.0
2012-02-21,57.0,57.0,57.0,57.0,0,0.0,1.0
2012-02-22,57.0,57.0,57.0,57.0,0,0.0,1.0
2012-02-23,57.0,57.0,57.0,57.0,0,0.0,1.0
2012-02-24,57.0,57.0,57.0,57.0,0,0.0,1.0
2012-02-27,57.0,57.0,57.0,57.0,0,0.0,1.0
2012-02-28,57.0,57.0,57.0,57.0,0,0.0,1.0
2012-02-29,59.05,59.05,58.9,59.0,1060,0.0,1.0
2012-03-01,59.0,59.0,59.0,59.0,0,0.0,1.0
2012-03-02,58.7,58.7,58.7,58.7,200,0.0,1.0
2012-03-05,58.7,58.7,58.7,58.7,0,0.0,1.0
2012-03-06,58.7,58.7,58.7,58.7,0,0.0,1.0
2012-03-07,58.7,58.7,58.7,58.7,0,0.0,1.0
2012-03-08,58.7,58.7,58.7,58.7,0,0.0,1.0
2012-03-09,58.7,58.7,58.7,58.7,0,0.0,1.0
2012-03-12,58.7,58.7,58.7,58.7,0,0.0,1.0
2012-03-13,58.7,58.7,58.7,58.7,0,0.0,1.0
2012-03-14,58.7,58.7,58.7,58.7,0,0.0,1.0
2012-03-15,63.7,63.7,63.7,63.7,181,0.0,1.0
2012-03-16,63.7,63.7,63.7,63.7,0,0.0,1.0
