date,open_price,high_price,low_price,close_price,volume,dividend,split
2011-05-27,58.19,58.19,58.19,58.19,155,0.0,1.0
2011-05-31,59.63,59.75,59.63,59.75,7870,0.0,1.0
2011-06-01,60.0,60.0,60.0,60.0,4300,0.0,1.0
2011-06-02,60.0,60.0,60.0,60.0,730,0.0,1.0
2011-06-03,59.0,59.0,59.0,59.0,1765,0.0,1.0
2011-06-06,59.45,60.0,59.22,60.0,15691,0.0,1.0
2011-06-07,59.0,59.5,59.0,59.5,50517,0.0,1.0
2011-06-08,58.75,58.75,58.75,58.75,29370,0.0,1.0
2011-06-09,58.9,58.9,58.9,58.9,210,0.0,1.0
2011-06-10,58.9,58.9,58.9,58.9,0,0.0,1.0
2011-06-13,58.25,59.0,58.25,59.0,787,0.0,1.0
2011-06-14,58.75,58.75,58.0,58.0,682,0.0,1.0
2011-06-15,57.25,58.0,57.25,58.0,266540,0.0,1.0
2011-06-16,56.75,57.0,55.64,56.8,308961,0.0,1.0
2011-06-17,56.5,57.2,55.5,56.5,1508,0.0,1.0
2011-06-20,55.4,55.6,55.25,55.25,995,0.0,1.0
2011-06-21,56.0,56.0,56.0,56.0,825,0.0,1.0
2011-06-22,55.65,55.95,55.65,55.95,20636,0.0,1.0
2011-06-23,54.0,55.9,53.9,55.0,364242,0.0,1.0
2011-06-24,54.5,54.5,53.0,54.1,12795,0.0,1.0
2011-06-27,53.4,54.95,53.0,53.75,3888,0.0,1.0
2011-06-28,53.75,55.15,53.75,53.75,5573,0.0,1.0
2011-06-29,54.85,55.6,54.5,55.6,5989,0.0,1.0
2011-06-30,56.16,56.16,55.8,55.8,1470,0.0,1.0
2011-07-01,56.25,57.0,56.25,57.0,5011,0.0,1.0
2011-07-05,57.25,58.1,56.0,58.1,4449,0.0,1.0
2011-07-06,57.0,57.55,56.5,56.5,2790,0.0,1.0
2011-07-07,57.5,57.5,56.4,57.15,5534,0.0,1.0
2011-07-08,56.6,57.02,55.9,56.55,107016,0.0,1.0
2011-07-11,54.8,55.8,54.25,54.25,210485,0.0,1.0
2011-07-12,53.85,55.17,46.25,55.17,7501,0.0,1.0
2011-07-13,55.05,55.1,55.05,55.05,1765,0.0,1.0
2011-07-14,55.4,55.4,54.8,54.85,623,0.0,1.0
2011-07-15,53.6,53.6,53.6,53.6,770,0.0,1.0
2011-07-18,52.95,53.56,52.3,53.56,3816,0.0,1.0
2011-07-19,53.0,54.22,52.71,52.71,815,0.0,1.0
2011-07-20,53.85,55.25,53.85,54.5,3916,0.0,1.0
2011-07-21,56.15,56.15,55.83,55.9,1081,0.0,1.0
2011-07-22,56.24,57.02,56.24,56.24,945,0.0,1.0
2011-07-25,55.83,55.83,55.45,55.5,845,0.0,1.0
2011-07-26,55.7,56.62,55.65,55.65,1045,0.0,1.0
2011-07-27,55.35,55.6,54.39,54.39,29446,0.0,1.0
2011-07-28,54.0,55.15,54.0,55.15,1165,0.0,1.0
2011-07-29,55.15,55.54,55.15,55.54,1439,0.0,1.0
2011-08-01,55.7,55.85,54.85,54.85,1912,0.0,1.0
2011-08-02,54.2,54.75,53.14,54.75,1476,0.0,1.0
2011-08-03,53.9,53.9,52.39,52.39,1876,0.0,1.0
2011-08-04,52.0,55.0,51.7,51.7,397,0.0,1.0
2011-08-05,52.9,52.9,49.55,49.55,45964,0.0,1.0
2011-08-08,50.05,50.75,47.05,47.28,3163,0.0,1.0
2011-08-09,49.94,53.0,49.0,53.0,4279,0.0,1.0
2011-08-10,50.45,50.84,47.8,48.0,1680,0.0,1.0
2011-08-11,47.97,51.3,47.87,51.3,2515,0.0,1.0
2011-08-12,52.05,52.9,51.55,51.65,3592,0.0,1.0
2011-08-15,53.49,54.43,53.31,53.31,1457,0.0,1.0
2011-08-16,53.8,53.8,52.55,53.2,5321,0.0,1.0
2011-08-17,53.24,53.24,52.45,52.45,2345,0.0,1.0
2011-08-18,50.44,51.2,49.75,49.75,2429,0.0,1.0
2011-08-19,49.99,50.01,48.75,48.75,754,0.0,1.0
2011-08-22,50.52,50.52,48.5,48.5,1123,0.0,1.0
2011-08-23,49.23,49.65,49.23,49.55,3873,0.0,1.0
2011-08-24,51.6,52.0,50.8,51.34,6564,0.0,1.0
2011-08-25,51.75,51.76,49.96,50.77,2365,0.0,1.0
2011-08-26,49.25,49.8,48.65,48.8,3695,0.0,1.0
2011-08-29,50.65,50.8,50.3,50.45,1585,0.0,1.0
2011-08-30,51.15,51.64,50.85,50.85,3201,0.0,1.0
2011-08-31,52.95,52.95,52.21,52.23,2008,0.0,1.0
2011-09-01,52.68,52.68,52.4,52.4,1875,0.0,1.0
2011-09-02,51.0,51.0,50.15,50.15,790,0.0,1.0
2011-09-06,44.34,45.25,44.34,45.25,5600,0.0,1.0
2011-09-07,45.57,45.9,45.57,45.9,1562,0.0,1.0
2011-09-08,45.96,46.19,45.36,45.36,2778,0.0,1.0
2011-09-09,43.19,43.25,43.1,43.2,14646,0.0,1.0
2011-09-12,42.0,42.65,42.0,42.01,8960,0.0,1.0
2011-09-13,43.17,43.17,42.9,43.17,11813,0.0,1.0
2011-09-14,43.84,44.25,43.84,44.25,1130,0.0,1.0
2011-09-15,46.5,46.5,45.9,45.9,7421,0.0,1.0
2011-09-16,47.02,47.18,46.73,46.75,1028,0.0,1.0
2011-09-19,44.92,44.92,43.99,44.0,6351,0.0,1.0
2011-09-20,44.71,44.87,44.3,44.4,1734,0.0,1.0
2011-09-21,44.71,44.75,43.25,43.25,2686,0.0,1.0
2011-09-22,41.93,42.21,41.6,41.63,1681,0.0,1.0
2011-09-23,41.54,42.84,41.54,42.79,2950,0.0,1.0
2011-09-26,43.49,44.56,42.82,43.62,10557,0.0,1.0
2011-09-27,46.76,47.45,46.35,46.36,3070,0.0,1.0
2011-09-28,46.88,47.45,45.81,45.81,4397,0.0,1.0
2011-09-29,48.72,48.76,47.65,47.66,3040,0.0,1.0
2011-09-30,46.67,46.91,46.4,46.41,13974,0.0,1.0
2011-10-03,46.45,46.69,44.65,44.65,4423,0.0,1.0
2011-10-04,45.1,46.13,45.01,45.39,3805,0.0,1.0
2011-10-05,46.72,47.65,46.72,46.84,3907,0.0,1.0
2011-10-06,48.09,49.2,47.9,49.09,2697,0.0,1.0
2011-10-07,49.62,49.62,48.32,48.32,1563,0.0,1.0
2011-10-10,50.76,51.35,50.76,51.34,1504,0.0,1.0
2011-10-11,49.38,50.45,49.38,49.9,7559,0.0,1.0
2011-10-12,50.77,51.35,50.77,51.22,4260,0.0,1.0
2011-10-13,50.75,51.6,50.45,51.6,1070,0.0,1.0
2011-10-14,52.95,53.31,52.76,52.78,2223,0.0,1.0
2011-10-17,51.66,52.0,51.28,51.32,2992,0.0,1.0
2011-10-18,50.78,52.86,50.61,52.86,4329,0.0,1.0
2011-10-19,51.36,51.73,50.35,50.35,7220,0.0,1.0
2011-10-20,50.65,51.0,49.76,50.25,1955,0.0,1.0
2011-10-21,52.77,53.0,52.6,52.6,4318,0.0,1.0
2011-10-24,53.0,54.75,53.0,54.66,7286,0.0,1.0
2011-10-25,54.73,54.86,53.75,53.75,15715,0.0,1.0
2011-10-26,54.54,54.54,52.95,53.1,1740,0.0,1.0
2011-10-27,57.27,57.79,56.84,57.53,4646,0.0,1.0
2011-10-28,56.14,56.95,56.01,56.67,2350,0.0,1.0
2011-10-31,55.99,55.99,54.75,54.75,4679,0.0,1.0
2011-11-01,51.21,52.18,50.88,51.99,4179,0.0,1.0
2011-11-02,51.88,52.47,51.35,51.35,6702,0.0,1.0
2011-11-03,54.67,55.92,54.23,55.46,1883,0.0,1.0
2011-11-04,54.26,54.37,53.65,53.65,2414,0.0,1.0
2011-11-07,54.13,54.13,53.3,53.32,2501,0.0,1.0
2011-11-08,55.21,55.4,54.36,54.9,2089,0.0,1.0
2011-11-09,51.69,52.01,50.6,50.6,2645,0.0,1.0
2011-11-10,51.89,51.89,51.75,51.79,2416,0.0,1.0
2011-11-11,53.96,54.15,53.65,53.65,5620,0.0,1.0
2011-11-14,53.47,54.12,53.15,53.21,6785,0.0,1.0
2011-11-15,53.58,53.76,52.69,53.6,8638,0.0,1.0
2011-11-16,52.28,52.89,51.8,52.27,8096,0.0,1.0
2011-11-17,51.05,51.17,49.95,50.0,6386,0.0,1.0
2011-11-18,50.85,50.85,49.88,49.89,6860,0.0,1.0
2011-11-21,49.53,49.53,48.25,48.3,4532,0.0,1.0
2011-11-22,48.84,49.45,48.84,49.0,4971,0.0,1.0
2011-11-23,48.87,48.87,47.27,47.27,5219,0.0,1.0
2011-11-25,47.73,47.73,47.06,47.07,5272,0.0,1.0
2011-11-28,50.45,50.67,49.42,49.42,5402,0.0,1.0
2011-11-29,49.91,50.85,49.91,50.12,7323,0.0,1.0
2011-11-30,53.07,53.16,52.15,52.39,8345,0.0,1.0
2011-12-01,53.15,53.95,52.91,53.05,13907,0.0,1.0
2011-12-02,54.25,54.25,53.1,53.1,6770,0.0,1.0
2011-12-05,54.15,54.15,52.58,53.92,5074,0.0,1.0
2011-12-06,53.48,53.98,53.2,53.98,3956,0.0,1.0
2011-12-07,52.99,53.0,52.76,53.0,4710,0.0,1.0
2011-12-08,52.69,52.69,51.55,51.56,2925,0.0,1.0
2011-12-09,53.47,53.57,53.25,53.55,11339,0.0,1.0
2011-12-12,51.41,51.41,50.27,50.53,6753,0.0,1.0
2011-12-13,50.4,50.4,48.79,48.79,4013,0.0,1.0
2011-12-14,48.96,49.32,47.92,47.95,9476,0.0,1.0
2011-12-15,50.82,51.46,50.35,50.35,6702,0.0,1.0
2011-12-16,50.11,50.4,49.53,49.68,10038,0.0,1.0
2011-12-19,49.93,49.93,48.95,48.95,21919,0.0,1.0
2011-12-20,50.27,50.93,50.13,50.63,19597,0.0,1.0
2011-12-21,49.96,50.07,48.99,49.01,14798,0.0,1.0
2011-12-22,48.78,49.75,48.78,49.54,29586,0.0,1.0
2011-12-23,50.54,50.98,50.4,50.9,6746,0.0,1.0
2011-12-27,50.44,51.1,50.44,50.6,10838,0.0,1.0
2011-12-28,50.38,50.38,49.1,49.1,6247,0.0,1.0
2011-12-29,49.88,50.29,49.61,50.0,5264,0.0,1.0
2011-12-30,50.41,50.82,50.41,50.55,4205,0.0,1.0
2012-01-03,52.22,52.22,52.22,52.22,1742,0.0,1.0
2012-01-04,52.17,52.27,51.7,51.7,3241,0.0,1.0
2012-01-05,51.13,51.47,50.91,50.98,6628,0.0,1.0
2012-01-06,50.04,50.21,49.94,49.94,7553,0.0,1.0
2012-01-09,50.67,50.67,49.91,49.91,6299,0.0,1.0
2012-01-10,51.92,52.24,51.69,51.69,2826,0.0,1.0
2012-01-11,51.45,51.59,51.07,51.59,4833,0.0,1.0
2012-01-12,52.65,52.7,52.08,52.08,5441,0.0,1.0
2012-01-13,51.4,51.4,50.7,50.73,3115,0.0,1.0
2012-01-17,51.58,51.75,51.21,51.21,3452,0.0,1.0
2012-01-18,52.14,52.73,52.11,52.73,3725,0.0,1.0
2012-01-19,54.5,55.4,54.49,55.06,2822,0.0,1.0
2012-01-20,55.45,55.45,54.8,54.81,4545,0.0,1.0
2012-01-23,56.25,56.91,56.03,56.04,4470,0.0,1.0
2012-01-24,55.4,56.59,55.4,55.7,2827,0.0,1.0
2012-01-25,55.15,56.0,55.1,56.0,3158,0.0,1.0
2012-01-26,57.11,57.45,56.69,57.4,1738,0.0,1.0
2012-01-27,55.92,56.45,55.86,56.45,1615,0.0,1.0
2012-01-30,54.16,54.9,54.16,54.7,1278,0.0,1.0
2012-01-31,54.51,54.51,53.65,54.2,3770,0.0,1.0
2012-02-01,55.48,56.61,55.48,56.1,2175,0.0,1.0
2012-02-02,56.31,56.83,56.27,56.31,1821,0.0,1.0
2012-02-03,56.96,57.2,56.95,56.95,1955,0.0,1.0
2012-02-06,56.98,57.5,56.91,56.91,3934,0.0,1.0
2012-02-07,57.52,58.33,57.38,58.31,3533,0.0,1.0
2012-02-08,58.36,58.7,58.06,58.31,5147,0.0,1.0
2012-02-09,58.82,58.82,57.94,58.08,3371,0.0,1.0
2012-02-10,56.47,56.82,56.29,56.29,3367,0.0,1.0
2012-02-13,57.38,57.44,56.86,56.87,1339,0.0,1.0
2012-02-14,57.33,57.58,56.95,56.95,765,0.0,1.0
2012-02-15,57.95,58.11,57.05,57.05,5113,0.0,1.0
2012-02-16,56.85,58.52,56.85,57.76,8114,0.0,1.0
2012-02-17,58.75,58.75,58.3,58.33,4271,0.0,1.0
2012-02-21,59.85,59.85,59.09,59.09,6916,0.0,1.0
2012-02-22,57.97,58.2,57.76,57.92,3159,0.0,1.0
2012-02-23,60.38,60.49,59.94,60.19,15028,0.0,1.0
2012-02-24,59.98,60.43,59.75,59.76,4088,0.0,1.0
2012-02-27,59.68,60.4,59.45,59.8,3431,0.0,1.0
2012-02-28,59.18,59.7,59.11,59.11,2570,0.0,1.0
2012-02-29,59.97,59.97,58.77,58.94,4165,0.0,1.0
2012-03-01,59.42,59.8,59.42,59.6,3205,0.0,1.0
2012-03-02,58.84,59.01,58.47,58.47,6470,0.0,1.0
2012-03-05,59.49,59.58,59.0,59.3,12006,0.0,1.0
2012-03-06,58.76,58.92,57.8,57.8,47245,0.0,1.0
2012-03-07,58.41,58.91,58.22,58.24,6628,0.0,1.0
2012-03-08,59.32,59.74,59.07,59.52,6715,0.0,1.0
2012-03-09,59.57,59.57,58.92,58.95,931,0.0,1.0
2012-03-12,59.81,60.35,59.81,60.03,2763,0.0,1.0
2012-03-13,61.75,62.22,61.75,62.09,2256,0.0,1.0
2012-03-14,62.63,62.63,61.81,61.86,1607,0.0,1.0
2012-03-15,62.71,63.95,62.71,63.65,1517,0.0,1.0
2012-03-16,64.62,64.69,64.33,64.55,5708,0.0,1.0
2012-03-19,63.16,64.55,63.16,63.96,2931,0.0,1.0
2012-03-20,63.65,63.95,63.55,63.58,4573,0.0,1.0
2012-03-21,63.97,64.46,63.5,63.97,6557,0.0,1.0
2012-03-22,63.11,63.33,62.85,63.1,9452,0.0,1.0
2012-03-23,62.74,63.44,62.74,63.4,2856,0.0,1.0
2012-03-26,64.2,64.72,64.19,64.33,2285,0.0,1.0
2012-03-27,64.7,65.1,64.35,65.1,4931,0.0,1.0
2012-03-28,64.18,64.4,63.79,64.4,4681,0.0,1.0
2012-03-29,62.6,63.06,62.6,63.06,736,0.0,1.0
2012-03-30,63.28,64.02,62.89,62.9,2848,0.0,1.0
2012-04-02,63.35,64.47,63.35,64.47,33425,0.0,1.0
2012-04-03,64.68,64.7,63.79,63.79,5411,0.0,1.0
2012-04-04,62.05,62.13,61.25,61.34,2755,0.0,1.0
2012-04-05,61.49,62.15,61.49,62.14,24962,0.0,1.0
2012-04-09,60.5,62.02,60.5,61.27,1909,0.0,1.0
2012-04-10,61.25,61.52,61.02,61.25,4338,0.0,1.0
2012-04-11,61.55,61.76,61.05,61.12,10789,0.0,1.0
2012-04-12,61.45,63.0,61.45,62.31,1791,0.0,1.0
2012-04-13,61.9,62.2,61.55,61.55,2719,0.0,1.0
2012-04-16,62.19,63.06,62.07,62.07,1965,0.0,1.0
2012-04-17,59.18,59.9,59.18,59.35,2793,3.2938,1.0
2012-04-18,59.62,59.99,59.62,59.99,7979,0.0,1.0
2012-04-19,60.84,61.45,60.84,61.45,615,0.0,1.0
2012-04-20,61.59,61.79,61.41,61.73,4115,0.0,1.0
2012-04-23,60.37,60.44,60.01,60.01,3318,0.0,1.0
2012-04-24,60.86,61.57,60.86,61.25,12687,0.0,1.0
2012-04-25,62.35,63.22,62.35,63.1,13168,0.0,1.0
2012-04-26,62.87,63.47,62.83,63.31,2747,0.0,1.0
2012-04-27,63.56,63.56,63.17,63.5,2588,0.0,1.0
2012-04-30,63.05,63.05,62.06,62.13,3353,0.0,1.0
2012-05-01,62.69,63.25,62.47,62.95,2673,0.0,1.0
2012-05-02,62.34,62.45,62.05,62.16,6125,0.0,1.0
2012-05-03,63.56,63.63,62.81,62.81,3615,0.0,1.0
2012-05-04,64.14,64.19,63.38,64.18,3559,0.0,1.0
2012-05-07,63.29,63.82,63.29,63.67,3318,0.0,1.0
2012-05-08,62.57,62.57,61.76,62.37,4274,0.0,1.0
2012-05-09,61.25,61.82,60.98,61.26,5476,0.0,1.0
