date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,14.5,15.25,14.5,15.25,12184,0.0,1.0
1999-11-02,15.0,15.38,15.0,15.38,7784,0.0,1.0
1999-11-03,15.38,15.5,15.25,15.25,7085,0.0,1.0
1999-11-04,15.38,15.87,15.38,15.87,6995,0.0,1.0
1999-11-05,15.63,16.0,15.63,15.63,5393,0.0,1.0
1999-11-08,15.5,15.63,15.38,15.38,6182,0.0,1.0
1999-11-09,15.38,15.38,15.38,15.38,3294,0.0,1.0
1999-11-10,15.25,15.38,15.25,15.25,4084,0.0,1.0
1999-11-11,15.25,15.63,15.25,15.38,10582,0.0,1.0
1999-11-12,15.25,15.38,15.25,15.38,1986,0.0,1.0
1999-11-15,15.28,15.31,15.12,15.12,7085,0.0,1.0
1999-11-16,15.12,15.25,15.12,15.12,11778,0.0,1.0
1999-11-17,15.19,15.5,15.12,15.38,32987,0.0,1.0
1999-11-18,15.38,15.38,15.38,15.38,0,0.0,1.0
1999-11-19,15.5,16.5,15.5,16.12,8980,0.0,1.0
1999-11-22,16.12,16.37,16.0,16.0,2482,0.0,1.0
1999-11-23,16.0,16.0,15.75,15.75,11282,0.03,1.0
1999-11-24,15.75,15.75,15.75,15.75,0,0.0,1.0
1999-11-26,15.75,15.75,15.75,15.75,993,0.0,1.0
1999-11-29,15.94,15.94,15.75,15.75,293,0.0,1.0
1999-11-30,15.94,16.37,15.75,16.37,6498,0.0,1.0
1999-12-01,16.37,16.37,16.0,16.31,2685,0.0,1.0
1999-12-02,16.16,16.16,16.0,16.0,2098,0.0,1.0
1999-12-03,16.31,16.31,16.0,16.0,1286,0.0,1.0
1999-12-06,15.94,15.94,15.94,15.94,1782,0.0,1.0
1999-12-07,15.94,15.94,15.94,15.94,0,0.0,1.0
1999-12-08,15.87,15.87,15.87,15.87,90,0.0,1.0
1999-12-09,16.06,16.06,15.87,15.87,1196,0.0,1.0
1999-12-10,16.22,16.22,16.0,16.0,41088,0.0,1.0
1999-12-13,16.12,16.16,16.06,16.06,23398,0.0,1.0
1999-12-14,16.19,16.5,16.12,16.31,15478,0.0,1.0
1999-12-15,16.31,16.37,16.12,16.25,4400,0.0,1.0
1999-12-16,16.12,16.37,16.12,16.12,5686,0.0,1.0
1999-12-17,16.12,16.12,16.12,16.12,0,0.0,1.0
1999-12-20,16.12,16.75,16.12,16.69,56498,0.0,1.0
1999-12-21,16.69,16.69,16.69,16.69,0,0.0,1.0
1999-12-22,16.37,16.37,16.37,16.37,496,0.0,1.0
1999-12-23,15.63,15.63,15.63,15.63,2685,0.0,1.0
1999-12-27,15.84,16.0,15.69,15.69,1692,0.0,1.0
1999-12-28,15.94,15.94,15.69,15.72,31092,0.0,1.0
1999-12-29,15.69,15.69,15.53,15.56,7987,0.0,1.0
1999-12-30,15.56,15.66,15.56,15.66,790,0.0,1.0
1999-12-31,15.75,15.75,15.56,15.56,790,0.0,1.0
2000-01-03,15.63,15.63,15.56,15.56,6295,0.0,1.0
2000-01-04,15.56,15.75,15.38,15.38,3678,0.0,1.0
2000-01-05,15.63,15.63,15.0,15.06,10199,0.0,1.0
2000-01-06,15.06,15.06,15.0,15.0,5799,0.0,1.0
2000-01-07,15.0,15.81,15.0,15.06,10379,0.0,1.0
2000-01-10,15.25,15.25,15.06,15.06,1489,0.0,1.0
2000-01-11,15.12,15.12,15.06,15.06,1489,0.0,1.0
2000-01-12,15.06,15.44,15.06,15.06,4197,0.0,1.0
2000-01-13,15.28,15.5,15.28,15.5,699,0.0,1.0
2000-01-14,15.12,15.12,15.12,15.12,993,0.0,1.0
2000-01-18,15.06,15.06,15.06,15.06,1489,0.0,1.0
2000-01-19,15.06,15.19,15.0,15.0,26692,0.0,1.0
2000-01-20,15.38,15.38,15.0,15.06,7581,0.0,1.0
2000-01-21,15.09,15.09,14.87,15.0,17983,0.0,1.0
2000-01-24,15.0,15.0,14.87,14.87,5799,0.0,1.0
2000-01-25,14.94,14.94,14.94,14.94,3994,0.0,1.0
2000-01-26,15.03,15.03,14.87,14.94,6498,0.0,1.0
2000-01-27,15.0,15.0,14.94,14.94,1196,0.0,1.0
2000-01-28,14.94,14.94,14.94,14.94,1986,0.0,1.0
2000-01-31,14.94,15.12,14.94,15.0,5979,0.0,1.0
2000-02-01,15.0,15.0,14.94,15.0,1196,0.0,1.0
2000-02-02,15.0,15.09,15.0,15.09,3294,0.0,1.0
2000-02-03,15.19,15.25,15.0,15.0,4580,0.0,1.0
2000-02-04,15.0,15.0,15.0,15.0,384,0.0,1.0
2000-02-07,15.22,15.22,15.0,15.0,3294,0.04,1.0
2000-02-08,14.94,15.12,14.94,15.12,2595,0.0,1.0
2000-02-09,15.16,15.16,14.94,14.94,14779,0.0,1.0
2000-02-10,15.0,15.25,15.0,15.12,57378,0.0,1.0
2000-02-11,15.25,15.25,15.06,15.06,7784,0.0,1.0
2000-02-14,14.97,15.22,14.97,15.06,3881,0.0,1.0
2000-02-15,15.06,15.06,14.87,15.06,11778,0.0,1.0
2000-02-16,14.87,14.87,14.81,14.81,4084,0.0,1.0
2000-02-17,14.81,14.81,14.75,14.81,7085,0.0,1.0
2000-02-18,14.75,15.19,14.75,15.19,3497,0.0,1.0
2000-02-22,15.5,15.5,15.06,15.5,19878,0.0,1.0
