date,open_price,high_price,low_price,close_price,volume,dividend,split
1999-11-01,90.88,91.88,89.62,89.81,396700,0.0,1.0
1999-11-02,94.75,102.0,94.75,100.12,2363000,0.0,1.0
1999-11-03,100.12,101.0,97.75,99.13,1170200,0.0,1.0
1999-11-04,101.87,102.25,97.37,98.81,833300,0.0,1.0
1999-11-05,100.5,101.69,100.25,101.69,700100,0.0,1.0
1999-11-08,104.75,108.5,104.12,107.38,1151000,0.0,1.0
1999-11-09,110.5,111.0,107.62,108.5,740500,0.0,1.0
1999-11-10,105.25,109.94,104.87,108.69,809400,0.0,1.0
1999-11-11,110.5,111.0,107.87,110.69,592700,0.0,1.0
1999-11-12,107.25,107.62,102.62,106.0,795700,0.0,1.0
1999-11-15,107.5,107.62,104.44,105.0,445600,0.0,1.0
1999-11-16,105.13,106.19,102.94,105.44,618800,0.0,1.0
1999-11-17,108.06,109.44,105.62,105.94,661500,0.0,1.0
1999-11-18,115.37,119.19,114.13,117.5,1165900,0.0,1.0
1999-11-19,115.5,116.5,113.0,114.75,944900,0.0,1.0
1999-11-22,110.75,111.62,109.63,110.44,575400,0.0,1.0
1999-11-23,111.25,111.81,109.5,110.12,590300,0.0,1.0
1999-11-24,111.5,114.62,110.56,114.44,519000,0.0,1.0
1999-11-26,124.0,124.25,120.0,120.06,438000,0.0,1.0
1999-11-29,123.5,124.88,122.25,122.38,886800,0.0,1.0
1999-11-30,121.37,132.0,120.75,125.06,2776600,0.0,1.0
1999-12-01,124.88,127.56,124.56,125.44,1330000,0.0,1.0
1999-12-02,125.44,126.56,123.94,126.06,539800,0.0,1.0
1999-12-03,130.63,133.63,129.81,131.38,909000,0.0,1.0
1999-12-06,134.62,136.88,134.0,136.88,1002500,0.0,1.0
1999-12-07,136.0,137.75,134.12,137.75,687300,0.0,1.0
1999-12-08,135.0,138.25,134.62,137.25,801100,0.0,1.0
1999-12-09,145.0,145.0,134.0,136.0,1329200,0.0,1.0
1999-12-10,136.25,137.75,134.12,136.81,701700,0.0,1.0
1999-12-13,134.62,137.87,133.19,135.13,525700,0.0,1.0
1999-12-14,139.25,139.75,126.0,127.37,1688100,0.0,1.0
1999-12-15,124.0,130.63,123.0,126.75,1330400,0.0,1.0
1999-12-16,135.0,140.87,134.0,137.81,717600,0.0,1.0
1999-12-17,140.38,143.0,139.0,139.0,855900,0.0,1.0
1999-12-20,144.5,147.38,143.0,143.62,550000,0.0,1.0
1999-12-21,149.5,149.62,147.13,148.0,941600,0.0,1.0
1999-12-22,148.25,149.0,143.12,146.87,452300,0.0,1.0
1999-12-23,149.06,149.12,147.31,149.0,132400,0.0,1.0
1999-12-27,153.75,154.0,149.62,150.0,472500,0.0,1.0
1999-12-28,150.0,150.25,148.37,148.75,297800,0.0,1.0
1999-12-29,152.5,153.06,151.25,151.88,154900,0.0,1.0
1999-12-30,154.0,154.0,147.5,148.88,221900,0.0,1.0
1999-12-31,149.5,152.5,147.56,151.44,106400,0.0,1.0
2000-01-03,160.0,160.94,153.0,155.19,618800,0.0,1.0
2000-01-04,150.0,151.75,144.62,145.5,490200,0.0,1.0
2000-01-05,140.75,140.94,130.5,137.38,1558000,0.0,1.0
2000-01-06,133.75,135.0,122.0,126.31,1430500,0.0,1.0
