date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-10-18,5.45,5.45,5.45,5.45,4875,0.0,1.0
2017-12-01,5.45,5.45,5.45,5.45,24765,0.0,1.0
2017-12-07,5.7,5.7,5.7,5.7,2800,0.0,1.0
2017-12-13,5.85,5.85,5.85,5.85,2000,0.0,1.0
2018-01-11,6.28,6.28,6.28,6.28,1000,0.0,1.0
2018-01-23,6.28,6.28,6.28,6.28,1000,0.0,1.0
2018-02-05,6.4,6.4,6.4,6.4,4000,0.0,1.0
2018-04-26,6.5,6.5,6.5,6.5,6500,0.0,1.0
2018-06-04,6.5,6.5,6.5,6.5,20,0.0,1.0
2018-06-07,7.02,7.02,7.02,7.02,1000,0.0,1.0
2018-06-12,7.02,7.02,7.02,7.02,20,0.0,1.0
2018-07-02,6.93,6.93,6.93,6.93,4167,0.0,1.0
2018-07-20,7.25,7.25,7.25,7.25,1000,0.0,1.0
2018-08-01,7.17,7.17,7.17,7.17,631,0.0,1.0
2018-08-13,7.0,7.0,7.0,7.0,4000,0.0,1.0
2018-09-25,6.9,6.9,6.9,6.9,429,0.0,1.0
2018-11-02,6.2,6.2,6.2,6.2,631,0.0,1.0
2018-11-23,6.1,6.1,6.1,6.1,8000,0.0,1.0
2018-12-07,6.1,6.1,6.1,6.1,1,0.0,1.0
2018-12-10,6.1,6.1,6.1,6.1,0,0.0,1.0
2018-12-28,6.1,6.1,6.1,6.1,163,0.0,1.0
2018-12-31,5.8,5.87,5.8,5.87,4500,0.0,1.0
2019-01-04,5.78,5.78,5.78,5.78,2250,0.0,1.0
2019-01-10,6.15,6.15,6.15,6.15,2788,0.0,1.0
2019-06-17,6.75,6.75,6.75,6.75,200,0.0,1.0
2019-07-02,6.95,6.95,6.95,6.95,7400,0.0,1.0
2019-07-15,7.0,7.0,7.0,7.0,206,0.0,1.0
2019-07-22,7.0,7.0,7.0,7.0,1,0.0,1.0
2019-08-09,6.45,6.45,6.45,6.45,200,0.0,1.0
2019-09-04,6.37,6.37,6.37,6.37,700,0.0,1.0
2019-10-15,6.37,6.37,6.37,6.37,3,0.0,1.0
2019-11-19,6.56,6.56,6.56,6.56,1000,0.0,1.0
2019-11-20,6.78,6.78,6.78,6.78,7621,0.0,1.0
2019-12-09,6.9,6.9,6.9,6.9,2100,0.0,1.0
