date,open_price,high_price,low_price,close_price,volume,dividend,split
2007-09-21,30.02,30.02,30.02,30.02,3500,0.0,1.0
2007-09-24,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-09-25,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-09-26,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-09-27,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-09-28,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-10-01,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-10-02,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-10-03,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-10-04,30.02,30.02,30.02,30.02,0,0.0,1.0
2007-10-05,31.5,31.5,31.5,31.5,165,0.0,1.0
2007-10-08,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-09,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-10,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-11,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-12,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-15,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-16,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-17,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-18,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-19,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-22,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-23,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-24,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-25,31.5,31.5,31.5,31.5,0,0.0,1.0
2007-10-26,32.55,32.55,32.55,32.55,200,0.0,1.0
2007-10-29,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-10-30,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-10-31,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-01,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-02,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-05,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-06,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-07,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-08,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-09,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-12,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-13,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-14,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-15,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-16,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-19,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-20,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-21,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-23,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-26,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-27,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-28,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-29,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-11-30,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-03,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-04,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-05,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-06,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-07,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-10,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-11,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-12,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-13,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-14,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-17,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-18,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-19,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-20,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-21,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-24,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-26,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-27,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-28,32.55,32.55,32.55,32.55,0,0.0,1.0
2007-12-31,32.55,32.55,32.55,32.55,0,0.0,1.0
2008-01-02,32.55,32.55,32.55,32.55,0,0.0,1.0
2008-01-03,32.55,32.55,32.55,32.55,0,0.0,1.0
2008-01-04,32.55,32.55,32.55,32.55,0,0.0,1.0
2008-01-07,32.55,32.55,32.55,32.55,0,0.0,1.0
2008-01-08,31.84,31.84,31.84,31.84,200,0.0,1.0
2008-01-09,31.84,31.84,31.84,31.84,0,0.0,1.0
2008-01-10,31.84,31.84,31.84,31.84,0,0.0,1.0
2008-01-11,31.84,31.84,31.84,31.84,0,0.0,1.0
2008-01-14,31.84,31.84,31.84,31.84,0,0.0,1.0
2008-01-15,31.84,31.84,31.84,31.84,0,0.0,1.0
