date,open_price,high_price,low_price,close_price,volume,dividend,split
2008-10-27,21.5,23.15,21.5,22.05,54274,0.0,1.0
2008-10-28,23.21,23.95,22.65,23.01,51559,0.0,1.0
2008-10-29,24.33,24.7,23.75,23.85,31223,0.0,1.0
2008-10-30,26.01,26.31,25.0,25.5,70063,0.0,1.0
2008-10-31,24.52,24.82,23.1,23.65,31816,0.0,1.0
2008-11-03,24.35,25.0,24.35,24.5,33555,0.0,1.0
2008-11-04,25.4,26.4,25.25,25.25,32668,0.0,1.0
2008-11-05,25.62,25.62,24.0,24.0,26208,0.0,1.0
2008-11-06,23.5,24.57,23.05,23.05,45395,0.0,1.0
2008-11-07,23.25,24.14,23.25,24.0,47055,0.0,1.0
2008-11-10,24.75,25.05,24.05,24.25,38076,0.0,1.0
2008-11-11,24.66,24.8,23.65,23.65,36772,0.0,1.0
2008-11-12,24.11,24.11,23.05,23.05,39306,0.0,1.0
2008-11-13,23.92,24.5,23.6,24.0,67000,0.0,1.0
2008-11-14,24.0,24.0,23.3,23.6,65627,0.0,1.0
2008-11-17,24.1,24.7,24.1,24.15,52645,0.0,1.0
2008-11-18,23.64,23.94,23.05,23.26,64697,0.0,1.0
2008-11-19,24.0,24.25,22.75,22.75,46569,0.0,1.0
2008-11-20,23.43,23.7,22.0,22.0,110847,0.0,1.0
2008-11-21,23.9,23.9,22.3,22.75,113416,0.0,1.0
2008-11-24,23.5,24.35,23.4,24.1,115995,0.0,1.0
2008-11-25,23.57,23.75,22.94,23.25,103416,0.0,1.0
2008-11-26,23.14,23.75,22.15,23.1,88452,0.0,1.0
2008-11-28,24.3,24.3,23.55,23.8,48065,0.0,1.0
2008-12-01,23.55,24.4,22.85,22.85,65400,0.0,1.0
2008-12-02,23.85,24.95,23.85,24.3,49290,0.0,1.0
2008-12-03,23.9,24.75,23.6,23.75,71322,0.0,1.0
2008-12-04,23.7,24.45,23.6,23.75,71856,0.0,1.0
2008-12-05,23.8,24.45,23.55,24.3,39970,0.0,1.0
2008-12-08,24.22,25.3,24.22,24.3,40840,0.0,1.0
2008-12-09,24.32,24.32,23.75,23.9,66644,0.0,1.0
2008-12-10,24.05,24.47,23.5,24.0,54929,0.0,1.0
2008-12-11,24.3,24.35,23.9,23.9,148386,0.0,1.0
2008-12-12,24.75,25.4,24.15,25.35,77293,0.0,1.0
2008-12-15,25.23,25.23,24.15,24.4,106646,0.0,1.0
