date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-10-23,70.78,70.78,70.78,70.78,400,0.0,1.0
2017-11-27,71.77,71.77,71.77,71.77,400,0.0,1.0
2018-01-10,71.77,71.77,71.77,71.77,5,0.0,1.0
2018-02-01,71.77,71.77,71.77,71.77,10,0.0,1.0
2018-02-15,70.51,70.51,70.51,70.51,10,0.0,1.0
2018-02-21,70.51,70.51,70.51,70.51,5,0.0,1.0
2018-04-23,61.7,61.7,60.79,61.7,13178,0.0,1.0
2018-04-24,67.06,67.1,67.06,67.1,261747,0.0,1.0
2018-04-25,67.1,67.1,67.1,67.1,99,0.0,1.0
2018-04-26,67.1,67.1,67.1,67.1,48,0.0,1.0
2018-04-27,67.1,67.1,67.1,67.1,105,0.0,1.0
2018-04-30,67.1,67.1,67.1,67.1,70,0.0,1.0
2018-05-01,67.1,67.1,67.1,67.1,166,0.0,1.0
2018-05-02,67.1,67.1,67.1,67.1,86,0.0,1.0
2018-05-03,67.1,67.1,67.1,67.1,160,0.0,1.0
2018-05-04,67.1,67.1,67.1,67.1,69,0.0,1.0
2018-05-07,67.1,67.1,67.1,67.1,119,0.0,1.0
2018-05-08,61.48,61.48,61.48,61.48,660,0.0,1.0
2018-05-09,61.37,61.37,61.37,61.37,319,0.0,1.0
2018-05-10,60.0,60.0,60.0,60.0,473,0.0,1.0
2018-05-11,60.0,60.0,60.0,60.0,128,0.0,1.0
2018-05-14,61.68,61.68,61.68,61.68,213,0.0,1.0
2018-05-15,60.0,60.0,60.0,60.0,207,0.0,1.0
2018-05-16,60.0,60.0,60.0,60.0,153,0.0,1.0
2018-05-17,58.31,58.31,58.31,58.31,386,0.0,1.0
2018-05-18,57.8,57.8,57.8,57.8,271,0.0,1.0
2018-05-21,57.8,57.8,57.8,57.8,20,0.0,1.0
2018-05-22,57.8,57.8,57.8,57.8,156,0.0,1.0
2018-05-23,56.83,56.83,56.83,56.83,1030,0.0,1.0
