date,open_price,high_price,low_price,close_price,volume,dividend,split
2017-11-29,13.6,13.6,13.6,13.6,200,0.0,1.0
2017-12-29,13.46,13.46,13.45,13.45,1000,0.1414,1.0
2018-01-10,14.88,14.88,14.88,14.88,250,0.0,1.0
2018-01-30,14.79,14.79,14.79,14.79,180,0.0,1.0
2018-02-22,14.79,14.79,14.79,14.79,20,0.0,1.0
2018-03-14,14.11,14.11,14.11,14.11,200,0.0,1.0
2018-03-15,13.79,13.79,13.79,13.79,300,0.0,1.0
2018-04-27,13.68,13.68,13.68,13.68,23,0.0,1.0
2018-05-10,13.68,13.68,13.68,13.68,35,0.0,1.0
2018-06-06,13.7,13.7,13.7,13.7,100,0.0,1.0
2018-08-07,13.59,13.59,13.59,13.59,13,0.0,1.0
2018-10-25,13.48,13.48,13.48,13.48,10,0.0,1.0
2018-10-29,13.06,13.06,13.06,13.06,100,0.0,1.0
2018-11-01,13.05,13.05,13.05,13.05,900,0.0,1.0
2018-11-09,12.71,12.71,12.71,12.71,100,0.0,1.0
2018-12-28,12.6,12.6,12.6,12.6,11,0.1037,1.0
2019-01-07,12.6,12.6,12.6,12.6,10,0.0,1.0
2019-01-09,12.6,12.6,12.6,12.6,11,0.0,1.0
2019-01-10,11.45,11.45,11.45,11.45,150,0.0,1.0
2019-01-15,11.45,11.45,11.45,11.45,25,0.0,1.0
2019-01-23,11.45,11.45,11.45,11.45,40,0.0,1.0
2019-01-24,11.45,11.45,11.45,11.45,10,0.0,1.0
2019-02-04,11.45,11.45,11.45,11.45,50,0.0,1.0
2019-02-05,11.45,11.45,11.45,11.45,50,0.0,1.0
2019-02-12,10.48,10.48,10.48,10.48,500,0.0,1.0
2019-02-13,10.77,10.77,10.77,10.77,150,0.0,1.0
2019-02-14,10.24,10.24,10.24,10.24,550,0.0,1.0
2019-02-15,10.17,10.17,10.1,10.1,1105,0.0,1.0
2019-02-20,10.1,10.1,10.1,10.1,75,0.0,1.0
2019-02-22,10.1,10.1,10.1,10.1,15,0.0,1.0
2019-03-06,10.31,10.31,10.3,10.31,3000,0.0,1.0
2019-03-07,10.21,10.21,10.21,10.21,1000,0.0,1.0
2019-03-08,10.21,10.21,10.21,10.21,3,0.0,1.0
2019-03-12,10.11,10.11,10.11,10.11,350,0.0,1.0
2019-03-13,10.14,10.14,10.14,10.14,300,0.0,1.0
2019-03-18,10.14,10.14,10.14,10.14,35,0.0,1.0
2019-03-20,10.1,10.1,10.1,10.1,100,0.0,1.0
2019-03-21,9.79,9.79,9.79,9.79,193,0.0,1.0
2019-03-22,9.79,9.79,9.79,9.79,35,0.0,1.0
2019-03-25,9.79,9.79,9.79,9.79,10,0.0,1.0
2019-03-26,9.89,9.89,9.89,9.89,1000,0.0,1.0
2019-03-29,9.52,9.65,9.52,9.65,1700,0.1054,1.0
2019-04-01,9.65,9.65,9.65,9.65,300,0.0,1.0
2019-04-02,9.65,9.65,9.65,9.65,50,0.0,1.0
2019-04-03,9.91,9.91,9.91,9.91,1000,0.0,1.0
2019-04-09,9.91,9.91,9.91,9.91,50,0.0,1.0
2019-04-12,9.91,9.91,9.91,9.91,11,0.0,1.0
2019-04-16,9.91,9.91,9.91,9.91,6,0.0,1.0
2019-04-18,9.91,9.91,9.91,9.91,30,0.0,1.0
2019-04-22,10.0,10.0,10.0,10.0,200,0.0,1.0
2019-04-23,9.9,9.9,9.9,9.9,105,0.0,1.0
2019-04-26,9.81,9.88,9.81,9.88,660,0.0,1.0
2019-05-03,9.88,9.88,9.88,9.88,16,0.0,1.0
2019-05-06,9.88,9.88,9.88,9.88,30,0.0,1.0
2019-05-08,9.88,9.88,9.88,9.88,35,0.0,1.0
2019-05-10,9.72,9.72,9.7,9.7,700,0.0,1.0
2019-05-14,9.64,9.64,9.64,9.64,500,0.0,1.0
2019-05-21,9.64,9.64,9.64,9.64,60,0.0,1.0
2019-05-28,9.64,9.64,9.64,9.64,3,0.0,1.0
2019-06-03,9.64,9.64,9.64,9.64,30,0.0,1.0
2019-06-04,9.24,9.24,9.24,9.24,500,0.0,1.0
2019-06-06,9.24,9.24,9.24,9.24,5,0.0,1.0
2019-06-07,9.24,9.24,9.24,9.24,15,0.0,1.0
2019-06-18,9.24,9.24,9.24,9.24,25,0.0,1.0
2019-06-24,9.1,9.1,9.1,9.1,100,0.0,1.0
2019-06-26,9.1,9.1,9.1,9.1,13,0.0,1.0
2019-07-02,9.19,9.19,9.19,9.19,352,0.0,1.0
2019-07-22,9.39,9.39,9.39,9.39,100,0.0,1.0
2019-07-25,9.27,9.27,9.27,9.27,1000,0.0,1.0
2019-08-23,7.8,7.8,7.8,7.8,180,0.0,1.0
2019-09-06,9.0,9.0,9.0,9.0,120,0.0,1.0
2019-09-13,9.0,9.0,9.0,9.0,100,0.0,1.0
2019-09-25,8.74,8.74,8.74,8.74,400,0.0,1.0
2019-10-04,8.63,8.63,8.63,8.63,10,0.0,1.0
2019-10-22,9.0,9.0,9.0,9.0,1000,0.0,1.0
2019-10-30,9.0,9.0,9.0,9.0,4,0.0,1.0
2019-11-22,8.92,8.92,8.92,8.92,600,0.0,1.0
2019-12-30,9.5,9.5,9.5,9.5,600,0.1081,1.0
2020-01-08,9.86,9.87,9.86,9.87,259,0.0,1.0
2020-01-15,9.95,9.95,9.95,9.95,400,0.0,1.0
