date,open_price,high_price,low_price,close_price,volume,dividend,split
2003-12-09,24.01,37.35,24.0,33.94,5602500,0.0,1.0
2003-12-10,34.25,34.5,29.76,32.51,1713600,0.0,1.0
2003-12-11,32.35,34.0,31.2,33.7,768600,0.0,1.0
2003-12-12,33.7,40.09,32.75,39.29,1324600,0.0,1.0
2003-12-15,41.67,43.05,33.64,34.5,1355800,0.0,1.0
2003-12-16,34.6,34.6,31.22,33.07,885300,0.0,1.0
2003-12-17,33.5,34.65,31.51,32.05,596400,0.0,1.0
2003-12-18,32.04,33.1,29.77,30.1,412000,0.0,1.0
2003-12-19,29.69,29.8,27.99,28.5,714000,0.0,1.0
2003-12-22,28.7,32.75,28.7,32.39,501500,0.0,1.0
2003-12-23,31.99,34.7,31.1,32.59,522400,0.0,1.0
2003-12-24,32.7,33.81,32.11,32.99,102000,0.0,1.0
2003-12-26,33.14,34.9,33.0,33.9,233500,0.0,1.0
2003-12-29,34.42,34.43,31.51,32.18,542700,0.0,1.0
2003-12-30,32.4,33.85,32.0,32.94,245600,0.0,1.0
2003-12-31,33.0,34.1,32.4,34.01,144100,0.0,1.0
2004-01-02,33.87,39.41,33.82,38.0,545000,0.0,1.0
2004-01-05,38.34,41.64,37.74,39.22,327000,0.0,1.0
2004-01-06,39.57,39.83,36.01,37.4,242900,0.0,1.0
2004-01-07,37.79,38.45,36.56,37.8,114900,0.0,1.0
2004-01-08,37.36,38.2,35.6,36.69,226200,0.0,1.0
2004-01-09,36.27,36.83,34.96,35.23,128000,0.0,1.0
2004-01-12,35.75,36.48,33.51,34.25,170800,0.0,1.0
2004-01-13,34.78,35.68,33.3,34.67,255600,0.0,1.0
2004-01-14,35.5,36.3,34.8,35.17,187200,0.0,1.0
2004-01-15,35.65,36.1,34.5,34.7,98100,0.0,1.0
2004-01-16,35.0,35.5,33.26,34.04,68700,0.0,1.0
2004-01-20,34.75,36.0,34.55,34.99,257900,0.0,1.0
2004-01-21,35.49,35.49,32.54,32.99,419800,0.0,1.0
2004-01-22,33.91,34.0,31.8,32.33,184000,0.0,1.0
2004-01-23,32.83,33.54,31.85,32.5,68200,0.0,1.0
2004-01-26,32.5,33.5,32.0,33.18,100400,0.0,1.0
2004-01-27,33.4,33.4,31.7,31.87,95700,0.0,1.0
2004-01-28,32.0,32.05,28.3,28.68,427900,0.0,1.0
2004-01-29,29.4,29.95,28.05,29.09,164600,0.0,1.0
2004-01-30,28.8,29.09,28.1,29.0,90400,0.0,1.0
2004-02-02,28.5,29.2,28.2,28.97,97800,0.0,1.0
2004-02-03,28.5,29.0,27.1,28.3,172600,0.0,1.0
2004-02-04,28.4,28.45,27.11,27.35,95400,0.0,1.0
2004-02-05,27.39,27.49,24.75,26.12,629500,0.0,1.0
2004-02-06,26.75,26.75,25.55,26.3,419700,0.0,1.0
2004-02-09,26.7,29.69,26.65,28.58,457500,0.0,1.0
2004-02-10,28.94,29.0,28.26,28.5,110000,0.0,1.0
2004-02-11,28.98,29.48,28.5,29.0,65100,0.0,1.0
2004-02-12,28.71,29.4,28.26,28.48,50100,0.0,1.0
2004-02-13,28.85,29.15,28.44,28.44,88500,0.0,1.0
2004-02-17,29.24,29.24,27.56,28.83,70000,0.0,1.0
2004-02-18,29.25,32.47,28.9,32.26,315600,0.0,1.0
2004-02-19,32.8,33.85,32.24,32.58,198300,0.0,1.0
2004-02-20,33.17,33.17,30.1,31.08,172400,0.0,1.0
2004-02-23,31.7,32.85,31.6,32.77,163900,0.0,1.0
2004-02-24,27.75,29.98,27.29,28.3,626900,0.0,1.0
2004-02-25,28.0,28.6,27.51,28.08,165100,0.0,1.0
2004-02-26,28.08,29.49,27.6,29.3,80000,0.0,1.0
2004-02-27,29.5,29.5,28.95,29.21,61800,0.0,1.0
2004-03-01,29.21,29.49,27.72,29.0,121700,0.0,1.0
2004-03-02,29.05,30.42,28.91,30.25,98800,0.0,1.0
2004-03-03,30.26,30.6,29.52,30.08,22700,0.0,1.0
2004-03-04,29.53,30.55,29.53,30.5,33300,0.0,1.0
2004-03-05,30.5,31.5,28.7,31.23,66400,0.0,1.0
2004-03-08,31.23,31.73,31.0,31.05,48700,0.0,1.0
2004-03-09,31.46,31.6,30.65,31.04,34800,0.0,1.0
2004-03-10,30.8,31.7,30.5,30.65,153000,0.0,1.0
2004-03-11,30.32,30.5,28.86,29.1,53700,0.0,1.0
2004-03-12,29.59,32.42,29.29,30.61,74200,0.0,1.0
2004-03-15,30.7,31.14,29.4,29.69,23500,0.0,1.0
2004-03-16,29.9,30.2,29.33,29.33,60900,0.0,1.0
2004-03-17,29.61,30.64,29.4,30.33,23400,0.0,1.0
2004-03-18,30.33,30.7,29.5,30.49,25000,0.0,1.0
2004-03-19,30.25,30.78,29.6,30.03,6200,0.0,1.0
2004-03-22,30.05,30.05,28.82,29.11,127500,0.0,1.0
2004-03-23,29.09,29.34,28.69,29.1,45400,0.0,1.0
2004-03-24,28.61,28.91,27.1,27.5,176600,0.0,1.0
2004-03-25,27.8,28.73,27.8,28.5,68600,0.0,1.0
2004-03-26,28.74,28.75,27.79,28.36,64600,0.0,1.0
2004-03-29,27.82,28.69,26.75,28.24,208900,0.0,1.0
2004-03-30,28.0,28.72,27.81,28.08,34000,0.0,1.0
2004-03-31,28.1,28.75,27.86,28.45,42800,0.0,1.0
2004-04-01,28.73,28.74,27.9,28.73,39700,0.0,1.0
2004-04-02,28.7,28.81,28.28,28.65,29600,0.0,1.0
2004-04-05,28.65,28.65,28.05,28.16,38300,0.0,1.0
2004-04-06,28.06,28.15,27.6,27.75,48100,0.0,1.0
2004-04-07,27.5,27.98,27.5,27.59,16000,0.0,1.0
2004-04-08,28.0,28.65,27.89,28.65,75400,0.0,1.0
2004-04-12,28.1,29.75,28.1,29.3,66600,0.0,1.0
2004-04-13,29.81,29.9,28.3,28.54,48600,0.0,1.0
2004-04-14,28.75,28.75,27.68,27.68,37700,0.0,1.0
2004-04-15,27.65,28.0,27.65,28.0,39700,0.0,1.0
2004-04-16,27.97,27.99,27.56,27.99,17700,0.0,1.0
2004-04-19,28.1,28.43,27.78,27.79,19300,0.0,1.0
2004-04-20,28.1,28.1,27.8,27.8,12400,0.0,1.0
2004-04-21,29.06,29.49,27.8,27.8,21700,0.0,1.0
2004-04-22,28.0,28.15,27.75,28.09,28300,0.0,1.0
2004-04-23,28.4,28.4,27.8,28.28,44500,0.0,1.0
2004-04-26,28.15,28.5,27.5,27.77,71200,0.0,1.0
2004-04-27,28.2,30.6,28.2,30.42,67000,0.0,1.0
2004-04-28,29.75,31.13,29.04,30.8,174900,0.0,1.0
2004-04-29,30.15,30.96,27.51,27.55,269000,0.0,1.0
2004-04-30,31.85,32.03,28.25,29.0,242600,0.0,1.0
2004-05-03,28.74,29.0,28.43,28.62,70000,0.0,1.0
2004-05-04,28.07,29.25,28.0,28.73,42700,0.0,1.0
2004-05-05,28.8,28.8,28.02,28.2,11700,0.0,1.0
2004-05-06,28.02,28.02,25.05,25.3,399100,0.0,1.0
2004-05-07,25.2,25.53,23.95,24.0,202800,0.0,1.0
2004-05-10,23.5,23.75,22.65,23.5,158400,0.0,1.0
2004-05-11,23.91,25.25,23.8,24.83,61200,0.0,1.0
2004-05-12,25.0,25.33,24.0,24.75,58700,0.0,1.0
2004-05-13,24.86,24.98,23.98,24.5,57200,0.0,1.0
2004-05-14,24.45,24.48,24.02,24.2,9900,0.0,1.0
2004-05-17,23.97,24.5,22.8,24.0,132400,0.0,1.0
2004-05-18,24.4,24.75,23.87,24.24,47800,0.0,1.0
2004-05-19,24.3,25.22,24.3,25.22,157900,0.0,1.0
2004-05-20,25.1,25.3,24.6,24.95,47500,0.0,1.0
2004-05-21,24.63,25.11,24.45,25.0,36600,0.0,1.0
2004-05-24,25.1,25.88,24.19,25.1,34400,0.0,1.0
2004-05-25,24.75,26.65,24.75,26.36,113500,0.0,1.0
2004-05-26,26.5,26.9,26.25,26.5,82500,0.0,1.0
2004-05-27,26.75,27.0,26.5,26.75,68000,0.0,1.0
2004-05-28,26.55,27.08,26.55,26.98,28100,0.0,1.0
2004-06-01,27.08,27.1,26.57,26.96,220200,0.0,1.0
2004-06-02,27.03,28.87,27.0,28.5,190300,0.0,1.0
2004-06-03,28.75,28.75,27.25,27.32,84000,0.0,1.0
2004-06-04,27.75,27.88,26.61,27.31,47100,0.0,1.0
2004-06-07,27.83,27.89,27.21,27.89,87600,0.0,1.0
2004-06-08,27.98,28.79,27.25,28.13,50900,0.0,1.0
2004-06-09,28.79,28.99,28.37,28.64,60200,0.0,1.0
2004-06-10,28.26,29.0,28.07,29.0,27400,0.0,1.0
2004-06-14,29.59,35.0,29.57,34.27,481200,0.0,1.0
2004-06-15,33.95,34.4,32.79,34.14,169600,0.0,1.0
2004-06-16,34.39,34.4,33.09,34.35,43400,0.0,1.0
2004-06-17,34.4,34.94,33.23,34.84,46900,0.0,1.0
2004-06-18,34.62,34.98,34.01,34.62,50800,0.0,1.0
2004-06-21,34.69,34.69,32.99,33.06,51200,0.0,1.0
2004-06-22,32.95,33.04,32.6,32.64,118200,0.0,1.0
2004-06-23,32.5,32.75,32.21,32.21,91600,0.0,1.0
2004-06-24,32.65,34.0,32.6,33.99,109200,0.0,1.0
2004-06-25,34.2,34.4,33.31,34.38,41600,0.0,1.0
2004-06-28,34.45,34.79,33.35,34.35,63400,0.0,1.0
2004-06-29,34.58,34.58,33.51,33.78,172400,0.0,1.0
2004-06-30,33.99,33.99,32.95,33.99,112500,0.0,1.0
2004-07-01,34.05,34.06,33.4,33.95,29400,0.0,1.0
2004-07-02,34.0,36.92,33.81,36.0,312700,0.0,1.0
2004-07-06,35.9,35.9,34.11,35.4,137100,0.0,1.0
2004-07-07,35.22,36.34,34.4,34.5,86800,0.0,1.0
2004-07-08,34.44,34.45,33.35,33.5,62500,0.0,1.0
2004-07-09,33.31,33.7,32.74,33.15,55800,0.0,1.0
2004-07-12,32.44,32.44,31.75,32.0,26700,0.0,1.0
2004-07-13,32.21,32.3,32.19,32.24,10600,0.0,1.0
2004-07-14,31.89,32.21,31.86,31.86,57900,0.0,1.0
2004-07-15,32.26,33.09,32.23,33.01,25500,0.0,1.0
2004-07-16,33.0,33.05,32.5,32.52,11300,0.0,1.0
2004-07-19,32.5,33.01,32.4,32.81,27900,0.0,1.0
2004-07-20,33.34,33.55,33.01,33.52,14800,0.0,1.0
2004-07-21,33.63,34.0,33.29,33.55,37800,0.0,1.0
2004-07-22,33.09,34.28,32.85,33.55,16000,0.0,1.0
2004-07-23,33.55,33.55,32.7,33.0,94900,0.0,1.0
2004-07-26,32.75,32.89,32.15,32.5,32500,0.0,1.0
2004-07-27,32.98,34.77,32.5,34.33,123800,0.0,1.0
2004-07-28,34.07,34.75,33.86,34.7,66600,0.0,1.0
2004-07-29,34.7,34.75,34.09,34.7,38300,0.0,1.0
2004-07-30,34.8,35.2,34.2,35.0,65300,0.0,1.0
2004-08-02,34.75,34.75,34.39,34.7,47000,0.0,1.0
2004-08-03,34.7,34.75,33.5,34.5,51900,0.0,1.0
2004-08-04,34.24,34.75,33.68,34.7,23100,0.0,1.0
2004-08-05,34.75,34.75,29.8,30.5,143700,0.0,1.0
2004-08-06,31.66,34.0,31.0,31.09,170700,0.0,1.0
